GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1211886340.0,1263779765.0,1238908456.0,1237919125.0,95.0,96.0,95.44,95.0,64.0,67.0,65.0,64.0,2196.09,5222.73,4720.07,5222.67,19.5,46.37,41.9,46.37,0.0,95.0,69.5,93.5,
NVIDIA GeForce GTX 1080 Ti,dict4,176078734.0,178470659.0,177020028.33,176510692.0,29.0,42.0,36.0,37.0,67.0,67.0,67.0,67.0,1145.81,2230.46,1824.37,2230.46,10.17,19.8,16.2,19.8,0.0,33.0,18.88,28.5,
NVIDIA GeForce GTX 1080 Ti,force,248451575.0,1564024297.0,1446590549.44,1561062341.5,55.0,98.0,90.83,95.0,57.0,62.0,60.44,61.0,1148.79,4176.09,3033.91,4176.09,10.2,37.07,26.93,37.07,0.0,94.0,46.91,40.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,481918735.0,621311271.0,590078171.41,620093878.0,30.0,96.0,90.53,95.0,51.0,54.0,53.35,54.0,1146.19,4172.84,2784.41,4172.84,10.18,37.05,24.72,37.05,0.0,96.0,34.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2423352577.0,2443369577.0,2432877536.67,2431910456.0,90.0,90.0,90.0,90.0,84.0,87.0,85.67,86.0,327.78,3333.68,2085.83,3333.68,4.0,40.69,25.46,40.69,0.0,60.0,30.21,49.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,193536966.0,197344195.0,194848182.67,193663387.0,30.0,33.0,31.0,30.0,68.0,69.0,68.33,68.0,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,33.0,18.25,21.5,
NVIDIA GeForce RTX 2080 SUPER,force,267189344.0,2812223375.0,2390590170.82,2740271179.0,60.0,93.0,84.73,92.0,72.0,86.0,82.27,85.0,338.56,3344.46,1455.18,456.46,4.13,40.83,17.76,5.57,0.0,93.0,25.47,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,804914111.0,2344091075.0,2006693188.07,2249262329.0,26.0,87.0,74.47,86.0,62.0,86.0,80.4,84.0,338.56,3344.46,1885.8,1900.46,4.13,40.83,23.02,23.2,0.0,69.0,24.83,1.5,
NVIDIA GeForce RTX 3070,combinator,2458323848.0,2497089290.0,2479627443.17,2481150280.0,87.0,90.0,88.08,88.0,74.0,79.0,77.25,77.5,356.11,3378.07,2093.7,3378.07,4.35,41.24,25.56,41.24,0.0,92.0,45.52,86.0,
NVIDIA GeForce RTX 3070,dict4,379907935.0,379907935.0,379907935.0,379907935.0,24.0,24.0,24.0,24.0,69.0,69.0,69.0,69.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,22.0,10.38,9.5,
