GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3511929759.0,3615755119.0,3547596265.0,3534528841.5,91.0,92.0,91.88,92.0,61.0,63.0,61.62,61.0,1556.52,4583.81,3827.1,4583.81,13.82,40.69,33.98,40.69,0.0,95.0,67.08,94.5,
NVIDIA GeForce GTX 1080 Ti,dict4,297796053.0,297796053.0,297796053.0,297796053.0,45.0,45.0,45.0,45.0,65.0,65.0,65.0,65.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,40.0,19.0,17.0,
NVIDIA GeForce GTX 1080 Ti,force,266186195.0,9022502236.0,3974717281.33,3944854760.5,92.0,96.0,93.83,93.5,57.0,64.0,60.0,59.5,1149.44,4176.09,2704.56,2732.09,10.2,37.07,24.01,24.26,0.0,98.0,29.1,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,591389166.0,2075104050.0,1720155867.38,2072254205.5,23.0,94.0,73.75,93.5,51.0,54.0,53.12,54.0,1140.91,4168.27,2600.23,1280.27,10.13,37.01,23.08,11.37,0.0,97.0,21.67,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4774362160.0,5137717790.0,4926559956.83,4908690059.0,54.0,59.0,57.0,57.5,74.0,76.0,75.33,75.5,327.78,3333.68,1941.58,2532.68,4.0,40.69,23.7,30.92,0.0,57.0,27.94,33.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,358715412.0,358715412.0,358715412.0,358715412.0,31.0,31.0,31.0,31.0,65.0,65.0,65.0,65.0,338.56,2070.46,1083.06,348.46,4.13,25.27,13.22,4.25,0.0,33.0,16.57,21.0,
NVIDIA GeForce RTX 2080 SUPER,force,760588977.0,19256628407.0,9250051037.0,8491493382.0,57.0,78.0,69.0,70.5,72.0,82.0,76.0,75.0,338.56,3344.46,1876.98,1900.46,4.13,40.83,22.91,23.2,0.0,67.0,24.6,2.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2678386510.0,7396371278.0,6297773725.57,6797389403.0,28.0,70.0,56.07,58.5,67.0,78.0,75.07,76.0,338.56,3344.46,1462.76,456.46,4.13,40.83,17.86,5.57,0.0,59.0,13.93,0.0,
NVIDIA GeForce RTX 3070,combinator,5038218787.0,5459108391.0,5200321226.17,5138850799.0,32.0,63.0,57.33,62.5,71.0,71.0,71.0,71.0,356.11,3378.07,2245.68,3378.07,4.35,41.24,27.41,41.24,0.0,58.0,28.67,34.5,
NVIDIA GeForce RTX 3070,dict4,253161595.0,254420980.0,253791287.5,253791287.5,18.0,24.0,21.0,21.0,60.0,60.0,60.0,60.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,22.0,8.62,7.5,
NVIDIA GeForce RTX 3070,force,503976166.0,19208977045.0,11558961074.2,15985586213.0,92.0,96.0,94.0,95.0,68.0,74.0,72.0,72.0,356.11,3378.07,1913.38,1944.07,4.35,41.24,23.36,23.73,0.0,94.0,30.5,0.0,
NVIDIA GeForce RTX 3070,hybrid,10711083.0,12131412474.0,5913289027.4,2763800620.0,1.0,91.0,40.2,27.0,61.0,69.0,65.8,65.0,429.04,3450.02,1430.72,582.02,5.24,42.11,17.46,7.1,0.0,48.0,6.69,0.0,
NVIDIA GeForce RTX 3090,combinator,4518303809.0,5410340220.0,4871695708.83,4787273980.0,30.0,59.0,52.67,58.0,76.0,77.0,76.17,76.0,498.06,3620.73,2927.99,3620.73,2.03,14.73,11.91,14.73,0.0,61.0,36.89,57.0,
NVIDIA GeForce RTX 3090,dict4,290257016.0,290257016.0,290257016.0,290257016.0,9.0,9.0,9.0,9.0,73.0,73.0,73.0,73.0,540.23,3555.84,2551.35,3555.84,2.2,14.47,10.38,14.47,0.0,17.0,10.67,15.0,
NVIDIA GeForce RTX 3090,force,914736742.0,20404957798.0,12662411885.8,18894676457.0,66.0,95.0,80.6,82.0,77.0,81.0,79.6,80.0,729.32,3850.65,2219.24,988.65,2.97,15.67,9.03,4.02,0.0,95.0,19.45,0.0,
NVIDIA GeForce RTX 3090,hybrid,3208366094.0,11047717132.0,9459765045.67,10039182418.0,19.0,67.0,60.25,64.0,74.0,80.0,78.33,79.0,498.32,3619.66,2450.3,3619.66,2.03,14.73,9.97,14.73,3.0,54.0,19.25,7.5,
NVIDIA RTX A4000,combinator,5405192878.0,5740382532.0,5525593914.4,5512991265.0,61.0,64.0,63.4,64.0,82.0,83.0,82.6,83.0,1011.36,4061.32,2024.87,1173.32,6.18,24.8,12.36,7.16,1.0,97.0,30.31,5.0,
NVIDIA RTX A4000,dict4,137277939.0,146174208.0,142277111.0,143556282.0,13.0,28.0,20.4,22.0,69.0,71.0,69.8,70.0,772.5,2546.48,2212.45,2530.94,4.72,15.55,13.51,15.46,0.0,28.0,14.73,13.0,
NVIDIA RTX A4000,force,486326832.0,16620282935.0,9803599142.67,10667350864.0,67.0,96.0,90.17,94.5,80.0,82.0,81.0,81.0,702.66,3752.63,2268.47,2308.63,4.29,22.92,13.85,14.1,0.0,96.0,25.0,1.5,
NVIDIA RTX A4000,hybrid,2558159288.0,11247587828.0,6911344129.75,6919814701.5,17.0,93.0,59.5,64.0,80.0,82.0,81.0,81.0,915.64,3965.61,2401.34,1077.61,5.59,24.22,14.66,6.58,0.0,100.0,29.2,4.0,
Radeon RX Vega,combinator,390648064.0,393109207.0,391847048.38,392115653.0,17.0,44.0,40.15,42.0,56.0,57.0,56.69,57.0,8970.62,10274.01,9934.18,10259.99,55.0,63.0,60.92,62.9,0,0,0,0,
Radeon RX Vega,dict3,50635932.0,50635932.0,50635932.0,50635932.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,4587.46,5909.9,5506.04,5893.94,28.1,36.2,33.73,36.1,0,0,0,0,
Radeon RX Vega,dict4,101754126.0,106936297.0,103582009.67,103438571.5,0.0,51.0,10.08,1.5,71.0,72.0,71.92,72.0,6955.12,8278.01,7889.62,8250.3,42.6,50.7,48.37,50.6,0,0,0,0,
Radeon RX Vega,force,359609890.0,11837803219.0,6865659238.6,8957583506.0,14.0,36.0,22.0,21.0,70.0,71.0,70.4,70.0,7596.73,9223.89,8385.21,8224.42,46.6,56.5,51.41,50.4,0,0,0,0,
Radeon RX Vega,hybrid,0.0,378520121.0,351708990.95,374530391.0,0.0,56.0,38.6,41.0,58.0,59.0,58.6,59.0,8286.59,9912.21,9519.62,9881.67,50.8,60.8,58.37,60.6,0,0,0,0,
