GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,74341981.0,76366297.0,75280609.88,75302799.0,75.0,77.0,75.88,76.0,58.0,58.0,58.0,58.0,1602.41,6080.12,5364.01,6064.19,14.23,53.98,47.62,53.84,1.0,84.0,60.89,80.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,32318916.0,59570634.0,38173555.8,34796283.5,79.0,86.0,84.4,85.0,55.0,58.0,55.4,55.0,1137.56,5592.21,4457.93,5592.21,10.1,49.65,39.58,49.65,0.0,77.0,50.19,74.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,52962828.0,54007994.0,53629140.15,53652395.0,54.0,54.0,54.0,54.0,71.0,71.0,71.0,71.0,327.78,4761.68,3569.0,4761.68,4.0,58.13,43.57,58.13,0.0,77.0,46.41,67.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,77695647.0,94444340.0,86612204.7,87257234.5,52.0,64.0,56.9,56.5,71.0,74.0,72.8,73.0,338.56,4772.46,3767.43,4772.46,4.13,58.26,45.99,58.26,0.0,70.0,43.42,64.0,
NVIDIA GeForce RTX 3070,combinator,126589250.0,136372592.0,131775386.62,131967113.0,43.0,75.0,68.23,73.0,72.0,73.0,72.77,73.0,356.11,4796.07,3656.16,4796.07,4.35,58.55,44.63,58.55,0.0,77.0,48.39,76.0,
NVIDIA GeForce RTX 3070,hybrid,94037392.0,128293808.0,120674908.44,124122795.0,44.0,74.0,63.0,72.0,70.0,71.0,70.67,71.0,495.0,4934.96,3716.49,4934.96,6.04,60.24,45.37,60.24,0.0,74.0,43.84,66.0,
NVIDIA GeForce RTX 3090,combinator,227438999.0,253391827.0,241736384.46,244025350.0,59.0,85.0,76.85,77.0,79.0,81.0,80.23,80.0,499.16,5037.83,4281.53,5037.83,2.03,20.5,17.42,20.5,0.0,77.0,54.17,67.0,
NVIDIA GeForce RTX 3090,hybrid,223840651.0,268119046.0,244652211.78,255290599.0,69.0,84.0,78.89,81.0,78.0,79.0,78.67,79.0,530.6,5069.27,4565.05,5069.27,2.16,20.63,18.58,20.63,0.0,73.0,49.11,60.0,
NVIDIA RTX A4000,combinator,110002128.0,131753340.0,123515913.46,122796712.0,44.0,74.0,69.15,74.0,84.0,87.0,85.38,86.0,744.04,5221.51,4178.65,5221.51,4.54,31.89,25.52,31.89,0.0,80.0,49.24,73.0,
NVIDIA RTX A4000,hybrid,83042890.0,109581828.0,101201339.55,99344261.0,44.0,65.0,50.64,48.0,81.0,84.0,83.09,83.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,44296375.0,44964195.0,44660809.92,44632523.0,18.0,43.0,39.31,41.0,66.0,68.0,67.38,67.0,5687.16,7565.71,7087.52,7427.55,34.9,46.4,43.43,45.5,0,0,0,0,
Radeon RX Vega,hybrid,44524453.0,45933443.0,45145380.09,45153336.0,18.0,43.0,36.36,38.0,55.0,59.0,58.0,58.0,8000.03,10064.43,9520.15,9934.95,49.0,61.7,58.35,60.9,0,0,0,0,
