GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1934322530.0,2154236710.0,2055667847.88,2034508657.0,59.0,63.0,61.25,61.5,59.0,61.0,59.62,59.0,1530.41,4557.06,4052.76,4557.06,13.59,40.46,35.98,40.46,0.0,95.0,69.08,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,285936804.0,285936804.0,285936804.0,285936804.0,45.0,45.0,45.0,45.0,65.0,65.0,65.0,65.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,46.0,21.5,19.0,
NVIDIA GeForce GTX 1080 Ti,force,353394091.0,11273469216.0,6801026248.8,8812535685.0,79.0,97.0,92.6,96.0,59.0,61.0,59.8,59.0,1145.54,4176.4,2366.54,1288.4,10.17,37.08,21.01,11.44,0.0,98.0,15.77,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1193032653.0,2070987744.0,1914309699.4,2069852265.0,28.0,93.0,77.47,92.0,53.0,55.0,53.93,54.0,1146.19,4172.84,2545.3,1284.84,10.18,37.05,22.6,11.41,0.0,93.0,13.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,5289419390.0,5340762537.0,5319613928.5,5321280646.5,53.0,61.0,57.0,57.5,69.0,72.0,70.67,71.0,327.78,3333.68,1877.93,1889.68,4.0,40.69,22.92,23.07,0.0,57.0,23.55,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,351560222.0,351560222.0,351560222.0,351560222.0,34.0,34.0,34.0,34.0,65.0,65.0,65.0,65.0,338.56,2070.46,1207.65,1213.46,4.13,25.27,14.74,14.81,0.0,32.0,19.17,26.5,
NVIDIA GeForce RTX 2080 SUPER,force,759630252.0,19243904225.0,8840856007.75,7679944777.0,66.0,94.0,74.0,68.0,72.0,81.0,76.0,75.5,338.56,3344.46,1540.17,456.46,4.13,40.83,18.8,5.57,0.0,77.0,25.92,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2705212771.0,8394912466.0,6333326366.43,6671720110.0,23.0,72.0,55.71,60.0,67.0,78.0,74.86,76.0,338.56,3344.46,1455.06,456.46,4.13,40.83,17.76,5.57,0.0,63.0,12.76,0.0,
NVIDIA GeForce RTX 3070,combinator,5095906945.0,5570884094.0,5273024731.83,5212693481.0,47.0,64.0,58.5,61.0,69.0,69.0,69.0,69.0,356.11,3378.07,1693.39,510.07,4.35,41.24,20.67,6.23,0.0,67.0,25.11,0.0,
NVIDIA GeForce RTX 3070,dict4,402413437.0,402413437.0,402413437.0,402413437.0,27.0,27.0,27.0,27.0,59.0,59.0,59.0,59.0,356.11,2058.07,1222.83,1269.07,4.35,25.12,14.93,15.49,0.0,21.0,8.62,6.0,
NVIDIA GeForce RTX 3070,force,722987253.0,18902704151.0,11841696664.6,16329816438.0,75.0,95.0,89.8,93.0,68.0,72.0,69.8,69.0,356.11,3378.07,1679.49,510.07,4.35,41.24,20.5,6.23,0.0,95.0,20.25,0.0,
NVIDIA GeForce RTX 3070,hybrid,2708388869.0,11966666263.0,7337527566.0,7337527566.0,17.0,91.0,54.0,54.0,61.0,66.0,63.5,63.5,443.36,3464.34,1335.21,605.59,5.41,42.29,16.3,7.39,0.0,52.0,5.2,0.0,
NVIDIA GeForce RTX 3090,combinator,7022506476.0,7701717014.0,7236151870.5,7110191996.0,31.0,57.0,50.0,56.0,77.0,78.0,77.75,78.0,499.16,3621.83,2686.23,3621.83,2.03,14.74,10.93,14.74,0.0,60.0,38.8,55.0,
NVIDIA GeForce RTX 3090,dict4,455852483.0,455852483.0,455852483.0,455852483.0,19.0,19.0,19.0,19.0,72.0,72.0,72.0,72.0,541.8,3555.97,2350.87,3555.97,2.2,14.47,9.57,14.47,0.0,30.0,9.0,0.0,
NVIDIA GeForce RTX 3090,force,1392850539.0,23130885239.0,14291621566.6,20948998288.0,74.0,94.0,81.8,78.0,77.0,80.0,78.4,78.0,723.67,3848.15,1977.62,982.15,2.94,15.66,8.05,4.0,0.0,95.0,27.64,0.0,
NVIDIA GeForce RTX 3090,hybrid,3286775611.0,10205271591.0,8882355374.58,9191333873.0,22.0,67.0,58.42,61.0,73.0,79.0,77.42,78.0,513.45,3636.12,2465.45,3636.12,2.09,14.8,10.03,14.8,3.0,90.0,24.12,8.0,
NVIDIA RTX A4000,combinator,4765124394.0,5718399147.0,5187769145.17,5174945697.0,44.0,64.0,57.5,63.5,81.0,82.0,81.67,82.0,974.71,4024.68,2895.37,4024.68,5.95,24.58,17.68,24.58,0.0,73.0,38.0,51.5,
NVIDIA RTX A4000,dict4,255214898.0,255522544.0,255368721.0,255368721.0,20.0,23.0,21.5,21.5,68.0,68.0,68.0,68.0,727.91,2503.88,1912.33,2503.88,4.44,15.29,11.68,15.29,1.0,22.0,11.67,15.0,
NVIDIA RTX A4000,force,688207080.0,17013494962.0,10445684050.6,14880956851.0,86.0,96.0,91.8,93.0,78.0,81.0,79.6,80.0,743.73,3793.7,2213.86,905.7,4.54,23.17,13.52,5.53,0.0,97.0,34.54,0.0,
NVIDIA RTX A4000,hybrid,2629116706.0,11388799055.0,7008957880.5,7008957880.5,29.0,91.0,60.0,60.0,74.0,77.0,75.5,75.5,971.89,4021.86,2439.39,1133.86,5.93,24.56,14.9,6.92,0.0,86.0,25.76,3.0,
Radeon RX Vega,combinator,395515068.0,397533865.0,396605259.25,396939696.0,18.0,50.0,40.83,42.5,61.0,62.0,61.75,62.0,9366.53,10666.1,10249.79,10649.0,57.4,65.4,62.83,65.3,0,0,0,0,
Radeon RX Vega,dict3,50492796.0,50492796.0,50492796.0,50492796.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4591.96,5890.91,5327.29,5389.77,28.1,36.1,32.65,33.05,0,0,0,0,
Radeon RX Vega,dict4,100746569.0,105533033.0,102633620.0,102582281.0,0.0,46.0,13.25,1.5,71.0,71.0,71.0,71.0,7005.74,8350.67,7960.96,8327.17,42.9,51.2,48.79,51.0,0,0,0,0,
Radeon RX Vega,force,352983684.0,13064901548.0,5908401184.2,4455081434.0,12.0,37.0,21.4,20.0,68.0,69.0,68.4,68.0,7381.5,8920.76,8173.73,7940.77,45.2,54.7,50.09,48.7,0,0,0,0,
Radeon RX Vega,hybrid,347500205.0,393555160.0,377274891.15,382880961.0,0.0,60.0,39.2,41.0,57.0,58.0,57.85,58.0,8454.75,10074.98,9361.14,9089.04,51.8,61.8,57.38,55.75,0,0,0,0,
