GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,69140507.0,71226324.0,70172521.38,70253308.5,75.0,77.0,75.62,75.5,58.0,58.0,58.0,58.0,1639.89,6127.99,5354.66,6091.34,14.56,54.4,47.54,54.08,1.0,85.0,62.28,79.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,27936741.0,35818376.0,29628862.82,28667687.0,83.0,84.0,83.82,84.0,55.0,56.0,55.27,55.0,1137.56,5592.21,4498.37,5592.21,10.1,49.65,39.94,49.65,0.0,88.0,51.43,75.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,81428566.0,86647368.0,84157677.31,84257544.0,66.0,71.0,68.23,69.0,72.0,75.0,74.15,74.0,327.78,4761.68,3372.41,4761.68,4.0,58.13,41.17,58.13,0.0,67.0,43.5,66.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,82319960.0,92287829.0,87859957.2,89168619.5,59.0,68.0,62.7,62.0,71.0,73.0,72.1,72.0,338.56,4772.46,3320.75,4772.46,4.13,58.26,40.54,58.26,0.0,62.0,31.5,37.0,
NVIDIA GeForce RTX 3070,combinator,114679378.0,130220169.0,123398631.85,123916747.0,63.0,67.0,63.77,63.0,71.0,72.0,71.23,71.0,356.11,4796.07,3411.44,4796.07,4.35,58.55,41.64,58.55,0.0,77.0,48.73,76.0,
NVIDIA GeForce RTX 3070,hybrid,96116043.0,102039914.0,99304250.88,99424332.5,58.0,69.0,64.12,63.0,68.0,69.0,68.62,69.0,495.0,4934.96,3894.05,4934.96,6.04,60.24,47.53,60.24,0.0,74.0,46.56,66.0,
NVIDIA GeForce RTX 3090,combinator,185851190.0,203978896.0,191075214.08,186598718.0,65.0,72.0,67.69,66.0,80.0,82.0,81.08,81.0,499.16,5037.83,4281.53,5037.83,2.03,20.5,17.42,20.5,0.0,78.0,55.44,70.0,
NVIDIA GeForce RTX 3090,hybrid,181320806.0,197667516.0,189228745.6,189362420.0,64.0,71.0,68.8,69.5,77.0,79.0,78.4,78.5,530.6,5069.27,4312.98,5069.27,2.16,20.63,17.55,20.63,0.0,76.0,50.11,68.5,
NVIDIA RTX A4000,combinator,102908373.0,125413379.0,117697708.54,123191427.0,46.0,76.0,70.38,75.0,84.0,87.0,86.0,86.0,743.42,5221.39,4022.39,5221.39,4.54,31.88,24.56,31.88,0.0,78.0,48.95,73.5,
NVIDIA RTX A4000,hybrid,93059922.0,120473142.0,104359597.56,99347254.0,46.0,74.0,56.0,50.0,83.0,85.0,84.22,84.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,38293747.0,42950216.0,39656852.46,39628571.0,15.0,43.0,37.15,40.0,64.0,67.0,65.77,66.0,5893.38,7666.2,7183.32,7454.05,36.1,47.0,44.02,45.7,0,0,0,0,
Radeon RX Vega,hybrid,34344861.0,35130711.0,34716600.2,34614742.0,5.0,36.0,28.4,32.0,57.0,58.0,57.6,58.0,7849.55,9933.49,9343.36,9927.96,48.1,60.9,57.28,60.9,0,0,0,0,
