GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,645268545.0,648785991.0,647757410.0,648503808.0,95.0,97.0,95.89,96.0,73.0,74.0,73.89,74.0,2220.23,5246.88,4769.1,5246.88,19.71,46.58,42.34,46.58,6.0,96.0,76.58,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,39087761.0,39087761.0,39087761.0,39087761.0,29.0,29.0,29.0,29.0,69.0,69.0,69.0,69.0,1149.91,2237.15,1875.06,2236.9,10.21,19.86,16.65,19.86,0.0,20.0,9.5,9.0,
NVIDIA GeForce GTX 1080 Ti,dict4,56090792.0,57336955.0,56430565.07,56291475.0,23.0,30.0,25.87,26.0,59.0,61.0,60.13,60.0,1145.81,2230.46,1869.49,2230.46,10.17,19.8,16.6,19.8,0.0,49.0,27.67,35.0,
NVIDIA GeForce GTX 1080 Ti,force,135844463.0,774466528.0,726882649.58,773654694.0,85.0,96.0,94.74,95.0,58.0,61.0,60.21,61.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,12876819.0,271023682.0,228371952.83,244515534.0,1.0,96.0,88.08,96.0,51.0,53.0,52.83,53.0,1146.19,4172.84,3162.56,4172.84,10.18,37.05,28.08,37.05,0.0,96.0,39.96,18.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,781058998.0,870217070.0,851184515.31,863568441.0,55.0,61.0,59.77,61.0,77.0,82.0,80.15,81.0,327.78,3333.68,2213.87,3333.68,4.0,40.69,27.02,40.69,0.0,88.0,46.5,69.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,44976295.0,44976295.0,44976295.0,44976295.0,19.0,19.0,19.0,19.0,59.0,59.0,59.0,59.0,338.56,2070.46,1493.32,2070.46,4.13,25.27,18.23,25.27,1.0,20.0,13.5,18.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,115869236.0,125472621.0,121339308.67,121982161.5,23.0,30.0,25.67,24.0,63.0,68.0,65.67,65.5,338.56,2070.46,1637.6,2070.46,4.13,25.27,19.99,25.27,0.0,35.0,22.12,28.5,
NVIDIA GeForce RTX 2080 SUPER,force,93949340.0,1789708313.0,1494732699.22,1773150472.0,60.0,90.0,78.22,90.0,72.0,86.0,80.89,81.0,338.56,3344.46,2224.66,3344.46,4.13,40.83,27.16,40.83,0.0,90.0,46.15,65.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,1714851729.0,1355213385.82,1635783035.0,32.0,91.0,74.06,90.0,66.0,86.0,80.29,84.0,338.56,3344.46,2179.87,3344.46,4.13,40.83,26.61,40.83,0.0,62.0,27.08,18.0,
NVIDIA GeForce RTX 3070,combinator,2185058478.0,2192167755.0,2187630835.0,2186648553.5,90.0,91.0,90.25,90.0,77.0,78.0,77.5,77.5,356.11,3378.07,2263.19,3378.07,4.35,41.24,27.63,41.24,0.0,67.0,32.08,53.0,
NVIDIA GeForce RTX 3070,dict4,223545331.0,224511211.0,224028271.0,224028271.0,24.0,31.0,27.5,27.5,70.0,70.0,70.0,70.0,356.11,2058.07,1310.58,1620.07,4.35,25.12,16.0,19.78,0.0,27.0,13.75,18.0,
NVIDIA GeForce RTX 3070,force,119476605.0,2370764615.0,2112472514.85,2358817191.0,90.0,96.0,92.31,92.0,68.0,76.0,73.85,74.0,356.11,3378.07,1986.42,3378.07,4.35,41.24,24.25,41.24,0.0,99.0,44.7,26.0,
NVIDIA GeForce RTX 3070,hybrid,1582199153.0,2254329329.0,2153095060.46,2235699190.0,38.0,94.0,84.69,93.0,68.0,77.0,74.85,76.0,500.27,3522.23,1744.01,654.23,6.11,43.0,21.29,7.99,0.0,100.0,25.28,0.0,
NVIDIA GeForce RTX 3090,combinator,1577627409.0,1774962539.0,1644080390.15,1641182349.0,59.0,65.0,63.08,64.0,83.0,84.0,83.62,84.0,499.16,3621.83,2283.92,3621.83,2.03,14.74,9.29,14.74,0.0,92.0,50.14,77.0,
NVIDIA GeForce RTX 3090,dict4,151162107.0,158159995.0,155600133.0,156539215.0,11.0,22.0,14.0,11.5,75.0,77.0,76.0,76.0,541.8,3555.97,2953.36,3555.84,2.2,14.47,12.02,14.47,0.0,44.0,11.0,9.5,
NVIDIA GeForce RTX 3090,force,183089776.0,3895087404.0,3003584139.29,3791888883.0,43.0,96.0,86.29,94.0,78.0,82.0,80.43,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,2331428331.0,3060266656.0,2553397741.08,2554449342.0,46.0,76.0,63.62,62.0,77.0,84.0,82.15,83.0,520.7,3643.37,3163.06,3643.37,2.12,14.82,12.87,14.82,0.0,96.0,42.46,47.0,
