GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,590482.0,590791.0,590720.38,590747.0,97.0,98.0,97.88,98.0,59.0,59.0,59.0,59.0,2246.41,7037.06,6502.37,7034.12,19.94,62.47,57.73,62.45,6.0,100.0,83.06,98.5,
NVIDIA GeForce GTX 1080 Ti,dict3,578300.0,582743.0,579337.5,578802.5,53.0,98.0,92.5,98.0,75.0,76.0,75.67,76.0,1151.66,5876.96,5466.09,5876.96,10.22,52.17,48.53,52.17,0.0,99.0,80.65,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,760718.0,766297.0,764463.17,765810.0,97.0,98.0,97.78,98.0,73.0,74.0,73.83,74.0,1143.66,5870.46,5459.53,5870.46,10.15,52.12,48.47,52.12,0.0,98.0,81.74,98.0,
NVIDIA GeForce GTX 1080 Ti,force,1974.0,282139.0,230143.36,280679.0,53.0,92.0,84.29,91.0,52.0,52.0,52.0,52.0,1150.0,5940.65,4535.59,5940.65,10.21,52.74,40.27,52.74,0.0,97.0,61.31,91.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,330494.0,334359.0,331696.12,331276.0,96.0,100.0,98.25,98.0,54.0,54.0,54.0,54.0,1146.19,5936.84,3963.61,5936.84,10.18,52.71,35.19,52.71,0.0,98.0,50.32,78.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,958842.0,975207.0,967129.21,968301.0,71.0,80.0,77.5,78.0,78.0,83.0,81.5,82.0,327.78,5097.68,3408.88,5097.68,4.0,62.23,41.61,62.23,0.0,73.0,41.32,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1175700.0,1203887.0,1183988.73,1181411.0,85.0,98.0,95.33,97.0,81.0,88.0,84.73,85.0,338.56,5042.46,4428.99,5042.46,4.13,61.55,54.06,61.55,0.0,98.0,80.43,97.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1160013.0,1183549.0,1166135.38,1164149.0,95.0,98.0,96.88,97.0,86.0,91.0,88.88,90.0,338.56,5042.46,4428.99,5042.46,4.13,61.55,54.06,61.55,0.0,98.0,82.35,97.0,
NVIDIA GeForce RTX 2080 SUPER,force,619452.0,1201098.0,1020710.06,1197300.5,52.0,96.0,83.25,96.0,70.0,82.0,77.06,79.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,936667.0,951450.0,940420.89,937848.0,69.0,78.0,74.89,76.0,78.0,80.0,79.22,79.0,338.56,5108.46,3137.36,5108.46,4.13,62.36,38.3,62.36,0.0,73.0,34.32,42.0,
NVIDIA GeForce RTX 3070,combinator,1703520.0,1705469.0,1704342.77,1704192.0,94.0,96.0,94.62,94.0,73.0,77.0,75.08,75.0,356.11,5130.07,3378.41,5130.07,4.35,62.62,41.24,62.62,0.0,89.0,38.38,57.0,
NVIDIA GeForce RTX 3070,dict3,1676223.0,1712050.0,1686427.06,1683430.5,43.0,96.0,83.17,95.0,76.0,79.0,76.94,77.0,356.11,5064.07,4613.25,5064.07,4.35,61.82,56.31,61.82,0.0,96.0,75.68,94.0,
NVIDIA GeForce RTX 3070,dict4,1568209.0,1595637.0,1577262.22,1574123.0,90.0,95.0,94.0,94.0,75.0,77.0,76.33,76.0,356.11,5064.07,4475.66,5064.07,4.35,61.82,54.63,61.82,0.0,96.0,76.92,95.0,
NVIDIA GeForce RTX 3070,force,284642.0,1630324.0,1344041.07,1628736.0,57.0,95.0,84.93,94.0,63.0,70.0,67.53,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1586588.0,1613064.0,1598695.0,1593234.0,94.0,94.0,94.0,94.0,73.0,74.0,73.88,74.0,500.27,5274.23,3410.88,5274.23,6.11,64.38,41.64,64.38,0.0,80.0,35.1,48.5,
NVIDIA GeForce RTX 3090,combinator,1149804.0,1221914.0,1177524.85,1170422.0,45.0,48.0,46.0,46.0,81.0,81.0,81.0,81.0,499.16,5371.83,4559.86,5371.83,2.03,21.86,18.55,21.86,0.0,84.0,57.17,67.0,
NVIDIA GeForce RTX 3090,dict3,2788735.0,2869690.0,2813247.56,2804674.5,80.0,98.0,95.39,96.5,82.0,84.0,82.94,83.0,543.17,5349.84,4749.12,5349.84,2.21,21.77,19.32,21.77,0.0,98.0,73.75,95.0,
NVIDIA GeForce RTX 3090,dict4,2939117.0,2962506.0,2948134.88,2947399.0,88.0,97.0,95.82,96.0,81.0,84.0,83.24,84.0,540.23,5349.84,4722.88,5349.84,2.2,21.77,19.22,21.77,0.0,97.0,76.52,96.0,
NVIDIA GeForce RTX 3090,force,296611.0,3098931.0,2559797.87,3094389.0,42.0,99.0,83.87,95.0,76.0,81.0,79.0,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1162550.0,1186208.0,1173175.12,1172360.5,25.0,63.0,45.62,46.5,76.0,77.0,76.88,77.0,520.1,5392.77,4696.77,5392.77,2.12,21.94,19.11,21.94,0.0,85.0,56.21,75.0,
NVIDIA RTX A4000,combinator,905688.0,930993.0,913304.92,910541.0,61.0,65.0,63.08,63.0,83.0,86.0,84.69,85.0,758.86,5572.82,4143.0,5572.82,4.63,34.03,25.3,34.03,0.0,87.0,53.61,85.0,
NVIDIA RTX A4000,dict3,1571409.0,1609646.0,1582092.82,1577730.0,39.0,100.0,94.35,98.0,87.0,88.0,87.47,87.0,808.95,5556.92,4438.85,5556.92,4.94,33.93,27.11,33.93,0.0,100.0,67.45,96.0,
NVIDIA RTX A4000,dict4,1385090.0,1413263.0,1395155.44,1393655.5,87.0,96.0,94.67,95.0,87.0,89.0,87.89,88.0,826.22,5578.94,5163.06,5574.19,5.05,34.07,31.53,34.04,3.0,98.0,84.78,97.0,
NVIDIA RTX A4000,force,722459.0,3035592.0,1518249.18,1700307.0,64.0,100.0,88.82,96.0,76.0,83.0,80.18,80.0,743.73,5557.7,4062.88,5557.7,4.54,33.94,24.81,33.94,0.0,97.0,34.14,45.5,
NVIDIA RTX A4000,hybrid,921951.0,963361.0,936942.25,937453.0,60.0,75.0,63.62,62.0,82.0,84.0,82.88,83.0,1127.91,5945.62,3959.15,5941.88,6.89,36.31,24.18,36.28,1.0,87.0,44.42,70.0,
Radeon RX Vega,combinator,704223.0,706691.0,705122.31,704722.0,13.0,68.0,53.77,63.0,68.0,69.0,68.38,68.0,5542.89,5911.52,5818.19,5874.98,34.0,36.2,35.66,36.0,0,0,0,0,
Radeon RX Vega,dict3,792482.0,806694.0,797207.81,795719.5,15.0,45.0,40.44,42.0,70.0,71.0,70.94,71.0,5012.83,5364.87,5233.69,5278.53,30.7,32.9,32.1,32.4,0,0,0,0,
Radeon RX Vega,dict4,801525.0,803974.0,802219.19,802024.5,17.0,44.0,40.62,42.5,71.0,72.0,71.06,71.0,6872.45,7217.08,7085.67,7126.57,42.1,44.2,43.42,43.7,0,0,0,0,
Radeon RX Vega,force,518571.0,2654965.0,833405.12,818532.0,16.0,100.0,80.76,94.0,61.0,67.0,63.65,64.0,7672.26,8340.15,8176.2,8282.25,47.0,51.1,50.13,50.8,0,0,0,0,
Radeon RX Vega,hybrid,639633.0,659006.0,644936.25,641356.0,14.0,60.0,44.75,47.0,60.0,61.0,60.38,60.0,7753.09,8403.21,8250.43,8359.95,47.5,51.5,50.58,51.25,0,0,0,0,
