GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,19459.0,19496.0,19476.62,19469.0,95.0,96.0,95.62,96.0,69.0,70.0,69.62,70.0,2226.89,7337.15,6771.49,7301.84,19.77,65.14,60.12,64.82,6.0,98.0,78.53,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,104.0,105.0,104.75,105.0,46.0,77.0,72.38,76.0,56.0,56.0,56.0,56.0,1966.18,6909.23,6007.03,6901.48,17.46,61.34,53.33,61.27,2.0,98.0,56.09,73.0,
NVIDIA GeForce GTX 1080 Ti,dict2,11.0,12.0,11.26,11.0,84.0,87.0,86.63,87.0,57.0,59.0,57.26,57.0,1668.73,6610.34,5990.75,6607.46,14.81,58.69,53.18,58.66,1.0,98.0,65.67,78.0,
NVIDIA GeForce GTX 1080 Ti,dict3,19726.0,20473.0,19842.11,19726.0,98.0,98.0,98.0,98.0,82.0,86.0,83.89,84.0,1152.31,6086.96,5470.23,6086.96,10.23,54.04,48.56,54.04,0.0,98.0,78.62,97.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,82.0,83.0,82.67,83.0,49.0,49.0,49.0,49.0,1150.0,6150.65,4142.82,6150.65,10.21,54.6,36.78,54.6,0.0,85.0,41.55,38.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,10093.0,10103.0,10095.78,10094.0,93.0,95.0,94.33,94.0,56.0,57.0,56.78,57.0,1146.19,6146.84,4050.04,6146.84,10.18,54.57,35.96,54.57,0.0,98.0,46.76,35.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,24705.0,25348.0,24832.15,24705.0,95.0,96.0,95.85,96.0,86.0,89.0,87.08,87.0,327.78,5307.68,3424.15,5307.68,4.0,64.79,41.8,64.79,0.0,82.0,45.46,79.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,274.0,274.0,274.0,274.0,61.0,67.0,64.0,64.0,59.0,59.0,59.0,59.0,327.78,5241.68,2484.33,445.68,4.0,63.99,30.33,5.44,0.0,68.0,19.14,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,27.0,27.0,27.0,27.0,62.0,68.0,65.89,66.0,61.0,62.0,61.72,62.0,338.56,5252.46,4638.68,5252.46,4.13,64.12,56.62,64.12,0.0,69.0,59.42,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,24130.0,25145.0,24435.5,24351.0,94.0,95.0,94.83,95.0,86.0,90.0,87.33,87.0,338.56,5252.46,4638.68,5252.46,4.13,64.12,56.62,64.12,0.0,95.0,78.04,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,22419.0,23053.0,22607.17,22544.0,95.0,95.0,95.0,95.0,87.0,88.0,87.89,88.0,338.56,5252.46,4825.6,5252.46,4.13,64.12,58.91,64.12,0.0,95.0,82.22,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,2.0,2.0,2.0,2.0,64.0,68.0,66.0,66.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,24934.0,25425.0,25196.38,25336.0,95.0,95.0,95.0,95.0,86.0,89.0,87.75,88.0,338.56,5318.46,3092.47,5318.46,4.13,64.92,37.75,64.92,0.0,90.0,39.0,22.0,
NVIDIA GeForce RTX 3070,combinator,24701.0,24840.0,24761.31,24756.0,95.0,95.0,95.0,95.0,77.0,81.0,79.54,80.0,356.11,5338.07,3587.71,5338.07,4.35,65.16,43.8,65.16,0.0,99.0,54.88,94.0,
NVIDIA GeForce RTX 3070,dict1,310.0,310.0,310.0,310.0,43.0,43.0,43.0,43.0,55.0,55.0,55.0,55.0,356.11,5272.07,2115.38,510.07,4.35,64.36,25.82,6.23,0.0,94.0,23.85,0.0,
NVIDIA GeForce RTX 3070,dict2,30.0,33.0,31.17,31.0,57.0,77.0,71.72,74.0,60.0,60.0,60.0,60.0,356.11,5272.07,4630.94,5272.07,4.35,64.36,56.53,64.36,0.0,72.0,61.26,72.0,
NVIDIA GeForce RTX 3070,dict3,24455.0,24593.0,24497.5,24478.5,95.0,96.0,95.11,95.0,79.0,83.0,81.61,82.0,356.11,5272.07,4657.66,5272.07,4.35,64.36,56.86,64.36,0.0,95.0,74.5,94.0,
NVIDIA GeForce RTX 3070,dict4,24602.0,24782.0,24666.61,24626.0,95.0,96.0,95.28,95.0,79.0,83.0,80.89,81.0,356.11,5272.07,4657.62,5272.07,4.35,64.36,56.86,64.36,0.0,95.0,75.33,94.0,
