GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,54141541.0,56384547.0,54852555.38,54599143.5,94.0,95.0,94.38,94.0,58.0,58.0,58.0,58.0,1638.69,4665.48,4309.21,4665.23,14.55,41.42,38.26,41.42,0.0,95.0,73.59,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,10215932.0,11178651.0,10744845.73,10844270.0,21.0,40.0,29.27,29.0,54.0,64.0,58.82,58.0,1103.6,2190.27,1986.58,2190.02,9.8,19.44,17.64,19.44,0.0,38.0,23.81,27.5,
NVIDIA GeForce GTX 1080 Ti,dict4,28068571.0,28448283.0,28189840.35,28179253.0,47.0,70.0,59.24,59.0,65.0,67.0,65.41,65.0,1132.73,2218.02,2076.52,2218.02,10.06,19.69,18.44,19.69,0.0,34.0,23.35,27.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,27957046.0,23506229.63,27542378.0,55.0,99.0,93.37,98.0,55.0,60.0,56.21,56.0,1145.0,4171.65,3365.28,4171.65,10.17,37.04,29.88,37.04,0.0,99.0,64.18,97.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,5491507.0,27032541.0,21511741.33,27008733.0,19.0,94.0,73.93,93.0,56.0,57.0,56.47,56.0,1137.56,4164.21,3404.08,4164.21,10.1,36.97,30.22,36.97,0.0,96.0,36.05,23.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,58240249.0,58427569.0,58316354.64,58307403.0,88.0,89.0,88.93,89.0,71.0,71.0,71.0,71.0,327.78,3333.68,2492.21,3333.68,4.0,40.69,30.42,40.69,0.0,94.0,62.57,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,5194810.0,6583388.0,5560649.94,5387883.0,25.0,37.0,33.06,33.0,55.0,59.0,56.33,56.0,338.56,2070.46,1834.38,2070.46,4.13,25.27,22.39,25.27,0.0,37.0,23.73,31.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,29909943.0,30478797.0,30068908.56,30055127.5,54.0,58.0,55.06,55.0,75.0,77.0,75.67,75.5,338.56,2070.46,1844.64,2070.46,4.13,25.27,22.52,25.27,0.0,45.0,37.74,44.0,
NVIDIA GeForce RTX 2080 SUPER,force,36471270.0,66366542.0,62584030.12,65936636.0,72.0,98.0,93.38,98.0,66.0,69.0,68.06,68.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,62167468.0,63084540.0,62453327.6,62447503.5,87.0,94.0,92.8,94.0,69.0,70.0,69.8,70.0,338.56,3344.46,2529.19,3344.46,4.13,40.83,30.87,40.83,0.0,94.0,52.0,65.5,
NVIDIA GeForce RTX 3070,combinator,54868324.0,55156661.0,54956773.15,54913924.0,89.0,91.0,89.46,89.0,68.0,69.0,68.31,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,5869087.0,7378917.0,6413089.94,6229352.0,15.0,43.0,28.17,29.5,62.0,70.0,65.17,65.0,356.11,2058.07,1836.16,2058.07,4.35,25.12,22.41,25.12,0.0,40.0,23.87,32.0,
NVIDIA GeForce RTX 3070,dict4,13342231.0,15181324.0,13889775.11,13480629.5,22.0,40.0,31.67,33.0,64.0,72.0,67.28,67.0,356.11,2058.07,1826.07,2058.07,4.35,25.12,22.29,25.12,0.0,39.0,25.5,31.0,
NVIDIA GeForce RTX 3070,force,0.0,62246522.0,54281751.33,61949603.0,73.0,99.0,95.33,98.0,64.0,66.0,65.0,65.0,356.11,3378.07,2536.74,3378.07,4.35,41.24,30.97,41.24,0.0,98.0,64.48,98.0,
NVIDIA GeForce RTX 3070,hybrid,58319781.0,59128588.0,58618831.2,58627410.5,85.0,94.0,93.1,94.0,66.0,66.0,66.0,66.0,505.5,3527.46,2597.57,3527.46,6.17,43.06,31.71,43.06,0.0,95.0,51.68,74.0,
NVIDIA GeForce RTX 3090,combinator,95082372.0,95512427.0,95218946.54,95188062.0,87.0,88.0,87.77,88.0,79.0,80.0,79.69,80.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,94.0,70.94,91.0,
NVIDIA GeForce RTX 3090,dict3,6631279.0,8218026.0,7230889.83,7070097.5,9.0,40.0,25.89,26.5,70.0,78.0,72.61,72.0,540.61,3553.34,3160.5,3553.34,2.2,14.46,12.86,14.46,0.0,41.0,19.09,20.0,
NVIDIA GeForce RTX 3090,force,32580884.0,104723970.0,74015107.07,72305400.0,64.0,98.0,75.21,70.0,74.0,75.0,74.71,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,93796501.0,95986136.0,94694355.36,94813683.0,49.0,89.0,84.36,88.0,76.0,76.0,76.0,76.0,530.6,3653.27,3246.08,3653.27,2.16,14.87,13.21,14.87,0.0,96.0,70.52,94.0,
NVIDIA RTX A4000,combinator,56030603.0,56322520.0,56114613.23,56076072.0,89.0,90.0,89.08,89.0,82.0,82.0,82.0,82.0,744.04,3794.01,2945.76,3793.64,4.54,23.17,17.99,23.17,0.0,97.0,64.76,94.0,
NVIDIA RTX A4000,dict3,5501539.0,7215019.0,6207093.11,6046094.5,14.0,39.0,31.11,34.0,70.0,82.0,75.11,74.5,849.03,2625.0,2188.71,2625.0,5.18,16.03,13.37,16.03,0.0,66.0,22.56,28.0,
NVIDIA RTX A4000,dict4,12879823.0,14454498.0,13528051.17,13332369.0,24.0,48.0,33.28,32.0,72.0,84.0,77.67,77.5,807.32,2583.29,2350.37,2583.29,4.93,15.77,14.35,15.77,3.0,61.0,45.61,51.0,
NVIDIA RTX A4000,force,12497225.0,63013855.0,58125787.12,62861097.5,69.0,99.0,93.12,98.0,79.0,82.0,80.75,81.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,54840892.0,56028996.0,55261452.7,55288069.5,84.0,89.0,88.1,88.5,79.0,81.0,80.3,80.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,119662636.0,120304139.0,119952275.54,119932133.0,15.0,43.0,37.69,41.0,63.0,66.0,65.0,65.0,5552.98,6853.49,6641.49,6851.26,34.0,42.0,40.71,42.0,0,0,0,0,
Radeon RX Vega,dict3,7646373.0,7759496.0,7673733.88,7664990.5,0.0,34.0,5.5,1.5,67.0,69.0,68.0,68.0,5058.24,6367.72,6037.66,6361.39,31.0,39.0,37.01,39.0,0,0,0,0,
Radeon RX Vega,dict4,32366810.0,33264901.0,32647069.17,32516229.5,0.0,59.0,34.5,48.0,71.0,72.0,71.39,71.0,6513.52,7833.85,7606.78,7817.87,39.9,48.0,46.63,47.9,0,0,0,0,
Radeon RX Vega,force,15843140.0,167596276.0,153704179.07,165847415.0,10.0,96.0,72.4,89.0,58.0,64.0,61.6,62.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,125816747.0,131860678.0,127914317.55,126954651.0,17.0,56.0,40.27,39.0,57.0,59.0,58.45,59.0,8057.62,9695.0,9328.42,9601.11,49.4,59.4,57.19,58.9,0,0,0,0,
