GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2666161.0,2668292.0,2667598.33,2667894.0,95.0,96.0,95.89,96.0,66.0,67.0,66.78,67.0,2236.62,6782.12,6274.1,6776.94,19.86,60.21,55.7,60.16,6.0,97.0,78.83,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,3104572.0,3241948.0,3141242.56,3131255.5,73.0,96.0,94.56,96.0,82.0,87.0,83.89,83.0,1145.16,5618.46,5035.04,5618.46,10.17,49.88,44.7,49.88,0.0,96.0,74.91,95.0,
NVIDIA GeForce GTX 1080 Ti,force,53423.0,1376752.0,1136951.12,1367141.0,82.0,95.0,92.0,94.0,55.0,59.0,58.0,58.0,1147.23,5688.09,4209.77,5688.09,10.18,50.5,37.37,50.5,0.0,97.0,50.25,74.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,1371410.0,1392144.0,1384319.0,1390068.5,50.0,95.0,89.0,94.5,55.0,56.0,55.88,56.0,1144.04,5684.84,4098.48,5684.84,10.16,50.47,36.39,50.47,0.0,97.0,55.32,93.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,4010151.0,4186696.0,4074912.77,4062158.0,93.0,95.0,93.77,94.0,86.0,89.0,87.38,87.0,327.78,4845.68,3252.28,4845.68,4.0,59.15,39.7,59.15,0.0,69.0,42.08,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,3584583.0,3805911.0,3659562.12,3636821.0,83.0,95.0,88.56,84.0,84.0,91.0,88.25,88.0,338.56,4790.46,4005.47,4790.46,4.13,58.48,48.89,58.48,0.0,96.0,70.24,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,3642368.0,3760704.0,3679854.82,3674116.0,95.0,95.0,95.0,95.0,87.0,89.0,87.88,88.0,338.56,4790.46,4386.15,4790.46,4.13,58.48,53.54,58.48,0.0,96.0,84.45,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,3107922.0,4353431.0,4130795.38,4293087.0,73.0,95.0,90.08,94.0,77.0,88.0,85.08,86.0,338.56,4856.46,3082.39,4856.46,4.13,59.28,37.63,59.28,0.0,95.0,48.52,65.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2538587.0,4051062.0,3196059.75,3064974.5,43.0,90.0,60.12,46.0,74.0,86.0,78.75,77.0,338.56,4856.46,2840.47,4856.46,4.13,59.28,34.67,59.28,0.0,58.0,17.73,13.0,
NVIDIA GeForce RTX 3070,combinator,4089250.0,4120537.0,4099105.62,4096020.0,92.0,93.0,92.62,93.0,76.0,80.0,78.38,79.0,356.11,4880.07,3355.57,4880.07,4.35,59.57,40.96,59.57,0.0,82.0,46.42,77.0,
