GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3022713.0,3159386.0,3095857.75,3105713.0,58.0,64.0,60.25,59.5,60.0,63.0,61.12,60.5,2177.96,8060.61,7132.55,8060.61,19.34,71.56,63.32,71.56,0.0,97.0,68.37,86.0,
NVIDIA GeForce GTX 1080 Ti,dict3,6451760.0,6827299.0,6588762.28,6576467.5,28.0,98.0,85.94,97.0,79.0,90.0,86.39,87.0,1151.6,6968.9,6210.18,6968.9,10.22,61.87,55.13,61.87,0.0,97.0,72.61,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,8145493.0,8308666.0,8209430.56,8172853.0,91.0,98.0,96.78,97.0,84.0,89.0,85.67,85.0,1133.38,6950.02,6191.48,6950.02,10.06,61.7,54.97,61.7,0.0,98.0,80.04,97.0,
NVIDIA GeForce GTX 1080 Ti,force,3050388.0,6571230.0,6018396.31,6511886.0,57.0,97.0,86.85,96.0,62.0,67.0,65.08,66.0,1145.54,7032.4,5097.69,7032.4,10.17,62.43,45.26,62.43,0.0,97.0,48.95,42.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,932911.0,4581171.0,2107243.12,1059710.0,42.0,96.0,64.53,55.0,55.0,59.0,56.41,55.0,1146.19,7028.84,5094.38,7028.84,10.18,62.4,45.23,62.4,0.0,98.0,53.9,85.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,7026431.0,7241115.0,7123451.23,7116170.0,66.0,71.0,67.62,67.0,83.0,85.0,84.08,84.0,327.78,6189.68,4346.05,6189.68,4.0,75.56,53.05,75.56,0.0,63.0,40.59,62.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,8888544.0,9641441.0,9163274.29,9140433.0,73.0,94.0,86.71,94.0,80.0,88.0,84.86,85.0,338.56,6134.46,5306.57,6134.46,4.13,74.88,64.78,74.88,0.0,90.0,67.1,77.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,9255997.0,9311793.0,9283869.5,9284752.0,88.0,89.0,88.4,88.0,86.0,91.0,88.0,87.5,338.56,6134.46,5378.82,6134.46,4.13,74.88,65.66,74.88,0.0,90.0,73.87,89.0,
NVIDIA GeForce RTX 2080 SUPER,force,2866259.0,11845951.0,10201680.5,10817946.0,37.0,94.0,85.42,89.0,67.0,88.0,84.0,86.0,338.56,6200.46,4269.04,6200.46,4.13,75.69,52.11,75.69,0.0,79.0,47.9,60.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,6784630.0,7565489.0,6921746.07,6814375.0,68.0,72.0,69.5,69.5,76.0,85.0,83.14,84.0,338.56,6200.46,4269.04,6200.46,4.13,75.69,52.11,75.69,0.0,71.0,42.9,63.0,
