GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3491097.0,3646915.0,3563500.33,3551500.0,94.0,96.0,95.0,95.0,69.0,73.0,70.22,69.0,2188.25,8113.55,7214.44,8113.55,19.43,72.03,64.05,72.03,0.0,98.0,77.17,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3200994.0,3236247.0,3214460.4,3207220.0,32.0,97.0,83.4,96.0,78.0,92.0,86.6,88.0,1151.6,7010.9,6173.9,7010.9,10.22,62.24,54.81,62.24,0.0,96.0,62.14,85.5,
NVIDIA GeForce GTX 1080 Ti,dict4,4127690.0,4365720.0,4193224.11,4166652.0,31.0,96.0,91.83,96.0,80.0,90.0,84.33,84.0,1132.73,7004.46,6239.72,7004.46,10.06,62.18,55.4,62.18,0.0,97.0,80.83,96.0,
NVIDIA GeForce GTX 1080 Ti,force,229435.0,3249759.0,2894357.57,3242833.5,71.0,96.0,91.86,95.0,59.0,66.0,64.79,66.0,1145.0,7069.65,4787.48,7069.65,10.17,62.76,42.5,62.76,0.0,97.0,51.0,79.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1641703.0,1648304.0,1645740.11,1646003.0,94.0,95.0,94.56,95.0,57.0,57.0,57.0,57.0,1146.19,7070.84,5208.31,7070.84,10.18,62.77,46.24,62.77,0.0,98.0,60.16,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3148098.0,3280637.0,3189517.29,3176752.0,66.0,69.0,67.0,67.0,83.0,85.0,84.29,84.0,327.78,6231.68,4293.22,6231.68,4.0,76.07,52.41,76.07,0.0,64.0,38.67,63.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,4081578.0,4281123.0,4138986.33,4122863.5,83.0,94.0,88.61,89.0,81.0,90.0,87.17,87.0,338.56,6176.46,5415.08,6176.46,4.13,75.4,66.1,75.4,0.0,95.0,75.17,83.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,4237544.0,4305724.0,4260331.4,4251909.0,94.0,94.0,94.0,94.0,87.0,91.0,89.0,88.0,338.56,6176.46,5415.08,6176.46,4.13,75.4,66.1,75.4,0.0,94.0,77.57,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,2964692.0,4880210.0,4532249.46,4783699.0,66.0,94.0,88.69,94.0,76.0,88.0,85.15,86.0,338.56,6242.46,4219.73,6242.46,4.13,76.2,51.51,76.2,0.0,94.0,48.48,60.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3562876.0,3743919.0,3608381.39,3590676.0,60.0,79.0,74.78,77.0,82.0,86.0,85.06,85.0,338.56,6242.46,3503.97,5070.46,4.13,76.2,42.77,61.9,0.0,66.0,26.3,35.0,
NVIDIA GeForce RTX 3070,combinator,4650766.0,4690296.0,4663666.38,4660344.0,91.0,92.0,91.31,91.0,76.0,81.0,78.85,79.0,356.11,6256.07,4328.32,6256.07,4.35,76.37,52.84,76.37,0.0,99.0,56.88,90.0,
NVIDIA GeForce RTX 3070,dict3,3699552.0,3804785.0,3730193.94,3719695.0,79.0,93.0,90.39,91.0,72.0,77.0,75.17,75.5,356.11,6190.07,5429.2,6190.07,4.35,75.56,66.27,75.56,0.0,95.0,71.22,93.0,
NVIDIA GeForce RTX 3070,dict4,4445750.0,4570281.0,4472661.78,4465687.0,46.0,94.0,87.33,92.0,79.0,83.0,81.61,82.0,356.11,6190.07,5429.2,6190.07,4.35,75.56,66.27,75.56,0.0,92.0,69.48,90.0,
NVIDIA GeForce RTX 3070,force,3205835.0,4751818.0,4521389.0,4746432.0,67.0,92.0,88.29,92.0,69.0,76.0,73.21,73.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,3806209.0,4714802.0,4501227.39,4676324.0,67.0,95.0,85.28,92.0,69.0,78.0,74.61,75.5,511.75,6410.73,4383.43,6410.73,6.25,78.26,53.51,78.26,0.0,93.0,49.19,61.5,
NVIDIA GeForce RTX 3090,combinator,5900474.0,6015918.0,5958712.92,5963306.0,69.0,74.0,69.69,69.0,84.0,86.0,85.31,85.0,499.16,6495.83,5496.53,6495.83,2.03,26.43,22.37,26.43,0.0,93.0,69.89,86.0,
NVIDIA GeForce RTX 3090,dict3,6781421.0,6976163.0,6853984.11,6843493.5,40.0,96.0,82.39,94.0,81.0,83.0,81.89,82.0,537.73,6471.34,5697.77,6471.34,2.19,26.33,23.18,26.33,0.0,95.0,66.7,93.0,
NVIDIA GeForce RTX 3090,dict4,7152837.0,7378262.0,7212363.5,7197423.0,62.0,95.0,91.61,93.0,84.0,86.0,84.94,85.0,540.61,6471.34,5697.89,6471.34,2.2,26.33,23.18,26.33,0.0,94.0,73.91,93.0,
NVIDIA GeForce RTX 3090,force,215378.0,7850818.0,6787514.53,7818654.0,37.0,92.0,83.6,90.0,76.0,84.0,82.33,83.0,723.67,6720.34,4565.81,6720.34,2.94,27.35,18.58,27.35,0.0,94.0,47.88,59.0,
