GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,365349260.0,373711131.0,369881961.25,370741505.5,92.0,93.0,92.62,93.0,60.0,61.0,60.38,60.0,2209.91,2950.25,2809.86,2925.97,19.62,26.19,24.95,25.98,1.0,85.0,64.22,82.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,200409330.0,368595840.0,229686684.08,210056078.0,95.0,97.0,96.33,96.0,53.0,58.0,53.58,53.0,1146.19,1826.84,1666.43,1826.84,10.18,16.22,14.79,16.22,0.0,95.0,60.95,87.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,673301421.0,685426411.0,677994512.56,676734134.0,74.0,76.0,75.0,75.0,81.0,83.0,82.44,83.0,327.78,1321.68,881.87,1321.68,4.0,16.13,10.76,16.13,0.0,85.0,44.47,70.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,793866161.0,812090959.0,797682138.2,796324976.0,88.0,91.0,89.7,90.0,80.0,84.0,82.6,83.0,338.56,1332.46,1023.71,1332.46,4.13,16.27,12.5,16.27,0.0,90.0,58.05,88.0,
NVIDIA GeForce RTX 3070,combinator,468652842.0,566409125.0,528583407.25,525420159.5,53.0,76.0,59.92,55.5,73.0,74.0,73.25,73.0,356.11,1352.07,1034.37,1352.07,4.35,16.5,12.63,16.5,0.0,69.0,42.2,63.0,
NVIDIA GeForce RTX 3070,hybrid,590912252.0,600505137.0,594534641.7,594528306.0,69.0,72.0,69.7,69.5,71.0,72.0,71.9,72.0,470.16,1470.27,1178.33,1458.83,5.74,17.95,14.38,17.81,0.0,95.0,54.95,83.0,
NVIDIA GeForce RTX 3090,combinator,1028029391.0,1043540259.0,1033598519.8,1031917604.0,54.0,63.0,60.6,62.0,83.0,84.0,83.4,83.0,499.16,2205.83,1740.62,2205.83,2.03,8.98,7.08,8.98,0.0,77.0,51.27,69.0,
NVIDIA GeForce RTX 3090,hybrid,874040775.0,1180892763.0,1049122431.67,1026256795.0,50.0,78.0,69.33,72.0,80.0,83.0,81.67,82.0,515.07,2221.8,1639.86,2221.8,2.1,9.04,6.67,9.04,3.0,77.0,40.43,54.0,
NVIDIA RTX A4000,combinator,457726176.0,470834968.0,464236682.0,463906736.0,57.0,67.0,60.0,59.0,85.0,87.0,86.42,86.5,958.74,2038.85,1757.51,2007.51,5.85,12.45,10.73,12.26,0.0,89.0,56.68,83.0,
NVIDIA RTX A4000,hybrid,478039119.0,491543821.0,486891894.5,488610792.0,60.0,67.0,63.0,62.0,85.0,87.0,86.2,86.0,1035.09,2076.81,1797.62,2073.06,6.32,12.68,10.98,12.66,3.0,86.0,54.42,83.0,
Radeon RX Vega,combinator,95201738.0,96002729.0,95392460.0,95297204.0,11.0,41.0,34.46,37.0,64.0,67.0,65.46,65.0,9230.73,10511.66,10002.51,9591.68,56.6,64.4,61.32,58.8,0,0,0,0,
Radeon RX Vega,hybrid,83215609.0,99494338.0,96785157.77,99426917.0,0.0,41.0,31.23,35.0,58.0,60.0,59.46,60.0,8624.77,10244.71,9753.09,10225.15,52.9,62.8,59.8,62.7,0,0,0,0,
