GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,18702280.0,19157997.0,18920287.0,18934688.5,92.0,93.0,92.88,93.0,61.0,63.0,61.88,61.5,2226.41,3158.62,2999.3,3152.66,19.77,28.04,26.63,27.99,2.0,94.0,75.83,93.0,
NVIDIA GeForce GTX 1080 Ti,dict3,13522183.0,13559958.0,13540845.12,13540573.5,79.0,83.0,81.12,81.0,74.0,74.0,74.0,74.0,1846.35,2732.04,2535.14,2717.59,16.39,24.25,22.51,24.13,5.0,87.0,64.93,81.0,
NVIDIA GeForce GTX 1080 Ti,dict4,17984492.0,18117823.0,18052944.33,18053373.5,79.0,94.0,92.11,94.0,72.0,74.0,73.22,73.0,1145.16,2012.46,1899.39,2012.46,10.17,17.87,16.86,17.87,0.0,94.0,76.26,94.0,
NVIDIA GeForce GTX 1080 Ti,force,15913473.0,22323283.0,19052519.63,18254672.0,56.0,93.0,89.0,93.0,56.0,60.0,57.37,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,9728164.0,14692578.0,10980452.5,10382027.0,95.0,96.0,95.2,95.0,53.0,56.0,53.6,53.0,1141.75,2074.4,1769.91,2074.4,10.14,18.42,15.71,18.42,0.0,93.0,59.82,92.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,29249572.0,29852139.0,29441755.31,29381165.0,87.0,87.0,87.0,87.0,84.0,85.0,84.23,84.0,327.78,1753.68,1425.49,1753.68,4.0,21.41,17.4,21.41,0.0,87.0,62.14,86.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,15704570.0,15762664.0,15739928.29,15742640.0,74.0,75.0,74.86,75.0,73.0,76.0,74.86,75.0,338.56,1698.46,1358.64,1698.46,4.13,20.73,16.59,20.73,0.0,79.0,52.75,74.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,20207099.0,20470982.0,20340490.11,20353463.0,87.0,92.0,89.33,88.0,82.0,86.0,84.89,85.0,338.56,1698.46,1521.82,1698.46,4.13,20.73,18.58,20.73,0.0,92.0,76.17,89.0,
NVIDIA GeForce RTX 2080 SUPER,force,16727976.0,34466506.0,32232696.71,33971086.0,38.0,89.0,80.76,88.0,64.0,84.0,78.41,80.0,338.56,1764.46,1354.47,1764.46,4.13,21.54,16.53,21.54,0.0,88.0,54.55,79.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,29400715.0,29865127.0,29594084.18,29543433.0,80.0,88.0,86.36,87.0,81.0,84.0,83.27,84.0,338.56,1764.46,1282.12,1764.46,4.13,21.54,15.65,21.54,0.0,87.0,50.35,83.0,
NVIDIA GeForce RTX 3070,combinator,34324188.0,34541047.0,34379427.23,34351300.0,84.0,84.0,84.0,84.0,74.0,77.0,75.92,76.0,356.11,1766.07,1445.41,1766.07,4.35,21.56,17.64,21.56,0.0,85.0,54.95,81.0,
NVIDIA GeForce RTX 3070,dict3,21480403.0,21605565.0,21569015.0,21595046.0,57.0,67.0,62.0,62.0,70.0,71.0,70.5,70.5,356.11,1700.07,1401.52,1700.07,4.35,20.75,17.11,20.75,0.0,65.0,40.33,58.0,
NVIDIA GeForce RTX 3070,dict4,29862995.0,30125363.0,29967472.89,29947367.0,72.0,89.0,83.94,88.0,73.0,76.0,74.67,75.0,356.11,1700.07,1524.86,1700.07,4.35,20.75,18.61,20.75,0.0,88.0,69.0,86.0,
NVIDIA GeForce RTX 3070,force,29543710.0,39786183.0,38827046.56,39476638.0,45.0,87.0,81.94,85.0,65.0,71.0,69.31,69.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,34310568.0,34558665.0,34384425.3,34358557.5,80.0,86.0,83.8,84.0,72.0,74.0,72.8,73.0,479.28,1875.7,1413.85,1875.7,5.85,22.9,17.26,22.9,0.0,88.0,54.94,83.0,
NVIDIA GeForce RTX 3090,combinator,49506508.0,50598856.0,49835186.15,49687491.0,72.0,73.0,72.54,73.0,84.0,85.0,84.31,84.0,499.16,2943.83,2536.53,2943.83,2.03,11.98,10.32,11.98,0.0,88.0,63.17,75.0,
NVIDIA GeForce RTX 3090,dict3,30631113.0,30712341.0,30671727.0,30671727.0,53.0,58.0,55.5,55.5,79.0,80.0,79.5,79.5,543.17,2921.84,2030.18,2921.84,2.21,11.89,8.26,11.89,0.0,65.0,30.62,34.0,
NVIDIA GeForce RTX 3090,dict4,47375977.0,48587598.0,47766025.0,47726625.0,60.0,90.0,82.06,88.0,82.0,84.0,82.53,82.0,543.17,2921.84,2705.66,2921.84,2.21,11.89,11.01,11.89,0.0,92.0,74.0,88.0,
NVIDIA GeForce RTX 3090,force,43488232.0,68798296.0,65685197.53,67348502.0,32.0,85.0,75.33,82.0,74.0,84.0,81.27,82.0,721.29,3170.15,2438.62,3170.15,2.93,12.9,9.92,12.9,0.0,88.0,50.53,84.0,
NVIDIA GeForce RTX 3090,hybrid,50193296.0,50639386.0,50341245.11,50286152.0,72.0,77.0,73.78,73.0,82.0,83.0,82.44,82.0,516.38,2962.3,2286.97,2959.8,2.1,12.05,9.31,12.04,3.0,89.0,56.76,88.0,
NVIDIA RTX A4000,combinator,31900450.0,32727977.0,32319161.46,32359707.0,84.0,87.0,85.15,85.0,84.0,88.0,86.23,86.0,959.14,2464.22,2023.68,2432.72,5.86,15.05,12.36,14.86,0.0,95.0,64.25,92.0,
NVIDIA RTX A4000,dict3,20133273.0,20394417.0,20218249.4,20157852.0,65.0,65.0,65.0,65.0,79.0,80.0,79.6,80.0,673.7,2077.67,1520.01,2077.67,4.11,12.69,9.28,12.69,0.0,74.0,37.58,45.5,
NVIDIA RTX A4000,dict4,27723632.0,28236703.0,27975897.39,27981623.0,72.0,91.0,87.78,89.0,82.0,88.0,85.33,85.5,802.06,2239.28,2027.77,2206.03,4.9,13.67,12.38,13.47,2.0,96.0,80.78,94.0,
NVIDIA RTX A4000,force,23643043.0,38379777.0,36655587.93,37535204.0,44.0,89.0,81.93,86.0,78.0,86.0,82.87,83.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,32204445.0,32738111.0,32402581.0,32372191.0,85.0,88.0,85.6,85.0,84.0,87.0,85.4,85.5,1043.59,2513.56,1975.22,2513.56,6.37,15.35,12.06,15.35,4.0,95.0,58.89,92.0,
Radeon RX Vega,combinator,14235618.0,14291768.0,14257247.33,14260180.5,16.0,58.0,39.83,39.0,67.0,69.0,68.0,68.0,9220.76,10508.94,10247.85,10482.4,56.5,64.4,62.82,64.3,0,0,0,0,
Radeon RX Vega,dict3,11927705.0,12043796.0,11977176.78,11974465.0,0.0,56.0,35.0,53.0,71.0,71.0,71.0,71.0,4595.94,5915.69,5510.89,5911.1,28.2,36.3,33.79,36.2,0,0,0,0,
Radeon RX Vega,dict4,15656727.0,15779049.0,15689842.0,15683346.0,2.0,57.0,45.47,53.0,72.0,72.0,72.0,72.0,8208.09,9550.12,9324.17,9536.79,50.3,58.5,57.16,58.5,0,0,0,0,
Radeon RX Vega,force,10345095.0,17254986.0,16584438.0,17207644.5,5.0,93.0,69.6,83.0,59.0,66.0,63.0,63.0,7789.82,9436.26,9101.08,9377.49,47.8,57.8,55.79,57.5,0,0,0,0,
Radeon RX Vega,hybrid,14286432.0,14492856.0,14351834.75,14322309.0,14.0,53.0,35.5,36.5,60.0,63.0,61.75,62.0,8631.01,10253.26,9885.06,10237.19,52.9,62.9,60.6,62.8,0,0,0,0,
