GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2514.0,2597.0,2557.88,2565.0,91.0,100.0,98.12,99.0,59.0,61.0,59.75,59.5,2235.91,7122.56,6392.0,7116.88,19.85,63.23,56.75,63.18,1.0,100.0,78.11,99.0,
NVIDIA GeForce GTX 1080 Ti,dict1,50.0,50.0,50.0,50.0,62.0,100.0,97.0,99.0,57.0,57.0,57.0,57.0,1609.81,6431.11,5627.42,6431.11,14.29,57.09,49.96,57.09,2.0,100.0,75.22,98.0,
NVIDIA GeForce GTX 1080 Ti,dict2,9.0,10.0,9.22,9.0,98.0,100.0,98.22,98.0,59.0,61.0,59.56,59.0,1680.85,6508.65,5902.64,6504.71,14.92,57.78,52.4,57.75,0.0,99.0,80.71,98.0,
NVIDIA GeForce GTX 1080 Ti,dict3,2861.0,2911.0,2889.5,2888.5,89.0,100.0,98.75,99.0,73.0,75.0,73.94,74.0,1840.24,6667.41,6062.02,6665.47,16.34,59.19,53.82,59.18,3.0,100.0,83.29,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,3158.0,3200.0,3187.41,3190.0,88.0,100.0,98.82,99.0,70.0,71.0,70.18,70.0,1145.16,5966.46,5363.98,5966.46,10.17,52.97,47.62,52.97,0.0,100.0,82.42,99.0,
NVIDIA GeForce GTX 1080 Ti,force,4.0,4.0,4.0,4.0,89.0,94.0,90.89,90.0,51.0,52.0,51.22,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,872.0,1029.0,961.57,1028.0,97.0,100.0,99.57,100.0,50.0,51.0,50.14,50.0,1146.19,6032.84,2462.48,1284.84,10.18,53.56,21.86,11.41,0.0,100.0,22.52,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4421.0,4463.0,4431.08,4426.0,98.0,99.0,98.75,99.0,74.0,78.0,76.42,77.0,327.78,5173.68,1796.54,445.68,4.0,63.16,21.93,5.44,0.0,99.0,25.14,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,153.0,155.0,154.0,154.0,95.0,95.0,95.0,95.0,61.0,61.0,61.0,61.0,327.78,5107.68,1415.76,445.68,4.0,62.35,17.28,5.44,0.0,95.0,17.92,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,30.0,31.0,30.28,30.0,90.0,92.0,90.56,90.5,61.0,61.0,61.0,61.0,338.56,5118.46,4495.08,5118.46,4.13,62.48,54.87,62.48,0.0,90.0,75.26,89.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,4896.0,4942.0,4912.27,4909.0,97.0,99.0,98.13,98.0,72.0,79.0,76.53,76.0,338.56,5118.46,4702.86,5118.46,4.13,62.48,57.41,62.48,0.0,99.0,86.3,98.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,4770.0,4876.0,4806.25,4802.0,98.0,99.0,98.44,98.0,84.0,86.0,84.94,85.0,338.56,5118.46,4495.08,5118.46,4.13,62.48,54.87,62.48,0.0,99.0,83.78,98.0,
