GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,623503.0,624193.0,623641.33,623577.0,97.0,97.0,97.0,97.0,66.0,68.0,67.11,67.0,1675.29,7725.94,7053.77,7725.94,14.87,68.59,62.62,68.59,6.0,97.0,81.72,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,732020.0,764989.0,741005.83,738897.0,31.0,97.0,93.28,97.0,79.0,89.0,83.89,83.5,1145.81,7130.46,6355.03,7130.46,10.17,63.3,56.42,63.3,0.0,97.0,81.17,96.0,
NVIDIA GeForce GTX 1080 Ti,force,899.0,227171.0,136035.95,222131.0,68.0,88.0,81.95,87.0,54.0,58.0,56.37,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,306875.0,307169.0,307070.88,307079.0,96.0,97.0,96.12,96.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,716213.0,739794.0,725850.69,724343.0,72.0,74.0,73.0,73.0,84.0,86.0,84.92,85.0,327.78,6357.68,3043.56,445.68,4.0,77.61,37.15,5.44,0.0,73.0,30.29,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,888037.0,954143.0,908482.61,904071.5,82.0,92.0,89.72,92.0,85.0,90.0,87.17,87.0,338.56,6302.46,5525.03,6302.46,4.13,76.93,67.44,76.93,0.0,93.0,75.91,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,838582.0,867706.0,846544.89,843239.0,92.0,92.0,92.0,92.0,87.0,88.0,87.94,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.52,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,978157.0,657254.64,790882.0,61.0,93.0,76.5,65.5,63.0,88.0,79.95,82.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,489561.0,502003.0,494504.75,494111.5,58.0,67.0,62.88,64.0,78.0,82.0,79.88,79.5,338.56,6368.46,2690.85,456.46,4.13,77.74,32.85,5.57,0.0,83.0,26.38,0.0,
NVIDIA GeForce RTX 3070,combinator,904622.0,911796.0,907438.93,906891.0,86.0,92.0,90.57,91.0,74.0,80.0,77.07,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,916595.0,956305.0,926762.29,925640.0,95.0,97.0,96.0,96.0,83.0,84.0,83.59,84.0,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,93.0,69.22,91.0,
NVIDIA GeForce RTX 3070,dict4,935717.0,957452.0,942433.33,940116.0,96.0,97.0,96.06,96.0,83.0,85.0,84.06,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,3444.0,985736.0,705703.0,963557.0,59.0,96.0,80.43,95.0,62.0,75.0,69.67,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,938189.0,941596.0,939509.33,939251.0,92.0,92.0,92.0,92.0,73.0,76.0,74.56,74.0,505.5,6529.46,2875.43,659.46,6.17,79.71,35.1,8.05,0.0,94.0,23.69,0.0,
