GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,403004573.0,427305317.0,417400763.12,417138523.0,91.0,95.0,93.38,93.5,56.0,56.0,56.0,56.0,2213.89,7064.94,6462.05,7064.81,19.65,62.72,57.37,62.72,6.0,97.0,79.11,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,114655093.0,118775035.0,116708131.83,116241278.0,50.0,75.0,59.5,58.0,65.0,66.0,65.67,66.0,1143.66,5944.46,4670.82,5944.46,10.15,52.77,41.47,52.77,0.0,66.0,40.18,52.0,
NVIDIA GeForce GTX 1080 Ti,force,377176782.0,988544921.0,576923270.39,401889157.0,38.0,99.0,92.06,94.5,55.0,56.0,55.22,55.0,1149.44,6014.09,3188.05,1288.09,10.2,53.39,28.3,11.44,0.0,99.0,36.59,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,222972679.0,250259023.0,240318702.67,243298279.0,85.0,99.0,95.44,97.0,56.0,56.0,56.0,56.0,1144.06,5994.71,2127.94,1284.84,10.16,53.22,18.89,11.41,0.0,98.0,11.12,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,883099624.0,909495934.0,892250113.69,890785291.0,86.0,89.0,88.23,89.0,65.0,68.0,66.62,67.0,327.78,4895.68,2096.03,445.68,4.0,59.76,25.59,5.44,0.0,89.0,29.37,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,154773641.0,161861453.0,157931287.0,157545027.0,37.0,46.0,40.25,39.0,76.0,77.0,76.25,76.0,338.56,4852.46,3159.87,4852.46,4.13,59.23,38.57,59.23,0.0,56.0,32.25,47.0,
NVIDIA GeForce RTX 2080 SUPER,force,945170699.0,3238317254.0,2117749149.64,2193845980.0,31.0,98.0,81.71,90.0,58.0,73.0,66.86,66.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,751072086.0,2791833772.0,1779026807.33,1782491416.5,75.0,78.0,77.17,77.5,63.0,69.0,65.67,65.0,338.56,4906.46,1120.04,456.46,4.13,59.89,13.67,5.57,0.0,92.0,7.03,0.0,
NVIDIA GeForce RTX 3070,combinator,1150899013.0,1185982683.0,1170718686.69,1171428513.0,89.0,94.0,91.85,92.0,63.0,64.0,63.62,64.0,356.11,6490.07,2638.48,510.07,4.35,79.22,32.21,6.23,0.0,93.0,29.36,0.0,
NVIDIA GeForce RTX 3070,dict4,252997792.0,253398068.0,253197930.0,253197930.0,52.0,63.0,57.5,57.5,76.0,76.0,76.0,76.0,356.11,6444.07,4161.33,6444.07,4.35,78.66,50.8,78.66,0.0,68.0,24.5,17.0,
NVIDIA GeForce RTX 3070,force,1169934104.0,3452059508.0,2382889836.83,2565832363.0,37.0,97.0,86.08,95.5,59.0,63.0,61.0,61.0,,,,,,,,,,,,,
