GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2193074363.0,2214044070.0,2202815649.5,2202072082.5,95.0,96.0,95.5,95.5,60.0,61.0,60.25,60.0,2202.1,7060.75,5604.48,7060.75,19.55,62.68,49.76,62.68,6.0,96.0,59.3,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,198646689.0,199937640.0,199219857.67,199075244.0,58.0,59.0,58.67,59.0,65.0,65.0,65.0,65.0,1148.1,5952.46,4751.45,5952.46,10.19,52.85,42.18,52.85,0.0,60.0,37.5,60.0,
NVIDIA GeForce GTX 1080 Ti,force,1194430588.0,2800743779.0,2504064131.93,2793753349.0,36.0,96.0,82.79,96.0,55.0,59.0,57.79,58.5,1149.44,6022.09,1850.55,1288.09,10.2,53.46,16.43,11.44,0.0,97.0,10.19,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1484843854.0,1539404694.0,1533250073.54,1538242068.0,93.0,95.0,94.08,94.0,57.0,58.0,57.69,58.0,1146.19,6004.84,1600.87,1284.84,10.18,53.31,14.21,11.41,0.0,79.0,2.72,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,5508679657.0,5508679657.0,5508679657.0,5508679657.0,73.0,73.0,73.0,73.0,77.0,77.0,77.0,77.0,327.78,4903.68,991.93,445.68,4.0,59.86,12.11,5.44,0.0,91.0,9.84,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,327796513.0,327796513.0,327796513.0,327796513.0,44.0,44.0,44.0,44.0,76.0,76.0,76.0,76.0,338.56,4860.46,3353.32,4860.46,4.13,59.33,40.93,59.33,0.0,44.0,26.0,34.0,
NVIDIA GeForce RTX 2080 SUPER,force,1395269149.0,8995895181.0,5552617465.8,7181813896.0,32.0,84.0,46.4,42.0,61.0,77.0,68.6,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,9504652179.0,9504652179.0,9504652179.0,9504652179.0,51.0,51.0,51.0,51.0,73.0,73.0,73.0,73.0,338.56,4914.46,741.93,456.46,4.13,59.99,9.06,5.57,0.0,53.0,2.73,0.0,
NVIDIA GeForce RTX 3070,combinator,8353093876.0,8353093876.0,8353093876.0,8353093876.0,88.0,88.0,88.0,88.0,67.0,67.0,67.0,67.0,356.11,6498.07,1068.59,510.07,4.35,79.32,13.04,6.23,0.0,89.0,8.32,0.0,
NVIDIA GeForce RTX 3070,dict4,367427803.0,367427803.0,367427803.0,367427803.0,40.0,40.0,40.0,40.0,72.0,72.0,72.0,72.0,356.11,6452.07,3404.42,3404.58,4.35,78.76,41.56,41.56,0.0,40.0,18.83,18.0,
NVIDIA GeForce RTX 3070,force,1879212629.0,9850552333.0,6330356765.25,6795831049.5,24.0,92.0,62.5,67.0,58.0,64.0,60.75,60.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,10698384038.0,10698384038.0,10698384038.0,10698384038.0,91.0,91.0,91.0,91.0,65.0,65.0,65.0,65.0,511.75,6652.73,1082.15,664.73,6.25,81.21,13.21,8.11,0.0,29.0,1.83,0.0,
NVIDIA GeForce RTX 3090,combinator,11398511403.0,11398511403.0,11398511403.0,11398511403.0,70.0,70.0,70.0,70.0,79.0,79.0,79.0,79.0,499.16,11371.83,5935.94,5936.16,2.03,46.27,24.15,24.15,0.0,83.0,27.5,0.0,
NVIDIA GeForce RTX 3090,dict4,406805904.0,406805904.0,406805904.0,406805904.0,23.0,23.0,23.0,23.0,77.0,77.0,77.0,77.0,541.8,11381.97,5962.81,5963.3,2.2,46.31,24.26,24.26,0.0,29.0,12.17,10.5,
NVIDIA GeForce RTX 3090,force,2461429543.0,16695944563.0,10329442145.5,11080197238.0,29.0,92.0,60.25,60.0,70.0,75.0,72.25,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,17286020496.0,17286020496.0,17286020496.0,17286020496.0,87.0,87.0,87.0,87.0,76.0,76.0,76.0,76.0,533.16,11405.84,1449.99,789.84,2.17,46.41,5.9,3.21,0.0,15.0,0.48,0.0,
NVIDIA RTX A4000,combinator,7771338378.0,7771338378.0,7771338378.0,7771338378.0,81.0,81.0,81.0,81.0,71.0,71.0,71.0,71.0,759.67,7165.2,2073.66,921.64,4.64,43.75,12.66,5.63,0.0,95.0,16.67,0.0,
NVIDIA RTX A4000,dict4,320275461.0,320275461.0,320275461.0,320275461.0,38.0,38.0,38.0,38.0,75.0,75.0,75.0,75.0,830.97,7190.94,4465.8,7190.94,5.07,43.91,27.27,43.91,3.0,38.0,22.14,35.0,
NVIDIA RTX A4000,force,1753984962.0,9171094518.0,5874975347.75,6287410955.5,32.0,93.0,64.75,67.0,66.0,69.0,67.5,67.5,743.73,7167.7,1731.83,905.7,4.54,43.77,10.58,5.53,0.0,96.0,7.61,0.0,
