GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1981723804.0,2142236738.0,2025349389.22,1998822211.0,65.0,69.0,67.22,67.0,60.0,61.0,60.11,60.0,2213.04,5247.69,4768.65,5247.69,19.65,46.59,42.34,46.59,6.0,99.0,52.0,63.0,
NVIDIA GeForce GTX 1080 Ti,dict4,267703116.0,267703116.0,267703116.0,267703116.0,49.0,49.0,49.0,49.0,66.0,66.0,66.0,66.0,1148.1,2238.46,1875.12,2238.46,10.19,19.87,16.65,19.87,0.0,47.0,28.0,38.5,
NVIDIA GeForce GTX 1080 Ti,force,548550622.0,6211354647.0,4277635882.0,5972289389.0,69.0,95.0,88.4,93.0,65.0,68.0,66.2,66.0,1149.44,4184.09,2835.22,4184.09,10.2,37.15,25.17,37.15,0.0,97.0,40.08,42.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,982580145.0,1593017591.0,1077704066.62,984410803.0,21.0,63.0,55.31,61.0,57.0,61.0,57.92,57.0,1146.19,4180.84,2698.34,2732.84,10.18,37.12,23.96,24.26,0.0,97.0,15.92,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4162756163.0,4520095163.0,4286352838.0,4200132476.0,54.0,66.0,59.8,59.0,69.0,73.0,71.8,73.0,327.78,3341.68,2517.69,3341.68,4.0,40.79,30.73,40.79,0.0,60.0,37.5,54.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,339619547.0,339619547.0,339619547.0,339619547.0,32.0,32.0,32.0,32.0,70.0,70.0,70.0,70.0,338.56,2078.46,1333.06,2078.46,4.13,25.37,16.27,25.37,0.0,40.0,17.29,14.0,
NVIDIA GeForce RTX 2080 SUPER,force,577610223.0,9574037384.0,5964609705.0,8249688950.0,61.0,93.0,74.0,71.0,69.0,80.0,74.6,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2334433392.0,6422326648.0,5774009171.08,6013882787.0,43.0,69.0,62.46,65.0,62.0,76.0,72.31,73.0,338.56,3352.46,1759.57,662.46,4.13,40.92,21.48,8.09,0.0,50.0,17.36,8.0,
NVIDIA GeForce RTX 3070,combinator,5489600570.0,5873343317.0,5640547605.2,5598312521.0,60.0,65.0,62.4,62.0,64.0,65.0,64.8,65.0,356.11,3386.07,2050.89,3386.07,4.35,41.33,25.04,41.33,0.0,68.0,33.09,47.0,
NVIDIA GeForce RTX 3070,dict4,372972355.0,372972355.0,372972355.0,372972355.0,33.0,33.0,33.0,33.0,69.0,69.0,69.0,69.0,356.11,2066.07,1496.25,2066.07,4.35,25.22,18.26,25.22,0.0,32.0,14.67,13.5,
NVIDIA GeForce RTX 3070,force,338815592.0,9531013248.0,5765838401.2,7710491476.0,65.0,95.0,78.8,77.0,58.0,64.0,61.4,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,0.0,8160793264.0,7065355030.42,7754072316.0,36.0,95.0,61.0,62.5,60.0,65.0,63.08,63.5,505.25,3530.23,2011.43,1915.23,6.17,43.09,24.55,23.38,0.0,34.0,7.25,0.0,
NVIDIA GeForce RTX 3090,combinator,6753312317.0,7414303678.0,7189954739.0,7402248222.0,49.0,59.0,55.67,59.0,75.0,77.0,76.33,77.0,499.16,3629.83,2735.54,3629.83,2.03,14.77,11.13,14.77,0.0,68.0,32.14,38.0,
NVIDIA GeForce RTX 3090,dict4,454396395.0,454396395.0,454396395.0,454396395.0,27.0,27.0,27.0,27.0,76.0,76.0,76.0,76.0,541.8,3563.97,2053.81,2054.3,2.2,14.5,8.36,8.36,0.0,23.0,6.33,0.0,
NVIDIA GeForce RTX 3090,force,1236026150.0,18189750696.0,9700092828.0,9687297233.0,56.0,73.0,61.25,58.0,72.0,75.0,73.25,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,9650260291.0,14406802052.0,12821288131.67,14406802052.0,35.0,58.0,50.33,58.0,70.0,74.0,72.67,74.0,532.0,3663.84,2097.7,2097.92,2.16,14.91,8.54,8.54,0.0,58.0,19.33,12.5,
NVIDIA RTX A4000,dict4,366063906.0,366063906.0,366063906.0,366063906.0,38.0,38.0,38.0,38.0,74.0,74.0,74.0,74.0,830.97,2614.94,2020.61,2614.94,5.07,15.97,12.34,15.97,2.0,29.0,12.67,10.0,
NVIDIA RTX A4000,force,21654135.0,11890967070.0,7136531859.0,10653439894.0,55.0,95.0,87.43,92.0,67.0,70.0,68.0,68.0,743.73,3801.7,2456.07,3801.7,4.54,23.22,15.0,23.22,0.0,97.0,22.45,2.0,
NVIDIA RTX A4000,hybrid,6541938197.0,9555369266.0,9038700796.3,9292017219.0,32.0,73.0,60.9,65.0,67.0,75.0,71.6,72.0,1112.91,4170.88,2526.21,1274.88,6.8,25.47,15.43,7.79,1.0,88.0,20.89,5.0,
Radeon RX Vega,combinator,1819179856.0,1897502162.0,1852194729.08,1845613157.0,19.0,39.0,33.85,35.0,60.0,62.0,61.08,61.0,5621.84,6933.77,6323.79,6135.97,34.5,42.5,38.78,37.6,0,0,0,0,
Radeon RX Vega,dict4,181809281.0,183284790.0,182680859.67,182948508.0,22.0,59.0,41.33,43.0,70.0,71.0,70.67,71.0,9555.79,10905.48,10483.38,10884.83,58.6,66.9,64.28,66.75,0,0,0,0,
Radeon RX Vega,force,260734431.0,8279588628.0,5196502872.33,5930826703.0,2.0,64.0,23.0,16.0,59.0,62.0,60.5,60.5,,,,,,,,,,,,,
Radeon RX Vega,hybrid,2138202058.0,5912572502.0,5541238734.67,5835044405.0,0.0,46.0,36.75,41.0,56.0,58.0,57.75,58.0,8119.53,9757.76,8913.89,8730.01,49.8,59.8,54.65,53.55,0,0,0,0,
