GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,178347034.0,210291892.0,185349492.89,179682427.0,53.0,66.0,56.44,56.0,56.0,57.0,56.11,56.0,2210.85,5239.69,4739.96,5236.94,19.63,46.52,42.08,46.49,6.0,93.0,55.61,65.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37547976.0,37807832.0,37677904.0,37677904.0,27.0,31.0,29.0,29.0,66.0,66.0,66.0,66.0,1154.54,2236.9,1876.22,2236.9,10.25,19.86,16.66,19.86,0.0,21.0,10.17,10.0,
NVIDIA GeForce GTX 1080 Ti,dict4,57643929.0,59787112.0,58302693.47,58135115.0,19.0,26.0,22.67,23.0,63.0,64.0,63.2,63.0,1148.1,2230.46,2122.26,2230.46,10.19,19.8,18.84,19.8,0.0,34.0,22.7,24.5,
NVIDIA GeForce GTX 1080 Ti,force,59449907.0,985351558.0,657362661.68,640722183.0,73.0,95.0,82.32,83.0,57.0,62.0,58.42,58.0,1149.44,4176.09,3507.22,4176.09,10.2,37.07,31.14,37.07,0.0,95.0,50.68,69.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,103556016.0,149002590.0,117336388.1,111072558.5,43.0,65.0,62.2,64.0,56.0,58.0,56.9,57.0,1146.19,4172.84,3401.37,4172.84,10.18,37.05,30.2,37.05,0.0,84.0,32.57,27.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,388300031.0,396092275.0,392895284.38,393431298.0,64.0,65.0,64.38,64.0,67.0,68.0,67.69,68.0,327.78,3333.68,2629.3,3333.68,4.0,40.69,32.1,40.69,0.0,64.0,43.0,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,43311805.0,43311805.0,43311805.0,43311805.0,24.0,24.0,24.0,24.0,58.0,58.0,58.0,58.0,338.56,2070.46,1429.32,1878.46,4.13,25.27,17.45,22.93,0.0,32.0,14.0,16.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,173390759.0,176507795.0,175371688.0,176216510.0,33.0,36.0,34.67,35.0,72.0,73.0,72.67,73.0,338.56,2070.46,1422.12,2070.46,4.13,25.27,17.36,25.27,0.0,42.0,22.0,26.5,
NVIDIA GeForce RTX 2080 SUPER,force,109463136.0,1980336539.0,1074726964.5,984201972.0,58.0,95.0,64.81,59.5,68.0,78.0,73.19,73.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,393841443.0,298623328.82,322871335.0,3.0,63.0,49.45,52.0,64.0,69.0,65.0,65.0,338.56,3344.46,2575.77,3344.46,4.13,40.83,31.44,40.83,0.0,64.0,35.57,35.0,
NVIDIA GeForce RTX 3070,combinator,537721124.0,568067823.0,551278265.62,548874880.0,58.0,63.0,59.85,60.0,64.0,65.0,64.77,65.0,356.11,3378.07,2796.77,3378.07,4.35,41.24,34.14,41.24,0.0,66.0,46.35,65.0,
NVIDIA GeForce RTX 3070,dict4,199737929.0,202286129.0,201200227.67,201576625.0,30.0,43.0,34.33,30.0,72.0,72.0,72.0,72.0,356.11,2058.07,1814.93,2058.07,4.35,25.12,22.15,25.12,0.0,31.0,21.0,28.0,
NVIDIA GeForce RTX 3070,force,104603412.0,1262312669.0,1030830502.82,1048141948.0,63.0,95.0,78.09,75.0,63.0,65.0,64.18,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,678336017.0,770095222.0,738920429.62,743819011.5,41.0,67.0,63.88,66.0,62.0,65.0,64.0,64.0,501.25,3522.23,2639.56,3522.23,6.12,43.0,32.22,43.0,0.0,95.0,39.85,61.5,
NVIDIA GeForce RTX 3090,combinator,750600884.0,810671313.0,759999230.23,756528667.0,67.0,67.0,67.0,67.0,76.0,77.0,76.85,77.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,73.0,53.11,66.0,
NVIDIA GeForce RTX 3090,dict4,239360170.0,244329724.0,241844947.0,241844947.0,30.0,33.0,31.5,31.5,77.0,77.0,77.0,77.0,544.51,3555.84,2695.62,3555.84,2.22,14.47,10.97,14.47,0.0,23.0,10.43,15.0,
NVIDIA GeForce RTX 3090,force,130727062.0,1729806100.0,1497863114.62,1684540153.0,49.0,91.0,62.62,60.0,73.0,76.0,75.12,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,0.0,1441704381.0,1185514298.29,1394894746.0,1.0,92.0,55.94,61.0,69.0,76.0,74.29,75.0,530.66,3653.34,2707.9,3653.34,2.16,14.87,11.02,14.87,0.0,78.0,38.21,37.0,
NVIDIA RTX A4000,combinator,404585862.0,410718696.0,407206546.69,407356754.0,68.0,68.0,68.0,68.0,73.0,76.0,74.62,75.0,759.67,3809.64,3012.0,3809.64,4.64,23.26,18.39,23.26,0.0,71.0,45.5,67.5,
NVIDIA RTX A4000,dict3,47539216.0,47539216.0,47539216.0,47539216.0,9.0,9.0,9.0,9.0,81.0,81.0,81.0,81.0,790.2,2566.17,1549.57,952.17,4.83,15.67,9.46,5.81,0.0,29.0,7.6,0.5,
NVIDIA RTX A4000,dict4,58551010.0,74685096.0,65692485.57,64606526.0,13.0,41.0,28.0,31.0,72.0,82.0,76.57,76.5,826.22,2606.94,2074.07,2606.94,5.05,15.92,12.67,15.92,3.0,39.0,22.2,32.5,
NVIDIA RTX A4000,force,108775650.0,1241537372.0,991256105.09,955262688.0,61.0,95.0,73.18,70.0,72.0,79.0,75.55,75.0,743.73,3793.7,3090.75,3793.7,4.54,23.17,18.87,23.17,0.0,85.0,56.81,83.0,
NVIDIA RTX A4000,hybrid,687504159.0,978599047.0,825476249.3,877285526.5,35.0,66.0,54.5,59.0,72.0,78.0,75.2,75.5,1109.16,4159.12,2928.96,4159.12,6.77,25.4,17.89,25.4,1.0,81.0,28.25,3.0,
Radeon RX Vega,combinator,162109242.0,169004325.0,165487546.14,165359617.0,14.0,46.0,37.29,38.5,60.0,61.0,60.64,61.0,8696.26,10013.88,9714.12,9995.77,53.3,61.4,59.55,61.3,0,0,0,0,
Radeon RX Vega,dict3,27161614.0,27444031.0,27319308.0,27352279.0,0.0,3.0,1.33,1.0,70.0,70.0,70.0,70.0,5043.98,6353.11,5996.04,6335.83,30.9,38.9,36.74,38.85,0,0,0,0,
Radeon RX Vega,dict4,103107398.0,105841418.0,104101918.55,104130878.0,0.0,57.0,30.0,46.0,71.0,71.0,71.0,71.0,9632.47,10966.6,10684.98,10946.29,59.0,67.2,65.51,67.1,0,0,0,0,
Radeon RX Vega,force,48040047.0,935973177.0,798675652.4,883263280.0,4.0,96.0,56.55,52.0,58.0,64.0,61.9,62.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,237071302.0,258653738.0,245401999.91,244241051.0,0.0,42.0,33.55,38.0,56.0,57.0,56.82,57.0,8208.66,9827.66,9268.99,9818.34,50.3,60.2,56.81,60.2,0,0,0,0,
