GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1449729901.0,1746931565.0,1560546333.22,1519610210.0,47.0,55.0,52.11,54.0,59.0,61.0,59.22,59.0,2244.52,5339.11,4930.12,5304.31,19.93,47.4,43.77,47.09,6.0,93.0,75.72,92.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,2253644104.0,1730378304.81,2243199636.0,40.0,97.0,80.06,92.0,52.0,57.0,53.62,54.0,1139.16,4210.4,3695.57,4210.4,10.11,37.38,32.81,37.38,0.0,98.0,44.21,61.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3426692409.0,3701024117.0,3548707041.86,3542550626.0,54.0,61.0,57.5,58.0,80.0,84.0,83.21,83.5,327.78,3375.68,2661.3,3375.68,4.0,41.21,32.49,41.21,0.0,59.0,38.24,53.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2063421833.0,4293227675.0,3578762799.38,3903709914.0,22.0,66.0,55.46,59.0,68.0,79.0,74.92,76.0,338.56,3386.46,2791.07,3386.46,4.13,41.34,34.07,41.34,0.0,63.0,40.12,54.0,
NVIDIA GeForce RTX 3070,combinator,2782292656.0,3282902021.0,3053603440.08,3025661108.0,51.0,65.0,59.08,59.0,73.0,74.0,73.62,74.0,356.11,3420.07,2705.74,3420.07,4.35,41.75,33.03,41.75,0.0,73.0,38.67,52.0,
NVIDIA GeForce RTX 3070,hybrid,2215618187.0,4457161576.0,3897327306.08,4127960647.0,24.0,61.0,53.62,58.0,68.0,71.0,70.62,71.0,499.77,3563.73,2953.96,3563.73,6.1,43.5,36.06,43.5,0.0,74.0,40.65,58.5,
NVIDIA GeForce RTX 3090,combinator,2990252906.0,3625585602.0,3477039061.08,3601298039.0,30.0,56.0,52.77,55.0,81.0,81.0,81.0,81.0,499.16,3663.83,3164.7,3663.83,2.03,14.91,12.88,14.91,0.0,69.0,48.74,59.0,
NVIDIA GeForce RTX 3090,hybrid,2371863300.0,4999476075.0,4498105289.46,4948195443.0,27.0,56.0,51.15,55.0,76.0,78.0,77.54,78.0,520.1,3684.77,3232.8,3684.77,2.12,14.99,13.15,14.99,0.0,95.0,53.57,66.0,
NVIDIA RTX A4000,combinator,3216964295.0,3899770095.0,3670861156.23,3692493513.0,39.0,73.0,61.54,60.0,84.0,87.0,86.46,87.0,758.86,3850.82,3163.01,3850.82,4.63,23.52,19.31,23.52,0.0,72.0,47.18,70.0,
NVIDIA RTX A4000,hybrid,2169035444.0,5720558347.0,4973864473.38,5452884344.0,25.0,65.0,54.85,60.0,81.0,86.0,84.0,84.0,1150.41,4242.38,3382.28,4242.38,7.02,25.91,20.65,25.91,2.0,76.0,40.38,53.0,
Radeon RX Vega,combinator,1224530913.0,1343231765.0,1276670777.64,1264778081.0,16.0,41.0,35.14,37.0,64.0,66.0,64.64,65.0,5576.56,7355.16,6962.14,7350.88,34.2,45.1,42.69,45.1,0,0,0,0,
Radeon RX Vega,dict3,49627616.0,49627616.0,49627616.0,49627616.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,5003.32,6288.04,5440.35,5235.03,30.7,38.5,33.35,32.1,0,0,0,0,
Radeon RX Vega,dict4,132262672.0,136916591.0,133992317.62,133725957.5,0.0,52.0,39.38,51.0,72.0,72.0,72.0,72.0,6330.32,7609.55,6726.53,6576.08,38.8,46.6,41.22,40.3,0,0,0,0,
Radeon RX Vega,hybrid,817237879.0,1406099982.0,1257323184.64,1369256155.5,0.0,36.0,25.29,31.5,57.0,59.0,58.07,58.0,9138.07,11382.27,10689.89,10968.26,56.0,69.8,65.54,67.2,0,0,0,0,
