GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,5224558916.0,5527806381.0,5345823937.17,5300556751.5,39.0,73.0,66.17,71.0,61.0,64.0,61.83,61.5,2245.16,5271.81,4794.04,5271.81,19.93,46.8,42.56,46.8,6.0,98.0,52.47,64.0,
NVIDIA GeForce GTX 1080 Ti,dict4,303781679.0,303781679.0,303781679.0,303781679.0,46.0,46.0,46.0,46.0,67.0,67.0,67.0,67.0,1145.16,2223.52,1792.31,2223.52,10.17,19.74,15.91,19.74,0.0,58.0,20.2,0.0,
NVIDIA GeForce GTX 1080 Ti,force,281049317.0,32843029735.0,16502061297.33,16394773180.0,80.0,97.0,91.17,94.0,63.0,64.0,63.33,63.0,1145.0,4171.65,2408.43,1283.65,10.17,37.04,21.38,11.4,0.0,98.0,34.7,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8845660.0,1618822944.0,1141622845.39,1225854652.0,0.0,55.0,42.33,53.5,51.0,56.0,52.5,52.0,1140.66,4168.4,2764.81,3175.4,10.13,37.01,24.55,28.19,0.0,71.0,6.75,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,8947713824.0,8947713824.0,8947713824.0,8947713824.0,58.0,58.0,58.0,58.0,80.0,80.0,80.0,80.0,327.78,3333.68,1854.5,1889.68,4.0,40.69,22.64,23.07,0.0,58.0,25.6,16.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,350397127.0,350397127.0,350397127.0,350397127.0,32.0,32.0,32.0,32.0,74.0,74.0,74.0,74.0,338.56,2070.46,1493.32,2070.46,4.13,25.27,18.23,25.27,0.0,30.0,17.5,23.0,
NVIDIA GeForce RTX 2080 SUPER,force,365850734.0,44023105892.0,24143151396.4,30166041539.0,44.0,56.0,51.2,50.0,67.0,70.0,68.6,69.0,338.56,3344.46,1700.93,456.46,4.13,40.83,20.76,5.57,0.0,52.0,20.89,15.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1789804054.0,6339069714.0,5165979182.75,5506736378.0,7.0,39.0,33.17,35.5,60.0,67.0,62.42,61.5,338.56,3344.46,1865.28,1900.46,4.13,40.83,22.77,23.2,0.0,29.0,12.6,11.5,
NVIDIA GeForce RTX 3070,combinator,11784637600.0,11784637600.0,11784637600.0,11784637600.0,31.0,31.0,31.0,31.0,78.0,78.0,78.0,78.0,356.11,3378.07,1733.63,510.07,4.35,41.24,21.16,6.23,0.0,60.0,24.56,0.0,
NVIDIA GeForce RTX 3070,dict4,255566641.0,256231581.0,255899111.0,255899111.0,16.0,16.0,16.0,16.0,74.0,74.0,74.0,74.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,16.0,8.43,13.0,
NVIDIA GeForce RTX 3070,force,630596442.0,82243587787.0,31444103781.25,21451115448.0,36.0,90.0,57.5,52.0,65.0,67.0,65.75,65.5,356.11,3378.07,1363.83,510.07,4.35,41.24,16.65,6.23,0.0,51.0,9.38,0.0,
