GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1162446.0,1162917.0,1162731.12,1162754.0,96.0,97.0,96.75,97.0,64.0,65.0,64.62,65.0,2141.15,6682.86,6172.4,6671.46,19.01,59.33,54.8,59.23,0.0,96.0,76.94,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1387333.0,1432913.0,1402204.5,1401012.0,30.0,96.0,76.39,96.0,79.0,90.0,85.06,85.0,1133.79,5615.52,5031.74,5615.52,10.07,49.85,44.67,49.85,0.0,96.0,66.61,78.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1570319.0,1629250.0,1588220.78,1586330.0,25.0,96.0,91.22,96.0,80.0,85.0,83.06,83.0,1144.35,5617.65,5034.23,5617.65,10.16,49.87,44.69,49.87,0.0,97.0,77.83,96.0,
NVIDIA GeForce GTX 1080 Ti,force,1525.0,697143.0,484363.71,592960.0,70.0,95.0,90.5,93.5,47.0,53.0,51.0,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,700021.0,701597.0,701079.56,701307.0,95.0,96.0,95.11,95.0,54.0,54.0,54.0,54.0,1136.06,5674.71,3673.96,5674.71,10.09,50.38,32.62,50.38,0.0,96.0,45.9,31.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2057022.0,2124466.0,2081532.62,2076612.0,94.0,95.0,94.92,95.0,85.0,89.0,86.85,87.0,327.78,4845.68,3252.28,4845.68,4.0,59.15,39.7,59.15,0.0,69.0,39.88,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1905387.0,2032862.0,1934265.17,1925041.5,84.0,96.0,92.61,95.0,85.0,90.0,87.22,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,1889207.0,1955737.0,1911072.33,1905914.5,95.0,96.0,95.06,95.0,87.0,90.0,87.72,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,1491380.0,2139878.0,1978443.79,2104974.0,67.0,95.0,87.5,94.0,77.0,87.0,83.57,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1913755.0,2074034.0,2013246.0,2038979.0,63.0,91.0,84.78,91.0,83.0,87.0,85.0,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,2046970.0,2055301.0,2051103.77,2051061.0,93.0,96.0,94.31,94.0,75.0,79.0,77.31,77.0,356.11,4880.07,3170.55,4880.07,4.35,59.57,38.7,59.57,0.0,90.0,49.6,87.0,
NVIDIA GeForce RTX 3070,dict3,1832180.0,1847063.0,1837616.33,1836845.5,90.0,95.0,94.56,95.0,77.0,80.0,79.06,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,2001023.0,2032317.0,2014154.11,2010332.0,77.0,95.0,92.11,94.0,78.0,82.0,79.94,80.0,356.11,4814.07,3452.07,4814.07,4.35,58.77,42.14,58.77,0.0,96.0,60.23,94.5,
NVIDIA GeForce RTX 3070,force,1476421.0,2078414.0,1956625.6,2075147.0,67.0,94.0,88.67,94.0,69.0,75.0,72.4,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1424827.0,1458715.0,1438023.88,1434115.0,68.0,77.0,71.88,70.0,71.0,73.0,71.88,72.0,495.0,5018.96,2843.54,3494.96,6.04,61.27,34.71,42.66,0.0,95.0,42.67,53.0,
NVIDIA GeForce RTX 3090,combinator,3089732.0,3115520.0,3099108.69,3096573.0,87.0,90.0,88.0,88.0,82.0,85.0,83.77,84.0,499.66,5122.33,4352.03,5122.33,2.03,20.84,17.71,20.84,0.0,95.0,71.67,88.5,
NVIDIA GeForce RTX 3090,dict3,2965562.0,3045776.0,2986834.44,2978844.0,46.0,97.0,86.78,95.0,83.0,86.0,84.94,85.0,540.67,5098.22,4700.38,5095.34,2.2,20.74,19.13,20.73,0.0,97.0,73.43,95.0,
NVIDIA GeForce RTX 3090,dict4,3234229.0,3276683.0,3254526.17,3250716.0,63.0,96.0,93.11,95.0,84.0,85.0,84.61,85.0,1066.59,5623.27,5029.03,5623.27,4.34,22.88,20.46,22.88,0.0,96.0,76.74,95.0,
NVIDIA GeForce RTX 3090,force,80035.0,3462544.0,2829171.29,3461228.0,48.0,96.0,86.82,94.0,73.0,82.0,79.18,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,2022385.0,2061286.0,2042199.38,2048414.5,36.0,66.0,55.38,65.0,78.0,81.0,79.88,80.0,557.49,5182.16,3060.57,5182.16,2.27,21.09,12.45,21.09,3.0,96.0,41.17,17.0,
NVIDIA RTX A4000,combinator,1738630.0,1753550.0,1745048.77,1743906.0,90.0,91.0,90.31,90.0,83.0,86.0,84.62,85.0,743.42,5305.39,3884.51,5305.39,4.54,32.4,23.72,32.4,0.0,96.0,58.36,95.0,
NVIDIA RTX A4000,dict3,1561532.0,1628190.0,1584189.72,1581540.5,47.0,93.0,85.72,92.0,87.0,90.0,88.83,89.0,751.33,5252.05,3937.63,5247.3,4.59,32.07,24.05,32.04,2.0,94.0,53.03,61.5,
NVIDIA RTX A4000,dict4,1650220.0,1721833.0,1679096.06,1678634.0,49.0,93.0,86.61,91.0,87.0,90.0,88.56,88.5,835.51,5331.48,4893.3,5331.48,5.1,32.56,29.88,32.56,0.0,96.0,81.91,95.0,
NVIDIA RTX A4000,force,220885.0,1669609.0,1434227.06,1668279.0,59.0,88.0,81.44,87.0,78.0,85.0,82.25,82.5,743.73,5305.7,3783.03,5305.7,4.54,32.4,23.1,32.4,0.0,94.0,40.29,61.0,
NVIDIA RTX A4000,hybrid,1759615.0,1773935.0,1765108.38,1764292.0,92.0,92.0,92.0,92.0,83.0,86.0,84.75,85.0,1390.13,5998.66,3919.53,5489.5,8.49,36.63,23.93,33.52,0.0,77.0,35.5,11.0,
Radeon RX Vega,combinator,1320444.0,1329138.0,1322741.69,1321790.0,16.0,52.0,40.54,42.0,68.0,69.0,68.46,68.0,5578.5,6895.96,6523.05,6882.96,34.2,42.3,39.99,42.2,0,0,0,0,
Radeon RX Vega,dict3,1205518.0,1238592.0,1212611.17,1209622.5,0.0,95.0,50.22,57.0,75.0,75.0,75.0,75.0,5145.1,6467.47,6365.17,6466.44,31.5,39.6,38.98,39.6,0,0,0,0,
Radeon RX Vega,dict4,1310741.0,1336209.0,1318011.11,1315590.5,16.0,59.0,42.61,42.5,76.0,77.0,76.06,76.0,6719.08,8071.17,7875.76,8047.46,41.2,49.5,48.28,49.3,0,0,0,0,
Radeon RX Vega,force,3045.0,1348170.0,1044572.45,1346744.0,19.0,97.0,71.65,89.0,62.0,69.0,67.55,69.0,7826.64,9459.28,8953.85,9412.22,48.0,58.0,54.89,57.7,0,0,0,0,
Radeon RX Vega,hybrid,1306328.0,1319017.0,1313624.12,1316054.5,16.0,54.0,40.25,42.0,67.0,69.0,67.75,68.0,8290.5,9977.73,9390.86,9454.35,50.8,61.2,57.57,57.95,0,0,0,0,
