GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,9249785572.0,9249785572.0,9249785572.0,9249785572.0,95.0,95.0,95.0,95.0,71.0,71.0,71.0,71.0,2146.94,5174.36,3660.76,3660.85,19.06,45.94,32.5,32.5,1.0,95.0,25.5,2.0,
NVIDIA GeForce GTX 1080 Ti,dict4,309767984.0,309767984.0,309767984.0,309767984.0,35.0,35.0,35.0,35.0,63.0,63.0,63.0,63.0,1148.1,2234.09,1827.18,2234.09,10.19,19.83,16.22,19.83,0.0,27.0,16.0,24.0,
NVIDIA GeForce GTX 1080 Ti,force,521803881.0,3396124053.0,2569553294.67,2743674747.0,79.0,97.0,91.33,94.0,50.0,59.0,52.78,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,8841686.0,3928935916.0,2879638375.61,3920603853.5,0.0,93.0,65.94,93.0,49.0,53.0,52.06,53.0,1133.12,4159.77,2871.21,4009.77,10.06,36.93,25.49,35.6,0.0,98.0,8.86,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,6201473438.0,6749906757.0,6481412521.0,6487134944.5,47.0,53.0,50.0,50.0,73.0,74.0,73.5,73.5,327.78,3333.68,1864.55,1889.68,4.0,40.69,22.76,23.07,0.0,52.0,25.07,26.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,365582640.0,365582640.0,365582640.0,365582640.0,31.0,31.0,31.0,31.0,66.0,66.0,66.0,66.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,752418259.0,20037834442.0,9233045950.25,8070965550.0,59.0,77.0,69.0,70.0,69.0,79.0,73.25,72.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2795816691.0,9717426276.0,7887846586.21,8918116804.5,36.0,71.0,59.5,63.5,66.0,79.0,74.71,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,7247091004.0,8030813252.0,7493851107.0,7348750086.0,36.0,61.0,53.0,57.5,70.0,70.0,70.0,70.0,356.11,3378.07,2019.0,3378.07,4.35,41.24,24.65,41.24,0.0,58.0,24.08,0.0,
NVIDIA GeForce RTX 3070,dict4,253228591.0,254036842.0,253632716.5,253632716.5,17.0,21.0,19.0,19.0,62.0,62.0,62.0,62.0,356.11,2058.07,1031.17,510.07,4.35,25.12,12.59,6.23,0.0,36.0,8.45,0.0,
