GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1779514889.0,1990640718.0,1878977610.88,1854948046.5,62.0,64.0,63.12,63.0,61.0,64.0,62.38,62.0,2225.98,5307.18,4823.73,5242.47,19.76,47.12,42.82,46.54,1.0,96.0,73.29,92.5,
NVIDIA GeForce GTX 1080 Ti,dict4,290938720.0,290938720.0,290938720.0,290938720.0,41.0,41.0,41.0,41.0,68.0,68.0,68.0,68.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,45.0,21.83,21.0,
NVIDIA GeForce GTX 1080 Ti,force,211099256.0,4214784843.0,2861816923.5,3446130967.5,51.0,98.0,83.17,89.5,58.0,61.0,59.5,59.5,1147.23,4176.09,2708.79,2732.09,10.18,37.07,24.05,24.26,0.0,97.0,40.67,28.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1810741841.0,1435647578.28,1806782478.5,24.0,94.0,77.5,93.0,50.0,54.0,52.83,54.0,1143.79,4172.84,2866.04,4172.84,10.15,37.05,25.44,37.05,0.0,33.0,3.39,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2150319615.0,2599422538.0,2380239820.85,2348574798.0,46.0,56.0,50.92,51.0,73.0,78.0,76.31,76.0,327.78,3333.68,2313.86,3333.68,4.0,40.69,28.25,40.69,0.0,66.0,34.43,53.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,340428456.0,340428456.0,340428456.0,340428456.0,35.0,35.0,35.0,35.0,76.0,76.0,76.0,76.0,338.56,2070.46,1328.49,2070.46,4.13,25.27,16.22,25.27,0.0,39.0,18.14,22.0,
NVIDIA GeForce RTX 2080 SUPER,force,448754576.0,8050643886.0,4256797317.25,4263895403.5,67.0,79.0,72.5,72.0,76.0,84.0,78.75,77.5,338.56,3344.46,1924.55,2448.46,4.13,40.83,23.49,29.89,0.0,94.0,29.77,8.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,6404652514.0,6459675213.0,6432163863.5,6432163863.5,54.0,85.0,69.5,69.5,84.0,84.0,84.0,84.0,338.56,3344.46,1883.69,1900.46,4.13,40.83,22.99,23.2,0.0,57.0,18.43,0.5,
NVIDIA GeForce RTX 3070,combinator,2585717842.0,2911789742.0,2794726056.75,2823664682.5,34.0,65.0,52.5,53.0,69.0,72.0,71.17,71.0,356.11,3378.07,1298.07,510.07,4.35,41.24,15.85,6.23,0.0,90.0,18.0,0.0,
NVIDIA GeForce RTX 3070,dict4,263616821.0,263677371.0,263647096.0,263647096.0,19.0,19.0,19.0,19.0,70.0,70.0,70.0,70.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,19.0,9.71,13.0,
NVIDIA GeForce RTX 3070,force,564412791.0,7740686618.0,5634726717.0,7328602529.0,50.0,97.0,86.17,92.5,72.0,73.0,72.33,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,10491147.0,6311028419.0,5452099494.47,6201108794.0,2.0,91.0,76.4,90.0,62.0,76.0,72.27,74.0,511.75,3532.73,1582.99,664.73,6.25,43.12,19.32,8.11,0.0,61.0,11.0,0.0,
NVIDIA GeForce RTX 3090,combinator,1815510749.0,2135418027.0,2047961659.54,2102027567.0,34.0,49.0,45.31,48.0,79.0,80.0,79.85,80.0,499.16,3621.83,1748.76,500.49,2.03,14.74,7.12,2.04,0.0,80.0,30.8,1.0,
NVIDIA GeForce RTX 3090,dict4,286141738.0,286141738.0,286141738.0,286141738.0,9.0,9.0,9.0,9.0,77.0,77.0,77.0,77.0,540.61,3553.34,2692.76,3553.34,2.2,14.46,10.96,14.46,0.0,16.0,6.86,9.0,
NVIDIA GeForce RTX 3090,force,915924260.0,13178629203.0,8319645279.0,11330019502.0,53.0,93.0,73.8,78.0,78.0,81.0,80.2,81.0,723.67,3846.34,2236.52,980.34,2.94,15.65,9.1,3.99,0.0,96.0,29.18,0.0,
NVIDIA GeForce RTX 3090,hybrid,2773999719.0,7555127358.0,5794881488.69,6102179385.0,18.0,79.0,55.92,60.0,75.0,82.0,79.62,80.0,509.84,3639.18,2913.69,3631.18,2.07,14.81,11.86,14.78,3.0,66.0,25.77,9.0,
NVIDIA RTX A4000,combinator,3645279991.0,3747453191.0,3691427582.83,3694082882.0,60.0,63.0,60.67,60.0,85.0,86.0,85.83,86.0,962.08,4041.62,2058.28,1123.98,5.87,24.68,12.57,6.86,2.0,96.0,22.75,4.0,
NVIDIA RTX A4000,dict4,251894786.0,252477223.0,252186004.5,252186004.5,20.0,21.0,20.5,20.5,82.0,82.0,82.0,82.0,804.91,2597.81,1993.33,2580.88,4.92,15.86,12.17,15.76,0.0,26.0,13.11,16.0,
NVIDIA RTX A4000,force,481494082.0,6597035883.0,4236429429.57,6019503619.0,72.0,96.0,85.43,89.0,80.0,83.0,81.29,81.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,2186068712.0,5635835530.0,5075374101.86,5537824905.0,32.0,92.0,82.86,91.0,82.0,87.0,85.0,85.0,1028.34,4090.81,2507.89,1949.06,6.28,24.98,15.31,11.9,3.0,94.0,29.64,5.0,
Radeon RX Vega,combinator,315195622.0,316146443.0,315585612.23,315630634.0,17.0,44.0,40.15,43.0,69.0,70.0,69.62,70.0,9155.01,10483.94,10094.28,10467.91,56.1,64.3,61.88,64.2,0,0,0,0,
Radeon RX Vega,dict3,46906415.0,46906415.0,46906415.0,46906415.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4617.14,5922.31,5451.57,5919.03,28.3,36.3,33.42,36.3,0,0,0,0,
Radeon RX Vega,dict4,119980626.0,124102509.0,121100382.78,120650036.0,0.0,55.0,23.78,7.0,71.0,72.0,71.89,72.0,8291.82,9840.26,9296.83,9609.12,50.8,60.3,56.98,58.9,0,0,0,0,
Radeon RX Vega,force,17804959.0,1777149092.0,1532388704.37,1734026974.0,2.0,92.0,51.84,53.0,62.0,69.0,66.95,68.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,245498880.0,259805397.0,250006662.36,249109283.0,25.0,55.0,43.27,42.0,62.0,64.0,62.91,63.0,8509.92,10148.98,9702.12,10117.14,52.2,62.2,59.46,62.0,0,0,0,0,
