GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,324378.0,324583.0,324442.75,324411.0,97.0,97.0,97.0,97.0,69.0,70.0,69.88,70.0,2009.54,7058.75,6491.09,7047.81,17.84,62.67,57.63,62.57,0.0,97.0,80.44,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,232.0,233.0,232.67,233.0,22.0,78.0,59.0,77.0,57.0,57.0,57.0,57.0,1533.93,6511.23,5089.23,6511.23,13.62,57.81,45.18,57.81,0.0,96.0,48.0,79.0,
NVIDIA GeForce GTX 1080 Ti,dict3,382453.0,395227.0,387283.33,385910.5,96.0,98.0,96.67,97.0,82.0,88.0,84.83,85.0,1095.88,6072.52,5424.06,6072.52,9.73,53.91,48.15,53.91,0.0,97.0,77.35,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,392883.0,411744.0,397958.67,396427.5,96.0,97.0,96.61,97.0,82.0,85.0,83.78,84.0,1145.16,6122.46,5473.3,6122.46,10.17,54.35,48.59,54.35,0.0,97.0,79.65,96.0,
NVIDIA GeForce GTX 1080 Ti,force,9.0,6267.0,3193.23,2872.5,56.0,81.0,70.27,73.5,53.0,54.0,53.09,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,153083.0,153733.0,153548.38,153617.5,96.0,97.0,96.62,97.0,60.0,61.0,60.62,61.0,1134.79,6178.09,3522.3,1276.71,10.07,54.85,31.27,11.33,0.0,97.0,39.08,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,374363.0,388092.0,379042.57,377933.5,71.0,73.0,72.0,72.0,80.0,84.0,83.07,83.0,327.78,5349.68,3053.31,5349.68,4.0,65.3,37.27,65.3,0.0,73.0,34.3,22.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,382.0,382.0,382.0,382.0,62.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,338.56,5294.46,3171.92,5294.46,4.13,64.63,38.72,64.63,0.0,62.0,29.57,28.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,481340.0,509494.0,491921.22,489598.5,82.0,91.0,90.0,91.0,85.0,89.0,86.56,86.0,338.56,5294.46,4648.51,5294.46,4.13,64.63,56.74,64.63,0.0,93.0,76.17,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,456543.0,487243.0,466066.39,463460.5,91.0,92.0,91.56,92.0,87.0,89.0,87.72,88.0,338.56,5294.46,4648.86,5294.46,4.13,64.63,56.75,64.63,0.0,92.0,77.26,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,1327.0,509542.0,325046.74,313860.0,54.0,94.0,75.04,68.0,61.0,89.0,78.26,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,377318.0,385717.0,380470.5,379710.5,72.0,73.0,72.12,72.0,82.0,84.0,83.12,83.0,338.56,5360.46,2517.7,456.46,4.13,65.44,30.73,5.57,0.0,70.0,24.42,0.0,
NVIDIA GeForce RTX 3070,combinator,507536.0,511828.0,509261.29,509194.0,91.0,92.0,91.79,92.0,66.0,74.0,70.36,70.5,356.11,5380.07,3097.17,5380.07,4.35,65.67,37.81,65.67,0.0,99.0,45.53,45.0,
