GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,321853132.0,350560870.0,337074380.25,337242364.5,97.0,98.0,97.5,97.5,62.0,67.0,64.25,63.0,2146.03,5172.68,4663.36,5167.24,19.05,45.92,41.4,45.87,0.0,97.0,78.72,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,297894849.0,297894849.0,297894849.0,297894849.0,42.0,42.0,42.0,42.0,63.0,63.0,63.0,63.0,1145.6,2234.09,1962.44,2234.09,10.17,19.83,17.42,19.83,0.0,28.0,16.88,25.5,
NVIDIA GeForce GTX 1080 Ti,force,148013487.0,6643316599.0,4868746251.25,5865879683.0,87.0,97.0,94.75,95.5,56.0,66.0,60.38,60.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,202351378.0,311173459.0,259555746.55,259069111.0,52.0,99.0,90.64,99.0,51.0,59.0,53.55,51.0,1133.29,4164.52,3827.97,4164.52,10.06,36.97,33.98,36.97,0.0,98.0,65.67,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,519143864.0,520453376.0,519804693.29,519787727.5,91.0,92.0,91.36,91.0,77.0,83.0,80.79,81.5,327.78,3333.68,2832.8,3333.68,4.0,40.69,34.58,40.69,1.0,94.0,78.11,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,352779736.0,352779736.0,352779736.0,352779736.0,30.0,30.0,30.0,30.0,67.0,67.0,67.0,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,524196219.0,9627852442.0,5084801238.0,5093578145.5,59.0,77.0,64.25,60.5,71.0,80.0,74.25,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,462696854.0,530885303.0,507947290.61,529003408.5,54.0,94.0,83.89,89.5,71.0,80.0,76.5,76.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,747520653.0,749200269.0,748121411.23,748159805.0,93.0,93.0,93.0,93.0,72.0,75.0,73.38,73.0,356.11,3378.07,2874.52,3378.07,4.35,41.24,35.09,41.24,0.0,94.0,70.17,93.0,
NVIDIA GeForce RTX 3070,dict4,252719780.0,253207601.0,252963690.5,252963690.5,18.0,23.0,20.5,20.5,62.0,62.0,62.0,62.0,356.11,2058.07,1330.22,2058.07,4.35,25.12,16.24,25.12,0.0,23.0,11.29,15.0,
