GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,20470.0,21244.0,20847.88,20823.0,95.0,96.0,95.62,96.0,69.0,73.0,69.88,69.0,2242.54,8668.73,7634.36,8629.19,19.91,76.96,67.78,76.61,6.0,97.0,72.42,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,246.0,246.0,246.0,246.0,87.0,87.0,87.0,87.0,62.0,62.0,62.0,62.0,1982.08,8302.73,6196.04,8302.73,17.6,73.71,55.01,73.71,2.0,78.0,37.56,20.0,
NVIDIA GeForce GTX 1080 Ti,dict2,17.0,19.0,17.53,17.0,77.0,81.0,80.16,80.0,58.0,60.0,58.26,58.0,1682.91,8081.22,7461.26,7993.95,14.94,71.74,66.24,70.97,2.0,93.0,76.91,88.0,
NVIDIA GeForce GTX 1080 Ti,dict3,20061.0,21171.0,20388.94,20208.0,98.0,98.0,98.0,98.0,83.0,85.0,83.56,83.0,1152.31,7472.96,6683.1,7472.96,10.23,66.34,59.33,66.34,0.0,98.0,78.21,98.0,
NVIDIA GeForce GTX 1080 Ti,force,1.0,2.0,1.33,1.0,87.0,92.0,90.33,91.0,55.0,59.0,56.56,56.0,1149.44,7536.09,6623.87,7536.09,10.2,66.9,58.81,66.9,0.0,91.0,65.71,84.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,17872.0,21284.0,19975.75,21169.0,95.0,97.0,96.25,97.0,62.0,77.0,68.25,65.0,1140.66,7528.4,6615.94,7528.4,10.13,66.84,58.74,66.84,0.0,98.0,74.29,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,28573.0,29543.0,28935.69,28835.0,95.0,95.0,95.0,95.0,86.0,89.0,87.31,87.0,327.78,6693.68,5986.41,6693.68,4.0,81.71,73.08,81.71,0.0,94.0,76.89,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,373.0,373.0,373.0,373.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0,60.0,327.78,6627.68,3927.99,6627.68,4.0,80.9,47.95,80.9,0.0,76.0,37.57,36.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,36.0,37.0,36.17,36.0,67.0,74.0,68.56,68.0,61.0,62.0,61.94,62.0,338.56,6638.46,5851.05,6638.46,4.13,81.04,71.42,81.04,0.0,74.0,62.29,72.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,27666.0,28662.0,28041.06,27908.0,94.0,94.0,94.0,94.0,86.0,89.0,87.61,87.5,338.56,6638.46,5588.6,6638.46,4.13,81.04,68.22,81.04,0.0,94.0,73.54,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,26420.0,27193.0,26682.33,26556.0,94.0,94.0,94.0,94.0,88.0,89.0,88.06,88.0,338.56,6638.46,5817.21,6638.46,4.13,81.04,71.01,81.04,0.0,94.0,80.43,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,3.0,3.0,3.0,3.0,67.0,69.0,67.56,67.0,64.0,65.0,64.22,64.0,338.56,6704.46,5725.16,6704.46,4.13,81.84,69.89,81.84,0.0,74.0,52.46,68.0,
