GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1803153.0,1858514.0,1822361.0,1817469.0,58.0,61.0,60.25,60.5,57.0,58.0,57.5,57.5,2244.33,7055.94,6521.34,7055.94,19.92,62.64,57.9,62.64,6.0,76.0,62.5,75.0,
NVIDIA GeForce GTX 1080 Ti,dict3,6196127.0,6735183.0,6361929.94,6293501.0,45.0,99.0,94.22,99.0,80.0,83.0,82.28,82.5,1152.69,5899.34,5486.67,5899.34,10.23,52.37,48.71,52.37,0.0,99.0,80.35,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,7716612.0,8345867.0,7939872.11,7852653.5,58.0,99.0,96.06,98.0,75.0,80.0,78.72,79.0,1145.16,5892.46,5398.16,5892.46,10.17,52.31,47.92,52.31,0.0,99.0,80.13,98.0,
NVIDIA GeForce GTX 1080 Ti,force,364320.0,5143236.0,3101599.47,5017100.0,42.0,92.0,70.53,91.0,52.0,54.0,53.26,54.0,1147.91,5962.09,4778.82,5962.09,10.19,52.93,42.43,52.93,0.0,96.0,57.21,75.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,1074732.0,1410060.0,1182963.25,1155923.5,62.0,73.0,67.38,67.0,55.0,56.0,55.12,55.0,1141.75,5954.4,4573.97,5954.4,10.14,52.86,40.61,52.86,0.0,97.0,42.12,53.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,4113095.0,4167155.0,4137722.08,4137138.0,59.0,64.0,62.08,62.0,73.0,75.0,74.23,74.0,327.78,5119.68,3616.5,5119.68,4.0,62.5,44.15,62.5,0.0,68.0,43.45,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,8473741.0,9967383.0,9492694.07,9510459.0,24.0,96.0,79.86,82.0,71.0,86.0,83.0,85.0,338.56,5064.46,4318.37,5064.46,4.13,61.82,52.71,61.82,0.0,94.0,67.74,80.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,10028246.0,10681567.0,10297748.89,10279124.0,80.0,94.0,92.11,93.0,86.0,89.0,86.94,87.0,338.56,5064.46,4448.12,5064.46,4.13,61.82,54.3,61.82,0.0,96.0,81.0,96.0,
NVIDIA GeForce RTX 2080 SUPER,force,1341695.0,42363536.0,32297533.75,41515267.0,33.0,92.0,74.95,89.5,66.0,87.0,79.75,83.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3554579.0,4656372.0,4200641.24,4503676.0,49.0,67.0,59.29,64.0,70.0,74.0,72.12,72.0,338.56,5130.46,3752.55,5130.46,4.13,62.63,45.81,62.63,0.0,67.0,40.38,50.0,
NVIDIA GeForce RTX 3070,combinator,5145282.0,5410972.0,5230536.54,5198349.0,61.0,74.0,63.77,63.0,72.0,73.0,72.69,73.0,356.11,5150.07,3652.8,5150.07,4.35,62.87,44.59,62.87,0.0,77.0,46.23,73.0,
NVIDIA GeForce RTX 3070,dict3,9470472.0,11332357.0,10574070.85,10709356.0,21.0,98.0,71.38,97.0,76.0,82.0,79.31,81.0,356.11,5084.07,4337.65,5084.07,4.35,62.06,52.95,62.06,0.0,94.0,55.37,86.0,
NVIDIA GeForce RTX 3070,dict4,12424616.0,13361481.0,12735810.35,12641061.0,88.0,98.0,96.82,97.0,81.0,82.0,81.76,82.0,356.11,5084.07,4467.47,5084.07,4.35,62.06,54.53,62.06,0.0,98.0,81.78,97.0,
NVIDIA GeForce RTX 3070,force,3841986.0,43243970.0,37294467.47,42667394.0,46.0,92.0,84.41,91.0,65.0,76.0,72.18,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,4130358.0,5776082.0,5216748.12,5665375.5,57.0,72.0,68.69,71.0,69.0,71.0,69.94,70.0,500.27,5294.23,3885.73,5294.23,6.11,64.63,47.43,64.63,0.0,95.0,42.32,59.5,
NVIDIA GeForce RTX 3090,combinator,9282439.0,10019752.0,9614528.23,9560100.0,46.0,76.0,72.38,74.0,82.0,83.0,82.92,83.0,499.16,5391.83,4576.53,5391.83,2.03,21.94,18.62,21.94,0.0,76.0,57.11,72.5,
NVIDIA GeForce RTX 3090,dict3,16123532.0,17201228.0,16690434.86,16905275.0,31.0,99.0,75.43,98.0,83.0,85.0,84.14,84.0,543.82,5369.16,4563.81,5367.34,2.21,21.85,18.57,21.84,0.0,99.0,58.75,73.0,
NVIDIA GeForce RTX 3090,dict4,18647677.0,20144727.0,19256342.24,19276512.0,86.0,98.0,96.47,97.0,84.0,84.0,84.0,84.0,542.01,5367.34,4928.73,5367.34,2.21,21.84,20.06,21.84,0.0,98.0,81.05,96.0,
NVIDIA GeForce RTX 3090,force,17463818.0,71306544.0,63211447.88,71060499.0,60.0,91.0,83.75,90.0,78.0,84.0,82.75,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,8475925.0,11648345.0,10059813.36,10088201.0,51.0,75.0,60.21,58.0,79.0,80.0,79.21,79.0,530.6,5423.27,4847.74,5423.27,2.16,22.07,19.73,22.07,0.0,77.0,55.06,70.0,
NVIDIA RTX A4000,combinator,6632431.0,6763106.0,6689603.85,6683361.0,71.0,76.0,74.77,75.0,85.0,88.0,86.77,87.0,758.86,5594.82,4298.19,5594.82,4.63,34.16,26.25,34.16,0.0,77.0,47.18,71.0,
NVIDIA RTX A4000,dict3,8252368.0,9676603.0,9188280.4,9262991.0,21.0,97.0,79.0,97.0,87.0,90.0,89.27,90.0,816.45,5586.42,4240.15,5586.42,4.99,34.11,25.89,34.11,0.0,99.0,60.14,95.0,
NVIDIA RTX A4000,dict4,10573524.0,11195408.0,10860203.22,10905842.0,96.0,97.0,96.67,97.0,89.0,91.0,90.11,90.0,830.97,5600.94,5003.92,5600.94,5.07,34.2,30.56,34.2,3.0,98.0,77.75,98.0,
NVIDIA RTX A4000,force,1201478.0,38598739.0,31808379.68,37648268.0,46.0,93.0,86.37,92.0,81.0,87.0,84.53,85.0,743.73,5579.7,4488.85,5579.7,4.54,34.07,27.41,34.07,0.0,96.0,60.15,93.5,
NVIDIA RTX A4000,hybrid,6864635.0,7255177.0,7079086.69,7085170.0,59.0,76.0,72.46,73.0,82.0,88.0,85.62,86.0,1135.41,5971.38,4025.61,5971.38,6.93,36.46,24.58,36.46,2.0,76.0,36.29,31.0,
