GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,608650.0,626321.0,616062.71,614210.0,100.0,100.0,100.0,100.0,58.0,58.0,58.0,58.0,2232.89,7702.19,7089.75,7693.69,19.82,68.38,62.94,68.3,6.0,100.0,83.44,99.0,
NVIDIA GeForce GTX 1080 Ti,dict3,938147.0,1132437.0,994624.67,990805.5,70.0,100.0,97.67,99.0,76.0,78.0,76.56,76.0,1150.54,6549.27,5845.0,6548.96,10.21,58.14,51.89,58.14,0.0,100.0,70.22,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1096995.0,1228739.0,1150116.17,1146759.0,99.0,100.0,99.17,99.0,71.0,73.0,72.28,72.0,1145.16,6542.46,5867.85,6542.46,10.17,58.08,52.09,58.08,0.0,100.0,80.88,99.0,
NVIDIA GeForce GTX 1080 Ti,force,308185.0,3199239.0,2589037.0,3173602.0,51.0,95.0,83.4,94.0,54.0,56.0,54.93,55.0,1141.85,6608.71,4507.14,6608.71,10.14,58.67,40.01,58.67,0.0,98.0,45.87,49.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,340915.0,341924.0,341573.43,341710.0,99.0,100.0,99.29,99.0,55.0,56.0,55.43,55.0,1141.75,6604.4,4049.53,6604.4,10.14,58.63,35.95,58.63,0.0,100.0,42.52,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1032816.0,1059568.0,1039981.77,1036998.0,92.0,93.0,92.23,92.0,75.0,79.0,77.77,78.0,327.78,5769.68,3595.84,5769.68,4.0,70.43,43.89,70.43,0.0,92.0,50.69,86.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,1682632.0,2041913.0,1803831.0,1796962.5,86.0,98.0,95.06,97.0,82.0,84.0,83.33,83.0,338.56,5714.46,5031.7,5714.46,4.13,69.76,61.42,69.76,0.0,98.0,77.64,97.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1821224.0,1989111.0,1905863.61,1915765.5,97.0,98.0,97.44,97.0,85.0,86.0,85.78,86.0,338.56,5714.46,5013.73,5714.46,4.13,69.76,61.2,69.76,0.0,98.0,79.91,97.0,
NVIDIA GeForce RTX 2080 SUPER,force,5298058.0,13521211.0,12232308.86,12139111.5,63.0,91.0,85.14,90.0,70.0,87.0,84.41,85.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1110357.0,1127766.0,1121565.89,1121695.0,79.0,87.0,84.56,86.0,71.0,75.0,74.0,74.0,338.56,5780.46,3126.33,3518.46,4.13,70.56,38.16,42.95,0.0,78.0,33.1,14.0,
NVIDIA GeForce RTX 3070,combinator,1383283.0,1407761.0,1389311.62,1386847.0,90.0,91.0,90.08,90.0,70.0,71.0,70.69,71.0,356.11,5796.07,3599.3,5796.07,4.35,70.75,43.94,70.75,0.0,76.0,40.35,73.0,
NVIDIA GeForce RTX 3070,dict3,2328647.0,2838782.0,2504251.59,2480622.0,46.0,99.0,89.76,98.0,74.0,77.0,75.94,76.0,356.11,5730.07,5058.41,5730.07,4.35,69.95,61.75,69.95,0.0,98.0,78.88,98.0,
