GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2153815485.0,2155666840.0,2154741162.5,2154741162.5,85.0,85.0,85.0,85.0,67.0,67.0,67.0,67.0,2215.73,5251.56,3951.48,5242.38,19.67,46.62,35.08,46.54,1.0,91.0,47.43,55.0,
NVIDIA GeForce GTX 1080 Ti,dict4,284477965.0,284477965.0,284477965.0,284477965.0,35.0,35.0,35.0,35.0,65.0,65.0,65.0,65.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,29.0,14.5,14.5,
NVIDIA GeForce GTX 1080 Ti,force,594453874.0,2256092322.0,1913597911.12,2147223024.0,95.0,98.0,96.38,96.0,63.0,66.0,64.38,64.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,1165074807.0,1173640613.0,1170980874.0,1172604038.0,96.0,96.0,96.0,96.0,58.0,58.0,58.0,58.0,1146.19,4172.84,2398.65,1284.84,10.18,37.05,21.29,11.41,0.0,97.0,22.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2439574153.0,2440065603.0,2439819878.0,2439819878.0,84.0,85.0,84.5,84.5,84.0,84.0,84.0,84.0,327.78,3333.68,1565.7,445.68,4.0,40.69,19.11,5.44,0.0,65.0,14.7,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,225513349.0,225513349.0,225513349.0,225513349.0,21.0,21.0,21.0,21.0,66.0,66.0,66.0,66.0,338.56,2070.46,1377.89,2070.46,4.13,25.27,16.82,25.27,0.0,25.0,13.6,21.0,
NVIDIA GeForce RTX 2080 SUPER,force,456401388.0,3053232634.0,2389801145.14,2973149487.0,64.0,96.0,79.14,74.0,79.0,86.0,82.71,83.0,338.56,3344.46,2427.28,3344.46,4.13,40.83,29.63,40.83,0.0,95.0,51.75,70.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2589120833.0,2606376828.0,2595573986.0,2591224297.0,63.0,82.0,75.67,82.0,80.0,83.0,82.0,83.0,338.56,3344.46,1463.28,456.46,4.13,40.83,17.86,5.57,0.0,47.0,13.7,3.0,
NVIDIA GeForce RTX 3070,combinator,4158479162.0,4158479162.0,4158479162.0,4158479162.0,88.0,88.0,88.0,88.0,78.0,78.0,78.0,78.0,356.11,3378.07,1414.86,510.07,4.35,41.24,17.27,6.23,0.0,86.0,21.22,0.0,
NVIDIA GeForce RTX 3070,force,449305229.0,4717781170.0,3850072097.25,4604846515.5,74.0,96.0,88.75,92.0,73.0,77.0,75.0,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,4002803056.0,4002803056.0,4002803056.0,4002803056.0,84.0,84.0,84.0,84.0,72.0,72.0,72.0,72.0,449.36,3481.84,1517.3,617.34,5.49,42.5,18.52,7.54,0.0,95.0,19.11,0.0,
NVIDIA GeForce RTX 3090,combinator,5697504955.0,5697504955.0,5697504955.0,5697504955.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,499.16,3621.83,2374.89,3621.83,2.03,14.74,9.66,14.74,0.0,82.0,30.6,0.0,
NVIDIA GeForce RTX 3090,force,1042441889.0,7867058643.0,5962243508.33,7610784170.5,86.0,96.0,92.5,93.5,81.0,81.0,81.0,81.0,720.79,3846.34,2213.05,980.34,2.93,15.65,9.0,3.99,0.0,93.0,28.45,0.0,
NVIDIA GeForce RTX 3090,hybrid,4663857657.0,6098411709.0,5604421092.67,6050993912.0,60.0,89.0,79.0,88.0,79.0,81.0,80.33,81.0,516.32,3637.74,1556.18,774.24,2.1,14.8,6.33,3.15,3.0,94.0,16.4,4.0,
NVIDIA RTX A4000,combinator,3577691871.0,3577691871.0,3577691871.0,3577691871.0,88.0,88.0,88.0,88.0,84.0,84.0,84.0,84.0,985.77,4041.36,1967.44,1151.49,6.02,24.68,12.01,7.03,0.0,94.0,27.0,4.0,
NVIDIA RTX A4000,force,420122870.0,4094654965.0,3224049035.57,3971043652.0,85.0,96.0,92.0,94.0,84.0,85.0,84.43,84.0,743.73,3793.7,2856.33,3793.7,4.54,23.17,17.44,23.17,0.0,97.0,48.95,44.0,
NVIDIA RTX A4000,hybrid,3699271321.0,3699271321.0,3699271321.0,3699271321.0,89.0,89.0,89.0,89.0,83.0,83.0,83.0,83.0,1092.78,4139.55,2531.82,1250.24,6.67,25.28,15.46,7.63,0.0,87.0,18.64,4.0,
Radeon RX Vega,combinator,934036885.0,934815668.0,934533530.33,934612585.0,12.0,41.0,34.67,41.0,68.0,69.0,68.5,68.5,9068.4,10503.0,9777.89,9488.6,55.6,64.4,59.94,58.15,0,0,0,0,
Radeon RX Vega,dict4,180260053.0,181378050.0,180819051.5,180819051.5,0.0,26.0,13.0,13.0,70.0,70.0,70.0,70.0,6933.52,8276.45,7672.97,7609.0,42.5,50.7,47.04,46.65,0,0,0,0,
Radeon RX Vega,force,326903612.0,3996376842.0,2896522931.86,2829848930.0,4.0,89.0,30.0,18.0,64.0,69.0,66.29,66.0,7085.92,8728.41,8070.09,7941.88,43.4,53.5,49.46,48.65,0,0,0,0,
Radeon RX Vega,hybrid,0.0,931056699.0,692962202.25,920396055.0,4.0,53.0,25.25,22.0,58.0,60.0,59.5,60.0,8567.41,10184.95,9199.7,9093.0,52.5,62.4,56.38,55.7,0,0,0,0,
