GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,7173.0,7438.0,7310.38,7326.0,100.0,100.0,100.0,100.0,61.0,63.0,61.5,61.0,2186.52,8142.3,7243.74,8135.55,19.41,72.29,64.31,72.23,0.0,100.0,79.85,100.0,
NVIDIA GeForce GTX 1080 Ti,dict1,73.0,73.0,73.0,73.0,44.0,100.0,94.1,100.0,57.0,57.0,57.0,57.0,1609.81,7491.11,6586.34,7491.11,14.29,66.5,58.47,66.5,2.0,100.0,71.23,99.0,
NVIDIA GeForce GTX 1080 Ti,dict2,8.0,9.0,8.19,8.0,99.0,100.0,99.94,100.0,57.0,60.0,57.62,57.0,1632.36,7587.9,6816.22,7543.56,14.49,67.36,60.51,66.97,0.0,100.0,77.46,99.0,
NVIDIA GeForce GTX 1080 Ti,dict3,8754.0,10552.0,9839.82,10529.0,100.0,100.0,100.0,100.0,76.0,81.0,78.71,78.0,1151.98,7033.27,6297.89,7032.96,10.23,62.44,55.91,62.44,0.0,100.0,80.33,100.0,
NVIDIA GeForce GTX 1080 Ti,dict4,10269.0,12185.0,11342.88,11023.0,99.0,100.0,99.71,100.0,73.0,78.0,77.06,78.0,1145.81,7026.46,6321.01,7026.46,10.17,62.38,56.12,62.38,0.0,100.0,80.28,100.0,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,98.0,99.0,98.25,98.0,54.0,55.0,54.75,55.0,1144.29,7091.65,4629.32,7091.65,10.16,62.96,41.1,62.96,0.0,99.0,57.35,98.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3593.0,3594.0,3593.5,3593.5,100.0,100.0,100.0,100.0,54.0,54.0,54.0,54.0,1144.04,7092.84,4755.66,7092.84,10.16,62.97,42.22,62.97,0.0,100.0,52.05,71.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,11605.0,11701.0,11631.0,11629.0,99.0,100.0,99.73,100.0,80.0,84.0,82.91,83.0,327.78,6253.68,4065.94,6253.68,4.0,76.34,49.63,76.34,0.0,100.0,57.96,99.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,165.0,165.0,165.0,165.0,98.0,99.0,98.75,99.0,60.0,60.0,60.0,60.0,327.78,6187.68,3302.0,3316.68,4.0,75.53,40.31,40.49,0.0,99.0,44.88,20.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,19.0,19.0,19.0,19.0,98.0,98.0,98.0,98.0,62.0,62.0,62.0,62.0,338.56,6198.46,5466.05,6198.46,4.13,75.66,66.72,75.66,0.0,98.0,82.04,98.0,
