GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,6803.0,6806.0,6803.86,6804.0,100.0,100.0,100.0,100.0,60.0,60.0,60.0,60.0,885.91,6835.25,4916.82,6835.25,7.87,60.68,43.65,60.68,0.0,100.0,61.16,99.0,
NVIDIA GeForce GTX 1080 Ti,dict1,72.0,72.0,72.0,72.0,99.0,100.0,99.6,100.0,57.0,57.0,57.0,57.0,1647.75,7526.67,6622.27,7526.67,14.63,66.82,58.79,66.82,2.0,100.0,70.85,99.0,
NVIDIA GeForce GTX 1080 Ti,dict2,7.0,9.0,7.75,8.0,99.0,100.0,99.81,100.0,56.0,59.0,56.62,56.5,1657.49,7538.79,6886.87,7538.79,14.71,66.93,61.14,66.93,0.0,100.0,85.08,99.0,
NVIDIA GeForce GTX 1080 Ti,dict3,8715.0,10533.0,9825.47,10524.0,100.0,100.0,100.0,100.0,77.0,83.0,79.94,79.0,1142.23,7016.59,6527.08,7016.59,10.14,62.29,57.95,62.29,0.0,100.0,83.21,100.0,
NVIDIA GeForce GTX 1080 Ti,dict4,10255.0,12143.0,11284.06,10964.5,99.0,100.0,99.72,100.0,73.0,78.0,76.89,78.0,1144.04,7025.34,6290.01,7025.09,10.16,62.37,55.84,62.37,0.0,100.0,79.08,99.5,
NVIDIA GeForce GTX 1080 Ti,force,1.0,1.0,1.0,1.0,98.0,99.0,98.75,99.0,54.0,55.0,54.75,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,3648.0,3649.0,3648.57,3649.0,100.0,100.0,100.0,100.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,11584.0,11655.0,11625.64,11635.0,99.0,100.0,99.73,100.0,81.0,84.0,83.18,83.0,327.78,6253.68,4134.79,6253.68,4.0,76.34,50.47,76.34,0.0,100.0,58.44,90.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,165.0,166.0,165.33,165.0,99.0,99.0,99.0,99.0,60.0,60.0,60.0,60.0,327.78,6187.68,3264.03,2647.68,4.0,75.53,39.84,32.32,0.0,98.0,42.82,6.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,18.0,19.0,18.29,18.0,98.0,99.0,98.06,98.0,61.0,62.0,61.82,62.0,338.56,6198.46,5466.05,6198.46,4.13,75.66,66.72,75.66,0.0,98.0,82.08,98.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,11508.0,12242.0,12022.57,12151.0,99.0,100.0,99.36,99.0,82.0,85.0,83.64,83.5,338.56,6198.46,5466.39,6198.46,4.13,75.66,66.73,75.66,0.0,100.0,82.38,99.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,11148.0,11897.0,11666.25,11763.0,99.0,100.0,99.5,99.5,86.0,87.0,86.5,86.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,6.0,210.0,129.78,208.0,84.0,95.0,94.39,95.0,63.0,71.0,64.17,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,12016.0,12029.0,12020.83,12020.0,99.0,100.0,99.83,100.0,81.0,83.0,82.5,83.0,338.56,6264.46,3929.52,6264.46,4.13,76.47,47.97,76.47,0.0,100.0,51.95,70.5,
NVIDIA GeForce RTX 3070,combinator,17783.0,17799.0,17791.38,17789.0,99.0,100.0,99.23,99.0,74.0,78.0,76.31,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,187.0,187.0,187.0,187.0,98.0,99.0,98.5,98.5,57.0,58.0,57.5,57.5,356.11,6210.07,2984.64,510.07,4.35,75.81,36.43,6.23,0.0,98.0,34.19,0.0,
NVIDIA GeForce RTX 3070,dict2,23.0,23.0,23.0,23.0,98.0,99.0,98.11,98.0,61.0,61.0,61.0,61.0,356.11,6210.07,5446.6,6210.07,4.35,75.81,66.49,75.81,0.0,98.0,80.57,97.0,
NVIDIA GeForce RTX 3070,dict3,17558.0,18454.0,18138.24,18368.0,99.0,100.0,99.24,99.0,78.0,80.0,79.29,79.0,356.11,6210.07,5478.41,6210.07,4.35,75.81,66.88,75.81,0.0,99.0,80.42,99.0,
NVIDIA GeForce RTX 3070,dict4,17566.0,18388.0,18025.18,17880.0,99.0,100.0,99.65,100.0,79.0,80.0,79.06,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,7.0,246.0,147.18,245.0,94.0,95.0,94.06,94.0,61.0,62.0,61.06,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,17865.0,17880.0,17873.38,17875.0,99.0,100.0,99.62,100.0,72.0,74.0,73.38,73.5,496.51,6430.03,3773.53,6407.74,6.06,78.49,46.06,78.22,0.0,100.0,49.09,41.0,
NVIDIA GeForce RTX 3090,combinator,27401.0,27484.0,27452.45,27458.0,99.0,100.0,99.27,99.0,84.0,86.0,85.18,85.0,537.73,6557.34,4693.55,6557.34,2.19,26.68,19.1,26.68,0.0,100.0,62.6,99.0,
