GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,34800.0,35448.0,35275.25,35443.0,95.0,98.0,96.0,95.5,67.0,70.0,68.0,67.5,2352.2,8500.58,5439.66,5467.54,20.88,75.47,48.29,48.54,0.0,97.0,19.33,1.0,
NVIDIA GeForce GTX 1080 Ti,dict1,235.0,235.0,235.0,235.0,26.0,65.0,52.0,65.0,56.0,56.0,56.0,56.0,1598.96,7587.61,5022.93,7583.61,14.2,67.36,44.59,67.33,2.0,72.0,32.0,3.0,
NVIDIA GeForce GTX 1080 Ti,dict2,21.0,24.0,22.17,22.0,63.0,73.0,67.5,67.0,58.0,60.0,58.39,58.0,1629.65,7615.57,7087.49,7607.26,14.47,67.61,62.92,67.54,1.0,77.0,60.13,70.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37502.0,38694.0,37688.28,37526.5,97.0,98.0,97.72,98.0,82.0,85.0,83.67,84.0,1152.25,7136.9,6389.04,7136.9,10.23,63.36,56.72,63.36,0.0,97.0,79.04,97.0,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,65.0,73.0,67.75,67.5,53.0,56.0,54.25,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,16471.0,16866.0,16736.12,16776.0,93.0,94.0,93.88,94.0,58.0,59.0,58.88,59.0,1146.19,7196.84,3977.26,1284.84,10.18,63.89,35.31,11.41,0.0,97.0,36.96,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,46824.0,48185.0,47334.31,47231.0,72.0,73.0,72.54,73.0,84.0,86.0,85.15,85.0,327.78,6357.68,3699.37,6357.68,4.0,77.61,45.16,77.61,0.0,72.0,35.93,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,47.0,48.0,47.22,47.0,60.0,62.0,61.28,61.0,61.0,61.0,61.0,61.0,338.56,6302.46,5783.9,6302.46,4.13,76.93,70.6,76.93,0.0,64.0,52.26,61.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,59829.0,63079.0,61367.17,62018.0,91.0,92.0,91.11,91.0,86.0,89.0,87.39,87.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.48,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,56444.0,57811.0,56865.78,56982.0,92.0,92.0,92.0,92.0,87.0,89.0,88.06,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.87,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,4.0,4.0,4.0,4.0,62.0,63.0,62.22,62.0,64.0,66.0,64.67,65.0,338.56,6368.46,3105.82,456.46,4.13,77.74,37.91,5.57,0.0,64.0,27.22,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,53934.0,55249.0,54648.75,54525.0,84.0,85.0,84.12,84.0,85.0,87.0,85.88,86.0,338.56,6368.46,3156.34,456.46,4.13,77.74,38.53,5.57,0.0,72.0,30.04,0.5,
NVIDIA GeForce RTX 3070,combinator,60595.0,61026.0,60800.85,60863.0,90.0,94.0,91.15,91.0,76.0,81.0,78.77,79.0,356.11,6380.07,3738.42,6380.07,4.35,77.88,45.63,77.88,0.0,81.0,39.14,13.0,
