GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,4128955546.0,4138456571.0,4133706058.5,4133706058.5,92.0,92.0,92.0,92.0,82.0,82.0,82.0,82.0,2067.48,5126.62,4636.08,5113.56,18.35,45.51,41.16,45.4,1.0,98.0,58.16,70.0,
NVIDIA GeForce GTX 1080 Ti,dict4,296943659.0,296943659.0,296943659.0,296943659.0,42.0,42.0,42.0,42.0,68.0,68.0,68.0,68.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,40.0,19.17,17.5,
NVIDIA GeForce GTX 1080 Ti,force,559976769.0,3839402503.0,3279209842.8,3823617840.5,92.0,96.0,94.1,94.0,59.0,63.0,62.2,63.0,1145.0,4171.65,2584.59,1283.65,10.17,37.04,22.95,11.4,0.0,98.0,27.85,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1071415970.0,1801056831.0,1681030689.67,1798531272.0,31.0,94.0,82.0,93.0,54.0,58.0,56.87,58.0,1141.75,4168.4,2344.43,1280.4,10.14,37.01,20.81,11.37,0.0,94.0,16.94,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2782760951.0,3347394945.0,2970005315.55,2951416678.0,53.0,63.0,58.55,60.0,82.0,84.0,83.0,83.0,327.78,3333.68,1245.69,445.68,4.0,40.69,15.21,5.44,0.0,88.0,16.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,341368857.0,341368857.0,341368857.0,341368857.0,31.0,31.0,31.0,31.0,71.0,71.0,71.0,71.0,338.56,2070.46,1204.83,1204.99,4.13,25.27,14.71,14.71,0.0,36.0,20.17,25.0,
NVIDIA GeForce RTX 2080 SUPER,force,668733123.0,5915750886.0,3934710450.4,5421854663.0,60.0,78.0,70.8,76.0,79.0,86.0,82.4,82.0,338.56,3344.46,1540.17,456.46,4.13,40.83,18.8,5.57,0.0,77.0,28.08,13.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,5653243203.0,2884796098.33,2997319563.5,0.0,64.0,37.83,45.0,61.0,82.0,73.67,73.0,338.56,3344.46,1720.47,456.46,4.13,40.83,21.0,5.57,0.0,66.0,13.61,0.0,
NVIDIA GeForce RTX 3070,combinator,4877120117.0,4984470044.0,4931463045.0,4951069862.0,85.0,87.0,86.0,86.0,74.0,76.0,75.2,75.0,356.11,3378.07,1136.54,510.07,4.35,41.24,13.87,6.23,0.0,93.0,20.69,0.0,
NVIDIA GeForce RTX 3070,dict4,257509192.0,257866451.0,257687821.5,257687821.5,23.0,23.0,23.0,23.0,66.0,66.0,66.0,66.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,21.0,10.71,13.0,
