GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,228628226.0,230297065.0,229613784.0,229722110.0,92.0,93.0,92.12,92.0,59.0,60.0,59.62,60.0,1667.79,4727.75,4199.26,4694.56,14.81,41.97,37.28,41.68,2.0,99.0,64.0,79.0,
NVIDIA GeForce GTX 1080 Ti,dict3,34818198.0,34933848.0,34876023.0,34876023.0,28.0,37.0,32.5,32.5,67.0,67.0,67.0,67.0,1142.88,2227.52,1821.43,2227.52,10.15,19.78,16.17,19.78,0.0,29.0,12.88,9.5,
NVIDIA GeForce GTX 1080 Ti,dict4,75681876.0,78541165.0,76552272.64,76452546.0,43.0,51.0,45.27,44.0,65.0,66.0,65.82,66.0,1939.0,1940.78,1939.89,1939.89,17.21,17.23,17.22,17.22,0.0,0.0,0.0,0.0,
NVIDIA GeForce GTX 1080 Ti,force,42031027.0,186642485.0,171686143.79,186068836.0,86.0,95.0,93.64,94.0,55.0,56.0,55.79,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,104950551.0,108985146.0,106392365.6,105879388.0,90.0,94.0,93.0,93.0,55.0,56.0,55.2,55.0,1144.06,4172.84,2636.66,1284.84,10.16,37.05,23.41,11.41,0.0,97.0,32.56,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,314408794.0,336244877.0,323044652.54,320267322.0,62.0,65.0,63.23,63.0,73.0,78.0,76.08,76.0,327.78,3333.68,1802.93,445.68,4.0,40.69,22.01,5.44,0.0,92.0,38.89,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,38845403.0,38845403.0,38845403.0,38845403.0,29.0,29.0,29.0,29.0,59.0,59.0,59.0,59.0,338.56,2070.46,1341.2,2070.46,4.13,25.27,16.37,25.27,0.0,38.0,15.43,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,99753625.0,100558514.0,100195244.38,100268087.0,41.0,44.0,42.38,42.5,79.0,80.0,79.25,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,208604003.0,676178077.0,627524214.43,661016416.0,63.0,96.0,87.95,93.0,70.0,86.0,81.43,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,505690971.0,557395007.0,537180341.56,544188820.0,60.0,94.0,87.25,93.0,76.0,85.0,81.88,83.0,338.56,3344.46,1674.56,456.46,4.13,40.83,20.44,5.57,0.0,93.0,31.76,0.0,
NVIDIA GeForce RTX 3070,combinator,448865504.0,586962591.0,523235475.85,527153536.0,51.0,74.0,63.38,66.0,68.0,73.0,70.69,71.0,356.11,3378.07,1771.96,510.07,4.35,41.24,21.63,6.23,0.0,70.0,26.61,0.0,
NVIDIA GeForce RTX 3070,dict4,186192677.0,189563566.0,187843078.67,187772993.0,28.0,37.0,34.0,37.0,74.0,74.0,74.0,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,14465488.0,1111726674.0,940328643.0,1100744115.0,66.0,96.0,89.33,93.0,64.0,72.0,68.13,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,789534996.0,841082969.0,807129627.56,803599768.0,50.0,79.0,72.67,75.0,69.0,72.0,70.56,70.0,489.27,3511.23,1198.43,643.23,5.97,42.86,14.63,7.85,0.0,89.0,10.36,0.0,
NVIDIA GeForce RTX 3090,combinator,1414878222.0,1439916622.0,1424275833.92,1422708905.0,85.0,88.0,85.92,85.0,82.0,86.0,84.54,85.0,499.16,3621.83,3102.05,3621.83,2.03,14.74,12.62,14.74,0.0,94.0,70.11,88.0,
NVIDIA GeForce RTX 3090,dict3,53255921.0,53255921.0,53255921.0,53255921.0,9.0,9.0,9.0,9.0,80.0,80.0,80.0,80.0,541.8,3555.97,2551.7,3555.91,2.2,14.47,10.38,14.47,0.0,13.0,4.5,3.5,
NVIDIA GeForce RTX 3090,force,176503322.0,1831378911.0,1621470721.0,1823626766.5,58.0,96.0,86.93,92.0,76.0,82.0,79.57,79.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1366161836.0,1600062696.0,1545459460.2,1585759760.0,89.0,95.0,93.4,94.0,76.0,81.0,79.8,81.0,530.66,3653.34,1233.03,787.34,2.16,14.87,5.02,3.2,0.0,99.0,9.62,0.0,
NVIDIA RTX A4000,combinator,783521991.0,794526303.0,787889971.0,787317586.0,90.0,90.0,90.0,90.0,78.0,84.0,81.38,82.0,744.04,3794.01,2165.95,906.01,4.54,23.17,13.23,5.53,0.0,95.0,39.94,0.0,
NVIDIA RTX A4000,dict3,48754853.0,48754853.0,48754853.0,48754853.0,12.0,12.0,12.0,12.0,84.0,84.0,84.0,84.0,842.96,2618.93,1723.45,1004.93,5.15,15.99,10.52,6.14,0.0,56.0,12.9,1.0,
NVIDIA RTX A4000,dict4,56438673.0,72370539.0,63412747.8,61933632.0,12.0,42.0,31.73,36.0,74.0,85.0,78.8,78.0,824.33,2616.25,2076.11,2599.5,5.03,15.98,12.68,15.87,2.0,40.0,20.5,24.5,
NVIDIA RTX A4000,force,185994444.0,974068577.0,851610517.0,966247922.5,69.0,96.0,91.12,94.0,70.0,81.0,75.62,75.5,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,808104366.0,834384914.0,823163858.25,821996910.0,64.0,89.0,84.62,87.0,74.0,80.0,77.88,78.5,,,,,,,,,,,,,
Radeon RX Vega,combinator,110274643.0,110939000.0,110482722.0,110391977.5,14.0,42.0,36.93,40.0,61.0,62.0,61.43,61.0,5617.07,7386.63,6686.44,7375.62,34.4,45.3,40.99,45.2,0,0,0,0,
