GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,397962362.0,400051901.0,398797052.78,398872995.0,72.0,73.0,72.89,73.0,60.0,61.0,60.22,60.0,898.54,3928.44,2826.23,3926.06,7.98,34.88,25.09,34.85,0.0,98.0,44.79,72.0,
NVIDIA GeForce GTX 1080 Ti,dict4,140440761.0,143060493.0,141590660.6,141538505.0,46.0,49.0,47.2,47.0,66.0,66.0,66.0,66.0,1946.89,3073.75,2763.48,3067.18,17.28,27.29,24.53,27.23,0.0,50.0,29.45,44.0,
NVIDIA GeForce GTX 1080 Ti,force,28999683.0,356430819.0,301537064.47,355118325.0,96.0,98.0,96.87,97.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,320082889.0,274511301.67,302262476.5,38.0,96.0,81.25,95.0,56.0,58.0,56.75,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,730508442.0,747025841.0,737473509.08,736504654.0,88.0,89.0,88.31,88.0,82.0,84.0,83.62,84.0,327.78,3333.68,2361.6,3333.68,4.0,40.69,28.83,40.69,0.0,89.0,55.92,89.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,43642279.0,43642279.0,43642279.0,43642279.0,22.0,22.0,22.0,22.0,58.0,58.0,58.0,58.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,0.0,30.0,10.67,7.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,192868210.0,196049183.0,194624617.67,194956460.0,42.0,43.0,42.33,42.0,76.0,76.0,76.0,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,375930445.0,897109129.0,815739625.0,889397643.5,57.0,95.0,85.92,94.5,73.0,84.0,80.33,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,567434622.0,766394136.0,723830472.08,756809078.0,55.0,91.0,81.23,91.0,72.0,84.0,80.31,82.0,338.56,3344.46,2246.8,3344.46,4.13,40.83,27.43,40.83,0.0,91.0,43.96,34.5,
NVIDIA GeForce RTX 3070,combinator,1409080676.0,1432867071.0,1418981669.85,1422416754.0,72.0,89.0,85.62,87.0,76.0,80.0,78.15,78.0,356.11,3378.07,2409.28,3378.07,4.35,41.24,29.41,41.24,0.0,89.0,50.17,84.0,
NVIDIA GeForce RTX 3070,dict4,219223479.0,223268562.0,221246020.5,221246020.5,23.0,23.0,23.0,23.0,69.0,70.0,69.5,69.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,442527881.0,1703041704.0,1474578132.62,1679625275.5,70.0,96.0,91.38,94.0,66.0,72.0,70.0,70.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1133526285.0,1585867249.0,1535534195.83,1568827597.0,61.0,90.0,87.5,90.0,68.0,76.0,74.08,74.5,499.77,3521.73,2062.18,2087.73,6.1,42.99,25.17,25.48,0.0,99.0,33.61,0.0,
NVIDIA GeForce RTX 3090,combinator,2515165470.0,2567478351.0,2541329950.82,2546864561.0,46.0,87.0,81.91,85.0,84.0,86.0,85.45,86.0,541.8,3665.84,2665.43,3665.84,2.2,14.92,10.85,14.92,0.0,64.0,35.64,56.0,
NVIDIA GeForce RTX 3090,force,658832961.0,2909277857.0,2435369087.0,2720639119.0,69.0,96.0,88.0,94.0,76.0,82.0,80.25,80.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1908189867.0,1998206846.0,1955681945.75,1958165535.0,68.0,71.0,68.75,68.0,76.0,80.0,79.0,80.0,530.66,3653.34,1439.89,787.34,2.16,14.87,5.86,3.2,0.0,40.0,4.42,0.0,
NVIDIA RTX A4000,combinator,1383204558.0,1420948330.0,1400361526.31,1403809986.0,86.0,90.0,87.15,87.0,84.0,88.0,86.15,86.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict4,211897115.0,214610534.0,213253824.5,213253824.5,25.0,26.0,25.5,25.5,74.0,75.0,74.5,74.5,826.59,2618.19,2019.26,2607.31,5.05,15.99,12.33,15.92,2.0,27.0,16.44,20.0,
NVIDIA RTX A4000,force,0.0,1567096830.0,1211141728.3,1516975259.0,56.0,96.0,90.0,95.0,78.0,83.0,81.3,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,9803970.0,1279653765.0,1082791674.62,1238752140.0,8.0,84.0,69.75,81.0,73.0,83.0,80.0,80.5,,,,,,,,,,,,,
Radeon RX Vega,combinator,207695100.0,208199983.0,207932072.77,207912587.0,12.0,43.0,37.15,40.0,61.0,63.0,61.77,62.0,5596.27,7376.0,6883.39,7370.46,34.3,45.2,42.2,45.2,0,0,0,0,
Radeon RX Vega,dict3,26463914.0,26838284.0,26633515.33,26598348.0,0.0,35.0,11.67,0.0,65.0,65.0,65.0,65.0,5016.59,6349.05,5777.73,5842.76,30.8,38.9,35.42,35.8,0,0,0,0,
Radeon RX Vega,dict4,88041153.0,92422632.0,89597929.67,89199573.0,0.0,60.0,39.33,53.0,71.0,71.0,71.0,71.0,,,,,,,,,,,,,
Radeon RX Vega,force,256485755.0,1182349518.0,1106281625.06,1173993572.0,12.0,97.0,58.5,53.0,59.0,65.0,62.67,63.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,180419917.0,198045955.0,183786191.58,181606323.0,12.0,56.0,44.83,51.5,56.0,58.0,57.25,57.0,9175.63,11268.25,10687.02,11203.61,56.2,69.1,65.51,68.7,0,0,0,0,
