GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,499722.0,499947.0,499879.25,499893.0,90.0,97.0,95.88,97.0,61.0,62.0,61.75,62.0,2005.2,5238.31,4657.97,5165.03,17.8,46.5,41.35,45.85,0.0,98.0,75.11,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,268860.0,270996.0,269609.33,269491.5,60.0,75.0,70.11,72.5,68.0,69.0,68.94,69.0,1107.66,2254.77,2103.41,2252.02,9.83,20.02,18.67,19.99,0.0,76.0,60.26,74.0,
NVIDIA GeForce GTX 1080 Ti,dict4,591242.0,596776.0,592793.33,592278.0,73.0,97.0,93.28,96.0,78.0,81.0,80.0,80.0,1140.73,2291.65,2135.09,2291.65,10.13,20.34,18.96,20.34,0.0,97.0,77.5,96.0,
NVIDIA GeForce GTX 1080 Ti,force,1745.0,199164.0,164363.29,198493.0,97.0,99.0,98.14,98.0,55.0,58.0,57.21,57.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,194126.0,196590.0,195285.88,195373.5,98.0,98.0,98.0,98.0,56.0,56.0,56.0,56.0,1135.41,4230.21,2564.79,1276.21,10.08,37.56,22.77,11.33,0.0,96.0,31.44,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1350236.0,1386818.0,1363644.67,1361590.5,92.0,93.0,92.08,92.0,85.0,91.0,87.0,86.0,327.78,3391.68,1958.62,3391.68,4.0,41.4,23.91,41.4,0.0,92.0,41.84,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,591340.0,599965.0,593816.06,592778.5,46.0,50.0,48.06,48.0,74.0,81.0,78.11,79.0,338.56,2122.46,1889.86,2122.46,4.13,25.91,23.07,25.91,0.0,49.0,40.52,47.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1032759.0,1074060.0,1047392.0,1043273.5,88.0,93.0,88.67,88.0,86.0,89.0,87.28,87.0,338.56,2122.46,1879.29,2122.46,4.13,25.91,22.94,25.91,0.0,93.0,70.45,88.0,
NVIDIA GeForce RTX 2080 SUPER,force,438123.0,1344989.0,1233439.0,1312806.0,54.0,94.0,86.29,92.0,71.0,88.0,83.59,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1241826.0,1276790.0,1253340.38,1243501.0,83.0,84.0,83.38,83.0,82.0,87.0,84.75,85.0,338.56,3402.46,1641.8,456.46,4.13,41.53,20.04,5.57,0.0,84.0,30.52,0.0,
NVIDIA GeForce RTX 3070,combinator,1182706.0,1190581.0,1185775.85,1184810.0,92.0,93.0,92.08,92.0,73.0,78.0,76.08,76.0,356.11,3458.07,2066.6,3458.07,4.35,42.21,25.23,42.21,0.0,99.0,46.16,45.5,
NVIDIA GeForce RTX 3070,dict3,566222.0,571761.0,567907.44,567808.0,47.0,51.0,49.61,51.0,72.0,75.0,73.56,73.5,356.11,2132.07,1900.51,2132.07,4.35,26.03,23.2,26.03,0.0,51.0,40.7,48.0,
NVIDIA GeForce RTX 3070,dict4,1111701.0,1126058.0,1115402.72,1113183.0,69.0,94.0,84.67,92.0,77.0,81.0,79.44,80.0,356.11,2132.07,1900.51,2132.07,4.35,26.03,23.2,26.03,0.0,93.0,74.26,92.0,
NVIDIA GeForce RTX 3070,force,851955.0,1137392.0,1102405.73,1133470.0,73.0,93.0,90.0,92.0,68.0,77.0,74.13,75.0,356.11,3448.07,2118.31,3448.07,4.35,42.09,25.86,42.09,0.0,100.0,45.17,45.0,
NVIDIA GeForce RTX 3070,hybrid,1084177.0,1094771.0,1087396.0,1086131.0,92.0,93.0,92.38,92.0,73.0,75.0,73.88,74.0,505.5,3607.46,1849.13,659.46,6.17,44.04,22.57,8.05,0.0,94.0,31.85,0.0,
NVIDIA GeForce RTX 3090,combinator,1700386.0,1709203.0,1703361.15,1702636.0,91.0,95.0,93.15,93.0,80.0,83.0,81.92,82.0,499.66,3758.33,3215.36,3758.33,2.03,15.29,13.08,15.29,0.0,97.0,71.61,95.0,
NVIDIA GeForce RTX 3090,dict3,713603.0,731131.0,718323.11,714663.5,28.0,54.0,37.89,36.0,80.0,83.0,82.06,82.0,540.23,3677.84,3268.96,3677.84,2.2,14.97,13.3,14.97,0.0,54.0,31.7,33.0,
NVIDIA GeForce RTX 3090,dict4,1716330.0,1770845.0,1731079.72,1726335.5,52.0,94.0,89.0,93.0,69.0,76.0,73.22,73.5,535.37,3672.92,3260.73,3668.92,2.18,14.95,13.27,14.93,0.0,94.0,70.96,93.0,
