GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,166699.0,172556.0,169886.38,170282.0,97.0,98.0,97.12,97.0,70.0,74.0,71.5,70.0,2165.71,8227.94,7581.12,8215.06,19.23,73.05,67.3,72.93,1.0,98.0,82.53,98.0,
NVIDIA GeForce GTX 1080 Ti,dict2,145.0,150.0,148.0,149.0,32.0,77.0,66.2,74.0,58.0,60.0,59.4,60.0,1685.54,7676.21,6041.88,7674.15,14.96,68.15,53.64,68.13,0.0,99.0,48.82,62.0,
NVIDIA GeForce GTX 1080 Ti,dict3,156800.0,165792.0,158810.61,158217.5,35.0,98.0,94.33,98.0,80.0,88.0,83.61,83.5,1838.26,7875.05,7066.73,7825.66,16.32,69.91,62.74,69.47,0.0,98.0,81.91,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,187928.0,197125.0,189877.11,189127.5,97.0,98.0,97.11,97.0,83.0,85.0,83.67,83.5,1148.1,7130.46,6354.89,7130.46,10.19,63.3,56.42,63.3,0.0,97.0,82.43,97.0,
NVIDIA GeForce GTX 1080 Ti,force,15.0,105809.0,48149.88,11002.5,71.0,91.0,83.58,83.0,54.0,60.0,56.81,56.0,1145.35,7200.09,5622.79,7200.09,10.17,63.92,49.92,63.92,0.0,96.0,55.53,69.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,131957.0,172836.0,154855.22,161948.0,97.0,98.0,97.67,98.0,60.0,74.0,65.44,62.0,1146.19,7196.84,6265.99,7196.84,10.18,63.89,55.63,63.89,0.0,97.0,67.0,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,179598.0,185504.0,181501.07,181019.0,73.0,75.0,73.79,74.0,85.0,87.0,86.0,86.0,327.78,6357.68,5352.8,6357.68,4.0,77.61,65.34,77.61,0.0,84.0,70.56,83.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,214.0,214.0,214.0,214.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0,61.0,338.56,6302.46,4746.98,6302.46,4.13,76.93,57.95,76.93,0.0,48.0,34.3,43.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,232271.0,241658.0,236073.89,235708.5,82.0,92.0,91.0,91.5,86.0,89.0,87.0,87.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.3,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,221095.0,229410.0,223688.22,222645.5,92.0,92.0,92.0,92.0,87.0,88.0,87.67,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.61,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,21.0,164299.0,75362.59,8978.0,56.0,67.0,63.22,64.0,65.0,85.0,74.26,68.0,338.56,6368.46,5614.8,6368.46,4.13,77.74,68.54,77.74,0.0,68.0,50.62,59.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,181430.0,186352.0,183220.89,183055.0,71.0,74.0,73.22,73.0,84.0,86.0,85.11,85.0,338.56,6368.46,5507.11,6368.46,4.13,77.74,67.23,77.74,0.0,85.0,60.21,83.0,
NVIDIA GeForce RTX 3070,combinator,234022.0,236704.0,235400.85,235417.0,92.0,93.0,92.38,92.0,81.0,84.0,82.69,83.0,356.11,6380.07,5376.19,6380.07,4.35,77.88,65.63,77.88,0.0,77.0,55.11,69.0,
NVIDIA GeForce RTX 3070,dict2,247.0,247.0,247.0,247.0,45.0,70.0,57.5,57.5,59.0,59.0,59.0,59.0,356.11,6314.07,4079.96,6314.07,4.35,77.08,49.8,77.08,0.0,76.0,34.5,25.5,
NVIDIA GeForce RTX 3070,dict3,241247.0,244466.0,243425.22,243973.5,69.0,96.0,94.5,96.0,80.0,84.0,82.28,82.5,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,96.0,81.22,95.0,
NVIDIA GeForce RTX 3070,dict4,244017.0,244878.0,244348.71,244203.0,96.0,97.0,96.29,96.0,79.0,83.0,80.82,81.0,356.11,6314.07,5501.71,6314.07,4.35,77.08,67.16,77.08,0.0,93.0,73.14,91.0,
NVIDIA GeForce RTX 3070,force,24.0,188352.0,85305.04,9724.5,61.0,78.0,67.73,65.5,67.0,75.0,70.5,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,210312.0,211600.0,210934.44,210947.0,84.0,85.0,84.11,84.0,76.0,79.0,77.56,77.0,516.77,6534.73,5675.09,6534.73,6.31,79.77,69.28,79.77,0.0,96.0,71.79,91.0,
NVIDIA GeForce RTX 3090,combinator,206533.0,206879.0,206757.0,206810.0,67.0,68.0,67.71,68.0,84.0,85.0,84.57,85.0,499.16,6619.83,5599.86,6619.83,2.03,26.94,22.79,26.94,0.0,88.0,61.67,77.5,
NVIDIA GeForce RTX 3090,dict2,217.0,217.0,217.0,217.0,65.0,66.0,65.67,66.0,74.0,74.0,74.0,74.0,499.91,6554.58,5041.08,6554.58,2.03,26.67,20.51,26.67,0.0,68.0,38.75,53.5,
NVIDIA GeForce RTX 3090,dict3,377208.0,385133.0,381297.06,380939.0,64.0,95.0,91.83,93.0,85.0,86.0,85.78,86.0,540.23,6597.84,5808.09,6597.84,2.2,26.85,23.63,26.85,0.0,94.0,77.83,93.0,
NVIDIA GeForce RTX 3090,dict4,380352.0,385922.0,382554.59,381893.0,92.0,94.0,93.12,93.0,85.0,86.0,85.76,86.0,540.23,6597.84,5772.19,6597.84,2.2,26.85,23.49,26.85,0.0,94.0,75.91,93.0,
NVIDIA GeForce RTX 3090,force,21.0,286539.0,158216.35,261759.5,58.0,77.0,67.3,67.5,76.0,84.0,79.8,80.0,727.29,6850.84,6425.22,6846.84,2.96,27.88,26.14,27.86,0.0,89.0,55.97,65.0,
