GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,590496038.0,593775482.0,592062192.75,592138899.0,99.0,99.0,99.0,99.0,59.0,59.0,59.0,59.0,1662.51,5250.73,4579.93,4726.09,14.76,46.62,40.66,41.96,0.0,99.0,79.83,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,215765175.0,217282661.0,216523918.0,216523918.0,53.0,65.0,59.0,59.0,69.0,70.0,69.5,69.5,1145.16,2230.46,1920.89,2230.46,10.17,19.8,17.05,19.8,0.0,70.0,34.43,47.0,
NVIDIA GeForce GTX 1080 Ti,force,93258752.0,1790401631.0,1571189549.12,1779866531.0,61.0,97.0,91.65,93.0,56.0,58.0,57.53,58.0,1144.35,4171.65,2562.42,1283.65,10.16,37.04,22.75,11.4,0.0,99.0,32.95,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,387934809.0,318110382.64,358232517.0,86.0,99.0,93.91,96.0,55.0,56.0,55.55,56.0,1137.56,4164.21,3158.8,4164.21,10.1,36.97,28.04,36.97,0.0,99.0,38.76,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1262700576.0,1268735171.0,1264975696.88,1263861669.5,97.0,97.0,97.0,97.0,79.0,83.0,81.88,82.0,327.78,3333.68,2083.4,3333.68,4.0,40.69,25.43,40.69,0.0,67.0,35.46,58.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,182590746.0,183547942.0,183211996.33,183497301.0,35.0,36.0,35.67,36.0,72.0,74.0,73.0,73.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,37.0,21.88,26.0,
NVIDIA GeForce RTX 2080 SUPER,force,315250114.0,6558256817.0,4776401894.62,5728791462.5,55.0,91.0,71.75,67.5,69.0,84.0,77.38,77.0,338.56,3344.46,1566.52,456.46,4.13,40.83,19.12,5.57,0.0,90.0,23.61,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,755592222.0,1882926860.0,1498502193.0,1836293369.0,39.0,97.0,65.75,62.5,66.0,81.0,73.5,73.5,338.56,3344.46,2011.01,3344.46,4.13,40.83,24.55,40.83,0.0,95.0,23.29,1.5,
NVIDIA GeForce RTX 3070,combinator,2042157133.0,2049463974.0,2046069325.75,2046328098.0,95.0,95.0,95.0,95.0,72.0,73.0,72.25,72.0,356.11,3378.07,1542.5,510.07,4.35,41.24,18.83,6.23,0.0,96.0,30.79,0.0,
NVIDIA GeForce RTX 3070,dict4,332584904.0,332584904.0,332584904.0,332584904.0,26.0,26.0,26.0,26.0,73.0,73.0,73.0,73.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,41.0,14.71,0.0,
