GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict4,168336776.0,168336776.0,168336776.0,168336776.0,7.0,7.0,7.0,7.0,62.0,62.0,62.0,62.0,1145.16,4106.46,2837.52,4106.46,10.17,36.46,25.19,36.46,0.0,15.0,5.14,7.0,
NVIDIA GeForce GTX 1080 Ti,force,304957786.0,2112182194.0,1633755872.12,1948680926.5,86.0,97.0,94.25,96.5,62.0,68.0,64.62,64.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,1406452114.0,1420557045.0,1415338660.33,1419006822.0,92.0,92.0,92.0,92.0,59.0,61.0,60.33,61.0,1146.19,4172.84,2201.51,1284.84,10.18,37.05,19.54,11.41,0.0,96.0,24.78,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1645634294.0,2399888195.0,2048575104.43,2064817359.0,26.0,36.0,32.14,33.0,56.0,60.0,57.29,57.0,327.78,3333.68,2355.35,3333.68,4.0,40.69,28.75,40.69,0.0,51.0,19.13,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,281794597.0,281794597.0,281794597.0,281794597.0,15.0,15.0,15.0,15.0,70.0,70.0,70.0,70.0,338.56,3278.46,1808.83,1808.99,4.13,40.02,22.08,22.08,0.0,41.0,11.33,6.5,
NVIDIA GeForce RTX 2080 SUPER,force,102437166.0,3234246770.0,1949017562.8,2434227660.0,65.0,90.0,73.2,73.0,75.0,86.0,79.4,75.0,338.56,3344.46,2010.38,3344.46,4.13,40.83,24.54,40.83,0.0,93.0,29.36,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,1898073319.0,848209679.5,455017472.0,14.0,76.0,40.17,27.5,64.0,75.0,69.0,67.0,338.56,3344.46,1876.98,1900.46,4.13,40.83,22.91,23.2,0.0,41.0,8.5,0.0,
NVIDIA GeForce RTX 3070,combinator,1985204546.0,2800312665.0,2418853377.2,2511638533.0,20.0,37.0,32.6,36.0,63.0,65.0,63.8,64.0,356.11,3378.07,2235.86,3378.07,4.35,41.24,27.29,41.24,0.0,36.0,15.0,14.5,
NVIDIA GeForce RTX 3070,dict4,306647118.0,306647118.0,306647118.0,306647118.0,10.0,10.0,10.0,10.0,72.0,72.0,72.0,72.0,356.11,3312.07,1834.42,1834.58,4.35,40.43,22.39,22.39,0.0,11.0,2.67,0.0,
NVIDIA GeForce RTX 3070,force,89019763.0,3033798063.0,1903256604.0,2326310365.0,52.0,96.0,85.6,94.0,70.0,74.0,73.0,74.0,356.11,3378.07,1905.74,1944.07,4.35,41.24,23.26,23.73,0.0,90.0,37.25,22.0,
NVIDIA GeForce RTX 3070,hybrid,381485454.0,2284178811.0,1743492041.2,2051201720.5,11.0,73.0,52.6,55.5,68.0,72.0,70.6,71.0,461.43,3479.64,2146.51,3472.39,5.63,42.48,26.2,42.39,0.0,96.0,19.27,0.0,
NVIDIA GeForce RTX 3090,combinator,1758911333.0,2796630858.0,2277272919.17,2323028218.0,17.0,36.0,29.83,34.5,72.0,75.0,73.17,73.0,499.16,3621.83,3176.49,3621.83,2.03,14.74,12.93,14.74,0.0,36.0,20.57,21.0,
NVIDIA GeForce RTX 3090,force,181837629.0,4822863484.0,3247329170.5,3929646267.5,55.0,95.0,78.83,85.5,78.0,80.0,79.5,80.0,723.67,3846.34,2213.31,980.34,2.94,15.65,9.01,3.99,0.0,95.0,30.91,0.0,
NVIDIA GeForce RTX 3090,hybrid,364194332.0,3777166010.0,2453278488.29,3267480103.0,11.0,66.0,46.71,61.0,74.0,81.0,77.86,80.0,515.01,3637.68,2597.09,3637.68,2.1,14.8,10.57,14.8,3.0,17.0,8.56,7.0,
NVIDIA RTX A4000,combinator,1182429394.0,1748982881.0,1433764181.0,1406503090.5,18.0,38.0,30.8,34.0,71.0,77.0,73.7,73.5,964.02,4013.99,1469.71,1125.99,5.89,24.51,8.97,6.88,0.0,97.0,14.0,0.0,
NVIDIA RTX A4000,dict4,306394432.0,306394432.0,306394432.0,306394432.0,6.0,6.0,6.0,6.0,84.0,84.0,84.0,84.0,802.45,3791.48,2298.46,2300.42,4.9,23.15,14.04,14.05,0.0,98.0,20.0,3.5,
NVIDIA RTX A4000,force,72710747.0,2594100753.0,1671322708.56,2027407132.0,46.0,96.0,85.44,92.0,83.0,85.0,84.0,84.0,743.73,3793.7,2606.37,3793.7,4.54,23.17,15.92,23.17,0.0,97.0,42.27,18.0,
NVIDIA RTX A4000,hybrid,358322383.0,2083307139.0,1694947481.9,2046085417.0,12.0,64.0,49.5,61.0,79.0,84.0,82.1,82.5,1011.47,4061.44,2789.3,4061.44,6.18,24.8,17.03,24.8,0.0,97.0,20.0,1.0,
Radeon RX Vega,combinator,803611148.0,811935159.0,808185508.38,808552969.0,11.0,50.0,28.77,28.0,63.0,66.0,64.23,64.0,9021.68,10790.09,9957.33,9515.29,55.3,66.1,61.04,58.3,0,0,0,0,
Radeon RX Vega,dict3,30272008.0,30272008.0,30272008.0,30272008.0,0.0,0.0,0.0,0.0,71.0,71.0,71.0,71.0,4573.58,6361.32,5373.37,4881.3,28.0,39.0,32.95,29.95,0,0,0,0,
Radeon RX Vega,dict4,50087666.0,51536705.0,50578845.89,50431297.0,0.0,41.0,8.67,0.0,71.0,72.0,71.11,71.0,6895.72,8717.5,7766.55,7370.66,42.3,53.4,47.61,45.2,0,0,0,0,
Radeon RX Vega,force,49473426.0,1031211449.0,862506689.76,969243247.0,2.0,97.0,55.76,60.0,64.0,70.0,67.94,69.0,7094.52,9207.68,8527.89,9204.16,43.5,56.4,52.26,56.4,0,0,0,0,
Radeon RX Vega,hybrid,0.0,319677116.0,256106495.33,314158101.0,0.0,57.0,37.22,41.0,57.0,61.0,59.22,60.0,8651.57,10732.62,9629.76,9247.3,53.0,65.8,59.05,56.7,0,0,0,0,
