GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,42026936.0,43271721.0,42649328.5,42649328.5,12.0,12.0,12.0,12.0,64.0,64.0,64.0,64.0,1674.09,4641.2,3159.91,3161.28,14.86,41.2,28.05,28.07,0.0,42.0,10.67,5.0,
NVIDIA GeForce GTX 1080 Ti,dict4,172031028.0,176394057.0,174049862.25,173887182.0,8.0,16.0,10.25,8.5,62.0,62.0,62.0,62.0,1148.1,4109.21,3449.43,4106.46,10.19,36.48,30.62,36.46,0.0,16.0,6.78,8.0,
NVIDIA GeForce GTX 1080 Ti,force,201373489.0,1595004947.0,938539859.33,1019241142.0,94.0,97.0,95.67,96.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,6209313.0,652333585.0,507593641.0,623117368.5,1.0,93.0,68.4,89.5,51.0,52.0,51.7,52.0,1145.54,4172.84,2333.09,1284.84,10.17,37.05,20.71,11.41,0.0,66.0,19.25,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1634590468.0,2348132478.0,1988197048.85,1974720011.0,25.0,38.0,34.0,35.0,54.0,57.0,54.85,54.0,327.78,3333.68,2530.05,3333.68,4.0,40.69,30.88,40.69,0.0,47.0,23.41,31.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,30891029.0,42294672.0,35326555.0,32793964.0,0.0,1.0,0.67,1.0,55.0,56.0,55.33,55.0,338.56,3278.46,2176.24,3278.46,4.13,40.02,26.57,40.02,0.0,36.0,9.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,286916998.0,292651245.0,289784121.5,289784121.5,16.0,16.0,16.0,16.0,67.0,67.0,67.0,67.0,338.56,3278.46,2319.77,3278.46,4.13,40.02,28.32,40.02,0.0,29.0,13.71,15.0,
NVIDIA GeForce RTX 2080 SUPER,force,63473523.0,2894970481.0,1260291576.0,822430724.0,62.0,64.0,63.33,64.0,73.0,78.0,75.0,74.0,338.56,3344.46,1576.48,456.46,4.13,40.83,19.24,5.57,0.0,60.0,24.7,20.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,7772407.0,4542909203.0,1531064908.12,571034176.0,0.0,62.0,32.75,27.0,56.0,74.0,62.62,60.5,338.56,3344.46,2502.57,3344.46,4.13,40.83,30.55,40.83,0.0,49.0,19.81,16.0,
NVIDIA GeForce RTX 3070,combinator,983989367.0,1736008229.0,1394236874.85,1411441301.0,19.0,38.0,31.38,35.0,58.0,62.0,59.54,59.0,356.11,3378.07,2536.74,3378.07,4.35,41.24,30.97,41.24,0.0,76.0,24.14,31.0,
NVIDIA GeForce RTX 3070,dict3,37401580.0,41566515.0,39484047.5,39484047.5,1.0,1.0,1.0,1.0,67.0,67.0,67.0,67.0,356.11,3312.07,2467.65,3312.07,4.35,40.43,30.12,40.43,0.0,21.0,3.57,1.0,
NVIDIA GeForce RTX 3070,dict4,318385800.0,318385800.0,318385800.0,318385800.0,6.0,6.0,6.0,6.0,69.0,69.0,69.0,69.0,356.11,3312.07,2326.91,3312.07,4.35,40.43,28.4,40.43,0.0,6.0,3.83,5.5,
NVIDIA GeForce RTX 3070,force,66502852.0,2894093357.0,1657468044.5,1834637984.5,84.0,95.0,89.5,89.5,70.0,73.0,71.75,72.0,356.11,3378.07,1750.63,510.07,4.35,41.24,21.37,6.23,0.0,95.0,21.78,0.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,3265681699.0,2125601479.65,2951735469.0,2.0,96.0,51.06,64.0,63.0,70.0,67.65,69.0,443.86,3481.64,2368.86,3464.84,5.42,42.5,28.92,42.3,0.0,85.0,18.75,0.5,
NVIDIA GeForce RTX 3090,combinator,3330700245.0,4202100854.0,3754368879.67,3740325129.0,22.0,41.0,35.0,38.0,70.0,72.0,70.89,71.0,499.16,3621.83,3102.05,3621.83,2.03,14.74,12.62,14.74,0.0,39.0,24.39,26.0,
NVIDIA GeForce RTX 3090,dict3,40406739.0,42962524.0,41684631.5,41684631.5,1.0,1.0,1.0,1.0,75.0,75.0,75.0,75.0,541.8,3599.97,2726.57,3599.84,2.2,14.65,11.09,14.65,0.0,27.0,4.43,1.0,
NVIDIA GeForce RTX 3090,dict4,528994041.0,528994041.0,528994041.0,528994041.0,13.0,13.0,13.0,13.0,77.0,77.0,77.0,77.0,543.17,3599.84,2377.44,3599.84,2.21,14.65,9.67,14.65,0.0,14.0,4.0,0.0,
NVIDIA GeForce RTX 3090,force,56124142.0,4465337414.0,2168522791.4,1719542487.0,52.0,95.0,82.2,94.0,78.0,80.0,79.2,79.0,723.67,3846.34,2050.01,980.34,2.94,15.65,8.34,3.99,0.0,87.0,19.5,0.0,
NVIDIA GeForce RTX 3090,hybrid,0.0,2892746094.0,1684688378.11,2352905292.0,0.0,100.0,43.95,48.0,68.0,76.0,72.95,75.0,515.01,3637.68,3270.39,3637.68,2.1,14.8,13.31,14.8,3.0,64.0,22.71,14.0,
NVIDIA RTX A4000,dict3,36656035.0,41773053.0,39214544.0,39214544.0,1.0,1.0,1.0,1.0,78.0,78.0,78.0,78.0,672.7,3656.67,2009.67,834.67,4.11,22.33,12.27,5.1,0.0,32.0,2.64,0.0,
NVIDIA RTX A4000,dict4,325796001.0,325796001.0,325796001.0,325796001.0,6.0,6.0,6.0,6.0,81.0,81.0,81.0,81.0,807.51,3826.7,2688.54,3794.13,4.93,23.37,16.42,23.17,0.0,70.0,15.62,11.0,
NVIDIA RTX A4000,force,0.0,2467197643.0,734444329.6,80298660.0,94.0,96.0,95.0,95.0,82.0,82.0,82.0,82.0,743.73,3793.7,2012.71,905.7,4.54,23.17,12.29,5.53,0.0,97.0,28.2,1.0,
NVIDIA RTX A4000,hybrid,0.0,3052174868.0,2387090635.93,2916463743.0,1.0,72.0,55.93,70.0,76.0,85.0,82.0,83.0,1011.47,4061.44,3133.44,4061.44,6.18,24.8,19.13,24.8,0.0,96.0,31.39,8.0,
Radeon RX Vega,combinator,612535933.0,615805002.0,614507325.08,614819687.0,14.0,37.0,30.62,32.0,63.0,65.0,64.23,64.0,9042.49,10503.86,9482.09,9372.18,55.4,64.4,58.13,57.5,0,0,0,0,
Radeon RX Vega,dict3,27430939.0,37611474.0,32041987.33,31083549.0,0.0,0.0,0.0,0.0,70.0,71.0,70.33,70.0,4570.96,6381.42,5767.01,6330.29,28.0,39.1,35.34,38.8,0,0,0,0,
Radeon RX Vega,dict4,51350434.0,52410019.0,51628902.76,51492116.0,0.0,46.0,5.47,1.0,70.0,71.0,70.88,71.0,6922.97,8731.94,7968.61,7870.17,42.4,53.5,48.83,48.2,0,0,0,0,
Radeon RX Vega,force,10879582.0,793215511.0,330716108.25,259384670.0,2.0,20.0,11.25,11.5,62.0,68.0,64.0,63.0,7128.55,9336.22,8170.24,7744.53,43.7,57.2,50.09,47.5,0,0,0,0,
Radeon RX Vega,hybrid,231421076.0,371866544.0,318441452.45,369578050.5,0.0,57.0,39.4,42.5,57.0,62.0,59.6,60.5,8563.35,10670.18,9908.84,10656.89,52.5,65.4,60.76,65.35,0,0,0,0,
