GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,769031904.0,771848234.0,770143555.5,769907040.0,93.0,94.0,93.88,94.0,82.0,83.0,82.88,83.0,2201.91,5254.88,4736.34,5237.19,19.55,46.65,42.05,46.49,0.0,97.0,71.28,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,47199679.0,47199679.0,47199679.0,47199679.0,14.0,14.0,14.0,14.0,67.0,67.0,67.0,67.0,1668.61,4649.7,3533.19,4636.57,14.81,41.28,31.37,41.16,3.0,99.0,22.75,13.0,
NVIDIA GeForce GTX 1080 Ti,dict4,309428179.0,309428179.0,309428179.0,309428179.0,72.0,72.0,72.0,72.0,68.0,68.0,68.0,68.0,1144.12,4104.77,2836.68,4104.77,10.16,36.44,25.18,36.44,0.0,56.0,20.71,17.0,
NVIDIA GeForce GTX 1080 Ti,force,128161912.0,499997932.0,466555126.43,492286267.0,91.0,95.0,93.87,94.0,57.0,59.0,58.43,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,342930374.0,277331107.09,295711709.0,89.0,96.0,93.73,94.0,52.0,55.0,54.0,54.0,1146.19,4172.84,2585.79,1284.84,10.18,37.05,22.96,11.41,0.0,98.0,35.23,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1538893576.0,1591758814.0,1560746747.92,1557948895.0,86.0,87.0,86.77,87.0,85.0,88.0,86.69,87.0,327.78,3333.68,2398.78,3333.68,4.0,40.69,29.28,40.69,0.0,63.0,39.95,61.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,373845880.0,373845880.0,373845880.0,373845880.0,33.0,33.0,33.0,33.0,79.0,79.0,79.0,79.0,338.56,3278.46,2102.69,3278.46,4.13,40.02,25.67,40.02,0.0,46.0,16.6,1.0,
NVIDIA GeForce RTX 2080 SUPER,force,101752179.0,1690279592.0,1244328819.67,1630120059.0,57.0,92.0,75.22,78.0,73.0,87.0,80.89,84.0,338.56,3344.46,1794.83,456.46,4.13,40.83,21.91,5.57,0.0,91.0,35.88,16.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,824259929.0,1133110911.0,977492638.07,1010615456.0,42.0,71.0,60.64,62.5,73.0,86.0,81.5,83.0,338.56,3344.46,1747.84,456.46,4.13,40.83,21.34,5.57,0.0,48.0,11.55,0.0,
NVIDIA GeForce RTX 3070,combinator,1728331223.0,1762036012.0,1740030917.46,1731669093.0,82.0,83.0,82.77,83.0,71.0,77.0,73.92,74.0,356.11,3378.07,2444.62,3378.07,4.35,41.24,29.84,41.24,0.0,83.0,55.23,81.0,
