GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,669242845.0,671243461.0,669828190.78,669444428.0,94.0,95.0,94.67,95.0,82.0,82.0,82.0,82.0,2199.98,5242.38,4751.77,5226.62,19.53,46.54,42.19,46.4,0.0,97.0,71.63,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,46285039.0,46285039.0,46285039.0,46285039.0,13.0,13.0,13.0,13.0,68.0,68.0,68.0,68.0,1680.55,4641.2,3531.71,4637.35,14.92,41.2,31.35,41.17,2.0,98.0,21.75,12.0,
NVIDIA GeForce GTX 1080 Ti,dict4,227164730.0,227268618.0,227216674.0,227216674.0,45.0,45.0,45.0,45.0,67.0,67.0,67.0,67.0,1141.25,4099.52,3360.42,4099.52,10.13,36.39,29.83,36.39,0.0,46.0,20.88,24.5,
NVIDIA GeForce GTX 1080 Ti,force,93630343.0,687884586.0,637232043.73,685317612.5,52.0,97.0,88.86,92.0,57.0,61.0,59.64,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,274816139.0,336692510.0,295793922.1,294575400.5,90.0,98.0,94.9,98.0,55.0,56.0,55.1,55.0,1141.75,4168.4,2581.61,1280.4,10.14,37.01,22.92,11.37,0.0,98.0,37.85,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1432612771.0,1495223650.0,1455266876.31,1451121110.0,87.0,88.0,87.69,88.0,86.0,88.0,86.92,87.0,327.78,3333.68,2398.78,3333.68,4.0,40.69,29.28,40.69,0.0,70.0,46.18,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,379338534.0,379338534.0,379338534.0,379338534.0,37.0,37.0,37.0,37.0,75.0,75.0,75.0,75.0,338.56,3278.46,2298.65,3278.46,4.13,40.02,28.06,40.02,0.0,39.0,21.83,27.0,
NVIDIA GeForce RTX 2080 SUPER,force,352700359.0,1804409095.0,1560700685.88,1658823229.5,56.0,90.0,82.25,90.0,73.0,88.0,84.25,86.0,338.56,3344.46,2360.95,3344.46,4.13,40.83,28.82,40.83,0.0,91.0,50.76,60.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,624480202.0,1548942518.0,1325965324.24,1475055567.0,28.0,91.0,74.94,91.0,65.0,88.0,80.94,85.0,338.56,3344.46,1630.48,456.46,4.13,40.83,19.9,5.57,0.0,83.0,25.17,7.0,
NVIDIA GeForce RTX 3070,combinator,1724793856.0,1741708788.0,1731153195.77,1730163701.0,91.0,92.0,91.77,92.0,76.0,81.0,78.62,79.0,356.11,3378.07,2009.01,3378.07,4.35,41.24,24.52,41.24,0.0,92.0,42.47,0.0,
