GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2808695703.0,3171821104.0,3003004227.38,3050785911.0,49.0,68.0,63.62,66.5,63.0,67.0,64.75,64.5,1458.58,4485.23,3729.97,4485.23,12.95,39.82,33.11,39.82,1.0,95.0,58.17,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,302987181.0,302987181.0,302987181.0,302987181.0,46.0,46.0,46.0,46.0,67.0,67.0,67.0,67.0,1145.16,2230.46,1868.8,2230.46,10.17,19.8,16.59,19.8,0.0,39.0,18.5,17.0,
NVIDIA GeForce GTX 1080 Ti,force,519545234.0,6416348254.0,4467045146.0,5587757144.0,71.0,97.0,87.67,95.0,63.0,69.0,66.33,67.0,1140.73,4171.65,2697.63,2727.65,10.13,37.04,23.95,24.22,0.0,96.0,41.07,23.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,1757777081.0,3419465181.0,2466177914.15,2282808916.0,15.0,82.0,65.85,81.0,58.0,67.0,60.38,59.0,1141.81,4168.46,2498.5,1280.46,10.14,37.01,22.18,11.37,0.0,95.0,20.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,7248962095.0,7248962095.0,7248962095.0,7248962095.0,94.0,94.0,94.0,94.0,82.0,82.0,82.0,82.0,327.78,3333.68,2320.42,3333.68,4.0,40.69,28.33,40.69,0.0,60.0,25.08,39.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,344336962.0,344336962.0,344336962.0,344336962.0,30.0,30.0,30.0,30.0,65.0,65.0,65.0,65.0,338.56,2070.46,1328.49,2070.46,4.13,25.27,16.22,25.27,0.0,31.0,11.0,5.0,
NVIDIA GeForce RTX 2080 SUPER,force,528245434.0,8302482592.0,4987041170.4,6188795852.0,66.0,80.0,71.4,72.0,72.0,82.0,76.0,72.0,338.56,3344.46,1875.33,1900.46,4.13,40.83,22.89,23.2,0.0,95.0,28.93,2.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10542273.0,7179870095.0,2734558628.75,1159824423.0,1.0,83.0,33.5,28.5,54.0,75.0,62.0,59.5,338.56,3344.46,2089.99,3344.46,4.13,40.83,25.51,40.83,0.0,47.0,18.24,5.0,
NVIDIA GeForce RTX 3070,combinator,7084964064.0,7084964064.0,7084964064.0,7084964064.0,94.0,94.0,94.0,94.0,73.0,73.0,73.0,73.0,325.27,3374.39,1183.71,494.56,3.97,41.19,14.45,6.04,0.0,99.0,22.33,0.0,
NVIDIA GeForce RTX 3070,dict4,254566231.0,255109356.0,254837793.5,254837793.5,23.0,23.0,23.0,23.0,60.0,60.0,60.0,60.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,23.0,10.57,12.0,
NVIDIA GeForce RTX 3070,force,281120332.0,8050725549.0,5753041119.5,7559382632.0,88.0,96.0,93.67,94.0,66.0,71.0,69.83,71.0,356.11,3378.07,1610.58,510.07,4.35,41.24,19.66,6.23,0.0,94.0,22.58,0.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,7130729027.0,3557229778.67,3540960309.0,22.0,96.0,70.67,94.0,62.0,68.0,66.0,68.0,443.3,3465.26,1924.93,1304.26,5.41,42.3,23.5,15.92,0.0,100.0,12.89,0.0,
NVIDIA GeForce RTX 3090,combinator,732067726.0,1672828612.0,1467219018.79,1553846226.0,22.0,41.0,37.79,39.0,66.0,68.0,66.43,66.0,495.56,3618.23,1745.16,496.89,2.02,14.72,7.1,2.02,0.0,81.0,29.4,0.0,
NVIDIA GeForce RTX 3090,dict4,290642294.0,290642294.0,290642294.0,290642294.0,8.0,8.0,8.0,8.0,72.0,72.0,72.0,72.0,540.23,3555.84,2551.35,3555.84,2.2,14.47,10.38,14.47,0.0,15.0,7.5,8.5,
