GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,945859564.0,974849800.0,955006790.12,951793395.0,92.0,93.0,92.88,93.0,71.0,72.0,71.62,72.0,2202.95,5230.25,3716.82,3716.93,19.56,46.43,33.0,33.0,6.0,97.0,35.83,6.0,
NVIDIA GeForce GTX 1080 Ti,dict3,50627809.0,50627809.0,50627809.0,50627809.0,15.0,15.0,15.0,15.0,68.0,68.0,68.0,68.0,1150.88,4111.52,3125.27,4111.52,10.22,36.5,27.75,36.5,0.0,17.0,7.33,6.5,
NVIDIA GeForce GTX 1080 Ti,dict4,261724052.0,269559655.0,265641853.5,265641853.5,25.0,25.0,25.0,25.0,70.0,70.0,70.0,70.0,1148.1,4106.46,3261.31,4106.46,10.19,36.46,28.95,36.46,0.0,29.0,14.86,21.0,
NVIDIA GeForce GTX 1080 Ti,force,402811786.0,940818781.0,828416823.61,842908695.0,93.0,95.0,94.72,95.0,65.0,70.0,67.5,67.5,1140.73,4171.65,3399.55,4170.77,10.13,37.04,30.18,37.03,0.0,98.0,62.04,96.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,472599283.0,765578074.0,520147093.82,473892408.0,50.0,96.0,88.65,93.0,58.0,71.0,59.88,59.0,1146.19,4172.84,2835.09,4172.84,10.18,37.05,25.17,37.05,0.0,98.0,30.09,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,653583093.0,720353381.0,681123119.43,672562881.5,60.0,67.0,61.21,60.5,80.0,83.0,82.07,82.5,327.78,3333.68,2511.91,3333.68,4.0,40.69,30.66,40.69,0.0,93.0,57.17,87.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,45947821.0,45947821.0,45947821.0,45947821.0,20.0,20.0,20.0,20.0,56.0,56.0,56.0,56.0,338.56,3278.46,2298.65,3278.46,4.13,40.02,28.06,40.02,0.0,39.0,13.67,12.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,358297594.0,358297594.0,358297594.0,358297594.0,41.0,41.0,41.0,41.0,75.0,75.0,75.0,75.0,338.56,3278.46,2298.65,3278.46,4.13,40.02,28.06,40.02,0.0,50.0,18.5,9.5,
NVIDIA GeForce RTX 2080 SUPER,force,367169567.0,1125979625.0,1025773546.56,1095743331.5,53.0,94.0,85.83,93.0,72.0,87.0,83.67,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,966152627.0,1114587083.0,1088296547.64,1101067432.0,77.0,93.0,90.07,93.0,72.0,87.0,84.43,85.5,338.56,3344.46,2460.47,3344.46,4.13,40.83,30.04,40.83,0.0,62.0,36.2,55.0,
NVIDIA GeForce RTX 3070,combinator,1062592466.0,1071501953.0,1066155149.69,1065822107.0,86.0,92.0,90.23,90.0,75.0,79.0,77.23,77.0,356.11,3378.07,2673.69,3378.07,4.35,41.24,32.64,41.24,0.0,90.0,61.24,88.0,
NVIDIA GeForce RTX 3070,dict3,51460326.0,51460326.0,51460326.0,51460326.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,65.0,356.11,3312.07,2467.65,3312.07,4.35,40.43,30.12,40.43,0.0,15.0,4.43,0.0,
NVIDIA GeForce RTX 3070,dict4,75673074.0,89798169.0,82431565.73,81937550.0,10.0,33.0,18.82,19.0,60.0,64.0,61.91,62.0,356.11,3312.07,2425.48,3312.07,4.35,40.43,29.61,40.43,0.0,39.0,13.1,13.0,
NVIDIA GeForce RTX 3070,force,22404015.0,1096603175.0,990661245.75,1094595292.5,57.0,97.0,90.95,93.0,68.0,75.0,72.35,72.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,10579786.0,1101536339.0,991731364.62,1092837944.5,1.0,93.0,77.69,93.0,63.0,76.0,72.06,73.0,500.27,3522.23,2482.94,3522.23,6.11,43.0,30.31,43.0,0.0,93.0,47.47,51.0,
NVIDIA GeForce RTX 3090,combinator,1820611069.0,1823789965.0,1821553662.75,1820906808.5,91.0,91.0,91.0,91.0,83.0,84.0,83.25,83.0,499.16,3621.83,2685.29,3621.83,2.03,14.74,10.93,14.74,0.0,94.0,56.2,73.0,
NVIDIA GeForce RTX 3090,dict4,571242335.0,571242335.0,571242335.0,571242335.0,23.0,23.0,23.0,23.0,77.0,77.0,77.0,77.0,542.01,3597.34,2069.84,2070.16,2.21,14.64,8.42,8.42,0.0,36.0,10.0,0.0,
