GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2208935720.0,2209539911.0,2209333730.67,2209525561.0,87.0,88.0,87.67,88.0,68.0,68.0,68.0,68.0,2195.4,5222.05,4465.68,5222.05,19.49,46.36,39.65,46.36,0.0,95.0,56.75,85.5,
NVIDIA GeForce GTX 1080 Ti,dict4,270649038.0,270649038.0,270649038.0,270649038.0,46.0,46.0,46.0,46.0,69.0,69.0,69.0,69.0,1147.91,2233.21,1842.97,2233.21,10.19,19.83,16.36,19.83,0.0,35.0,20.62,31.0,
NVIDIA GeForce GTX 1080 Ti,force,281862667.0,2639493803.0,2296520042.38,2630226434.0,78.0,96.0,93.62,96.0,57.0,63.0,61.38,63.0,1144.04,4192.4,3047.34,4192.4,10.16,37.22,27.05,37.22,0.0,98.0,46.11,36.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,924489425.0,1311184396.0,1204153518.44,1298076427.0,29.0,96.0,80.67,95.0,53.0,56.0,55.11,56.0,1146.19,4172.84,2711.53,2728.84,10.18,37.05,24.07,24.23,0.0,97.0,33.19,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2437503054.0,2712872822.0,2589239164.15,2595988624.0,57.0,64.0,61.23,62.0,81.0,84.0,83.15,84.0,327.78,3333.68,2236.02,3333.68,4.0,40.69,27.3,40.69,0.0,71.0,38.62,61.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,311797513.0,311797513.0,311797513.0,311797513.0,34.0,34.0,34.0,34.0,78.0,78.0,78.0,78.0,338.56,2070.46,1577.05,2070.46,4.13,25.27,19.25,25.27,0.0,28.0,17.86,23.0,
NVIDIA GeForce RTX 2080 SUPER,force,139737883.0,4626973687.0,3484911590.62,4555002699.0,59.0,93.0,82.62,85.0,73.0,86.0,80.75,83.5,338.56,3358.46,1972.12,3358.46,4.13,41.0,24.07,41.0,0.0,95.0,38.12,36.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1862881317.0,4863149702.0,4320208212.0,4683627608.0,31.0,93.0,82.62,93.0,68.0,89.0,84.15,86.0,338.56,3344.46,1885.78,1900.46,4.13,40.83,23.02,23.2,0.0,69.0,22.19,7.0,
NVIDIA GeForce RTX 3070,combinator,4695312156.0,4695312156.0,4695312156.0,4695312156.0,89.0,89.0,89.0,89.0,78.0,78.0,78.0,78.0,356.11,3378.07,2010.37,3378.07,4.35,41.24,24.54,41.24,0.0,85.0,40.59,29.0,
NVIDIA GeForce RTX 3070,dict4,259717425.0,260217913.0,259967669.0,259967669.0,20.0,20.0,20.0,20.0,72.0,72.0,72.0,72.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,20.0,8.88,7.0,
NVIDIA GeForce RTX 3070,force,25474605.0,4917682584.0,3155579801.0,4368391346.0,57.0,96.0,87.0,93.0,68.0,72.0,69.86,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1157557227.0,4849411064.0,3942471658.0,4475827809.5,23.0,85.0,69.94,85.0,67.0,77.0,73.06,74.0,514.27,3532.73,1983.37,668.23,6.28,43.12,24.21,8.16,0.0,72.0,20.4,0.0,
NVIDIA GeForce RTX 3090,combinator,5491243491.0,5626211678.0,5551988869.0,5545250153.5,64.0,65.0,64.75,65.0,84.0,84.0,84.0,84.0,499.16,3621.83,2928.05,3621.83,2.03,14.74,11.91,14.74,0.0,71.0,43.89,66.0,
NVIDIA GeForce RTX 3090,dict4,290737360.0,290737360.0,290737360.0,290737360.0,15.0,15.0,15.0,15.0,78.0,78.0,78.0,78.0,541.8,3555.97,2426.2,3555.97,2.2,14.47,9.87,14.47,0.0,15.0,6.38,3.5,
NVIDIA GeForce RTX 3090,force,934446310.0,8098355054.0,6232260746.43,7964701340.0,74.0,95.0,90.0,92.0,77.0,81.0,79.57,80.0,729.32,3882.65,2173.11,988.65,2.97,15.8,8.84,4.02,0.0,95.0,27.21,0.0,
NVIDIA GeForce RTX 3090,hybrid,4045727695.0,5310637957.0,4956068244.83,5116019927.0,49.0,78.0,69.17,73.0,76.0,83.0,81.25,82.0,508.51,3631.18,2910.77,3631.18,2.07,14.78,11.84,14.78,3.0,73.0,26.69,9.0,
NVIDIA RTX A4000,combinator,3715506087.0,3789184238.0,3753506354.12,3766232726.0,78.0,85.0,82.5,83.0,83.0,86.0,84.75,85.0,1006.56,4071.41,2493.06,1177.09,6.15,24.86,15.22,7.19,2.0,97.0,46.6,8.0,
NVIDIA RTX A4000,dict4,251466300.0,251903985.0,251685142.5,251685142.5,19.0,21.0,20.0,20.0,84.0,84.0,84.0,84.0,863.26,2639.36,2047.61,2639.23,5.27,16.12,12.5,16.12,0.0,34.0,14.67,13.5,
NVIDIA RTX A4000,force,423134151.0,4216237787.0,3315625937.0,4035148526.0,84.0,94.0,92.29,94.0,77.0,80.0,78.43,78.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,10393964.0,3414899176.0,2183742298.44,2523111810.5,3.0,87.0,59.25,71.5,72.0,84.0,79.31,80.5,1029.72,4089.81,2697.91,4083.44,6.29,24.97,16.47,24.94,3.0,96.0,31.94,5.0,
Radeon RX Vega,combinator,477238167.0,481384921.0,478586293.0,478265420.0,15.0,43.0,37.77,40.0,68.0,70.0,69.0,69.0,9180.45,10496.54,10103.2,10469.8,56.3,64.3,61.93,64.2,0,0,0,0,
Radeon RX Vega,dict3,28466754.0,28816895.0,28651218.0,28670005.0,0.0,1.0,0.33,0.0,70.0,70.0,70.0,70.0,4632.11,5921.67,5415.24,5882.74,28.4,36.3,33.2,36.1,0,0,0,0,
Radeon RX Vega,dict4,125410252.0,129210184.0,126829668.67,126634777.5,0.0,58.0,21.0,7.0,71.0,72.0,71.83,72.0,8280.82,9755.9,9342.3,9725.65,50.8,59.8,57.28,59.6,0,0,0,0,
Radeon RX Vega,force,153734375.0,622988487.0,588128602.41,621618838.0,12.0,96.0,68.59,76.5,63.0,69.0,67.55,68.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,376542352.0,488576294.0,461936082.55,481125368.0,0.0,56.0,37.5,41.0,60.0,64.0,62.5,63.0,8516.02,10144.48,9368.41,9134.25,52.2,62.2,57.45,56.0,0,0,0,0,
