GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,46785.0,48255.0,47566.12,47711.0,99.0,100.0,99.88,100.0,58.0,59.0,58.38,58.0,1668.45,11000.23,10384.1,10929.22,14.81,97.66,92.19,97.03,0.0,100.0,92.34,100.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1129.0,1129.0,1129.0,1129.0,98.0,98.0,98.0,98.0,67.0,67.0,67.0,67.0,1105.06,10205.71,9402.87,10205.71,9.81,90.6,83.48,90.6,0.0,100.0,87.62,100.0,
NVIDIA GeForce GTX 1080 Ti,dict4,108755.0,109666.0,109243.47,109231.0,99.0,99.0,99.0,99.0,75.0,76.0,75.41,75.0,1138.88,10239.52,9412.59,10239.52,10.11,90.9,83.56,90.9,0.0,100.0,87.15,100.0,
NVIDIA GeForce GTX 1080 Ti,force,91729.0,159281.0,113583.25,107045.5,99.0,100.0,99.12,99.0,53.0,54.0,53.38,53.0,1149.44,10276.09,8250.78,10252.09,10.2,91.23,73.25,91.02,0.0,100.0,72.67,100.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,18503.0,46572.0,24828.43,23906.0,100.0,100.0,100.0,100.0,52.0,53.0,52.57,53.0,1133.48,10237.27,8392.48,10237.27,10.06,90.88,74.51,90.88,0.0,100.0,75.87,100.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,80569.0,83707.0,82152.25,82258.0,99.0,99.0,99.0,99.0,84.0,85.0,84.33,84.0,327.78,7109.68,5066.17,7109.68,4.0,86.79,61.84,86.79,0.0,99.0,65.48,99.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,140338.0,145234.0,143122.22,143604.5,97.0,98.0,97.72,98.0,85.0,88.0,86.11,86.0,338.56,7052.46,6213.3,7052.46,4.13,86.09,75.85,86.09,0.0,98.0,82.79,98.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,143704.0,145646.0,144534.78,144599.0,98.0,98.0,98.0,98.0,86.0,88.0,86.61,86.5,338.56,7052.46,6436.55,7052.46,4.13,86.09,78.57,86.09,0.0,98.0,85.83,98.0,
NVIDIA GeForce RTX 2080 SUPER,force,413931.0,414628.0,414448.56,414526.0,96.0,96.0,96.0,96.0,84.0,86.0,85.0,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,89180.0,89344.0,89243.75,89213.0,99.0,99.0,99.0,99.0,82.0,84.0,83.38,83.5,338.56,7120.46,4842.08,7120.46,4.13,86.92,59.11,86.92,0.0,99.0,53.89,73.0,
