GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,78924.0,80828.0,79736.0,79639.0,98.0,99.0,98.75,99.0,67.0,68.0,67.88,68.0,1610.77,10799.62,10091.92,10799.19,14.3,95.88,89.59,95.87,1.0,100.0,89.53,100.0,
NVIDIA GeForce GTX 1080 Ti,dict2,70.0,72.0,71.2,71.0,97.0,98.0,97.6,98.0,58.0,59.0,58.6,59.0,1537.33,10271.73,9243.68,10271.73,13.65,91.19,82.06,91.19,0.0,100.0,81.41,100.0,
NVIDIA GeForce GTX 1080 Ti,dict3,96081.0,100522.0,98720.6,98448.0,95.0,99.0,98.1,98.0,85.0,91.0,88.4,88.5,1107.66,10164.02,9579.76,10164.02,9.83,90.23,85.05,90.23,0.0,100.0,90.16,100.0,
NVIDIA GeForce GTX 1080 Ti,dict4,82051.0,84825.0,83297.06,83470.0,96.0,99.0,98.82,99.0,85.0,89.0,87.65,88.0,1145.81,10204.46,9381.11,10204.46,10.17,90.59,83.28,90.59,0.0,100.0,87.79,100.0,
NVIDIA GeForce GTX 1080 Ti,force,50625.0,52093.0,51624.25,51766.0,99.0,99.0,99.0,99.0,59.0,60.0,59.5,59.5,1151.66,10219.09,7434.81,10213.09,10.22,90.72,66.01,90.67,0.0,100.0,64.38,100.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,9263.0,9537.0,9463.71,9505.0,100.0,100.0,100.0,100.0,55.0,55.0,55.0,55.0,1137.56,10198.21,6941.25,10198.21,10.1,90.54,61.62,90.54,0.0,100.0,59.03,100.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,75303.0,78833.0,76419.58,76021.0,98.0,99.0,98.92,99.0,85.0,89.0,86.67,87.0,327.78,6967.68,4164.15,6967.68,4.0,85.05,50.83,85.05,0.0,99.0,52.29,75.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,131.0,132.0,131.5,131.5,92.0,92.0,92.0,92.0,62.0,62.0,62.0,62.0,338.56,6912.46,5035.62,6912.46,4.13,84.38,61.47,84.38,0.0,95.0,59.43,91.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,108022.0,112603.0,109863.71,109597.0,98.0,98.0,98.0,98.0,86.0,90.0,87.53,88.0,338.56,6912.46,6055.08,6912.46,4.13,84.38,73.91,84.38,0.0,99.0,82.65,98.0,
NVIDIA GeForce RTX 2080 SUPER,force,181008.0,185147.0,182762.44,182631.0,98.0,98.0,98.0,98.0,86.0,87.0,86.44,86.0,338.56,6978.46,3683.99,3366.46,4.13,85.19,44.97,41.09,0.0,98.0,47.71,33.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,83759.0,83828.0,83795.38,83791.0,98.0,99.0,98.88,99.0,86.0,89.0,87.38,87.0,338.56,6978.46,3431.05,456.46,4.13,85.19,41.88,5.57,0.0,99.0,42.0,0.5,
NVIDIA GeForce RTX 3070,combinator,88665.0,91663.0,89659.58,89386.0,99.0,99.0,99.0,99.0,76.0,80.0,78.25,78.5,356.11,6834.07,3983.31,6834.07,4.35,83.42,48.62,83.42,0.0,99.0,50.86,97.0,
NVIDIA GeForce RTX 3070,dict2,131.0,132.0,131.5,131.5,91.0,92.0,91.5,91.5,61.0,61.0,61.0,61.0,356.11,6768.07,4937.36,6768.07,4.35,82.62,60.27,82.62,0.0,98.0,52.57,90.0,
NVIDIA GeForce RTX 3070,dict3,123678.0,128672.0,125528.61,124964.0,95.0,99.0,97.89,98.0,83.0,84.0,83.22,83.0,356.11,6768.07,5931.81,6768.07,4.35,82.62,72.41,82.62,0.0,98.0,80.74,98.0,
NVIDIA GeForce RTX 3070,dict4,115468.0,118442.0,116699.29,116444.0,98.0,99.0,98.12,98.0,83.0,84.0,83.24,83.0,356.11,6768.07,5931.81,6768.07,4.35,82.62,72.41,82.62,0.0,99.0,80.87,98.0,
NVIDIA GeForce RTX 3070,force,178359.0,178645.0,178501.25,178521.0,97.0,98.0,97.38,97.0,73.0,76.0,74.5,74.5,356.11,6834.07,3707.53,4292.07,4.35,83.42,45.26,52.39,0.0,99.0,45.73,15.0,
NVIDIA GeForce RTX 3070,hybrid,97019.0,97185.0,97080.88,97050.5,99.0,99.0,99.0,99.0,74.0,77.0,75.88,76.0,495.0,6972.96,3798.18,3810.96,6.04,85.12,46.36,46.52,0.0,99.0,43.92,0.0,
NVIDIA GeForce RTX 3090,combinator,149528.0,182294.0,169107.92,173987.5,98.0,100.0,98.5,98.0,75.0,80.0,78.5,79.0,500.49,22739.83,19228.74,22739.83,2.04,92.53,78.24,92.53,0.0,100.0,77.0,99.0,
NVIDIA GeForce RTX 3090,dict2,126.0,126.0,126.0,126.0,88.0,90.0,89.0,89.0,74.0,75.0,74.5,74.5,499.91,22674.58,17132.24,22674.58,2.03,92.26,69.71,92.26,0.0,94.0,57.88,91.5,
NVIDIA GeForce RTX 3090,dict3,167344.0,225157.0,194948.33,196542.0,96.0,100.0,98.5,99.0,78.0,82.0,79.5,78.0,542.05,22719.66,20058.69,22719.66,2.21,92.45,81.62,92.45,0.0,100.0,81.24,98.0,
NVIDIA GeForce RTX 3090,force,289580.0,290212.0,290084.44,290193.0,97.0,98.0,97.56,98.0,81.0,83.0,82.33,82.0,,,,,,,,,,,,,
