GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,30119.0,30160.0,30134.67,30144.0,96.0,96.0,96.0,96.0,69.0,70.0,69.56,70.0,1684.15,7424.98,5128.42,7417.36,14.95,65.92,45.53,65.85,6.0,95.0,31.4,8.0,
NVIDIA GeForce GTX 1080 Ti,dict1,187.0,187.0,187.0,187.0,43.0,85.0,64.0,64.0,58.0,58.0,58.0,58.0,1638.64,7287.29,5673.64,7287.29,14.55,64.7,50.37,64.7,2.0,84.0,42.86,43.0,
NVIDIA GeForce GTX 1080 Ti,dict2,17.0,19.0,17.78,17.5,84.0,89.0,86.67,87.0,57.0,60.0,58.0,58.0,1652.37,7301.66,6785.58,7298.73,14.67,64.82,60.24,64.8,0.0,85.0,70.68,83.0,
NVIDIA GeForce GTX 1080 Ti,dict3,29918.0,30042.0,29961.72,29956.5,85.0,98.0,96.56,98.0,82.0,85.0,83.94,84.0,1144.98,6794.27,4534.68,6794.27,10.16,60.32,40.26,60.32,0.0,97.0,26.6,0.0,
NVIDIA GeForce GTX 1080 Ti,dict4,35161.0,35358.0,35281.56,35294.0,97.0,98.0,97.94,98.0,83.0,85.0,83.83,84.0,1148.1,6794.46,4536.05,6794.46,10.19,60.32,40.27,60.32,0.0,98.0,29.6,0.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,82.0,83.0,82.89,83.0,54.0,55.0,54.67,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,15288.0,15294.0,15292.44,15292.0,94.0,95.0,94.89,95.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,38489.0,39735.0,38980.08,39316.0,95.0,96.0,95.77,96.0,86.0,88.0,87.15,87.0,327.78,6021.68,3863.53,6021.68,4.0,73.51,47.16,73.51,0.0,95.0,55.42,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,425.0,425.0,425.0,425.0,64.0,64.0,64.0,64.0,58.0,58.0,58.0,58.0,327.78,5955.68,1690.77,445.68,4.0,72.7,20.64,5.44,0.0,70.0,17.46,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,44.0,46.0,45.47,46.0,64.0,73.0,68.63,69.0,61.0,61.0,61.0,61.0,338.56,5966.46,5454.88,5966.46,4.13,72.83,66.59,72.83,0.0,67.0,58.73,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,37546.0,39039.0,37813.39,37546.0,95.0,95.0,95.0,95.0,86.0,89.0,87.33,87.0,338.56,5966.46,5199.51,5966.46,4.13,72.83,63.47,72.83,0.0,95.0,79.77,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,34538.0,35443.0,34708.28,34538.0,95.0,95.0,95.0,95.0,87.0,88.0,87.94,88.0,338.56,5966.46,5232.86,5966.46,4.13,72.83,63.88,72.83,0.0,95.0,80.22,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,4.0,4.0,4.0,4.0,66.0,67.0,66.5,66.5,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,38814.0,39619.0,39300.67,39394.0,95.0,96.0,95.22,95.0,85.0,88.0,86.56,86.0,338.56,6032.46,3507.22,5989.46,4.13,73.64,42.81,73.11,0.0,81.0,37.25,20.5,
NVIDIA GeForce RTX 3070,combinator,38584.0,38873.0,38712.46,38736.0,95.0,96.0,95.15,95.0,76.0,81.0,78.85,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,441.0,441.0,441.0,441.0,68.0,68.0,68.0,68.0,57.0,57.0,57.0,57.0,356.11,5980.07,1851.99,510.07,4.35,73.0,22.61,6.23,0.0,99.0,20.08,0.0,
NVIDIA GeForce RTX 3070,dict2,46.0,49.0,48.22,48.0,57.0,76.0,70.56,73.0,60.0,60.0,60.0,60.0,356.11,5980.07,5246.6,5980.07,4.35,73.0,64.05,73.0,0.0,57.0,46.78,57.0,
NVIDIA GeForce RTX 3070,dict3,37119.0,38003.0,37387.56,37267.5,94.0,96.0,95.28,95.0,83.0,85.0,84.22,84.0,356.11,5980.07,5213.26,5980.07,4.35,73.0,63.64,73.0,0.0,95.0,78.82,95.0,
NVIDIA GeForce RTX 3070,dict4,37336.0,37913.0,37603.88,37534.0,95.0,96.0,95.18,95.0,83.0,84.0,83.71,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,4.0,4.0,4.0,4.0,65.0,69.0,67.38,68.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
