GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2031503.0,2180469.0,2077668.5,2057298.0,86.0,92.0,91.12,92.0,81.0,82.0,81.75,82.0,1538.54,6625.92,5683.04,6015.0,13.66,58.82,50.45,53.4,0.0,99.0,82.17,98.0,
NVIDIA GeForce GTX 1080 Ti,dict3,2327596.0,2951271.0,2551806.33,2515833.5,56.0,99.0,92.89,97.0,79.0,87.0,83.33,83.5,1714.86,6170.16,5587.71,6129.01,15.22,54.78,49.61,54.41,0.0,99.0,75.29,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,2858312.0,3659549.0,3098427.5,2962983.0,97.0,99.0,98.0,98.0,81.0,88.0,83.94,84.0,1148.48,5556.46,5155.75,5556.46,10.2,49.33,45.77,49.33,0.0,99.0,84.41,98.0,
NVIDIA GeForce GTX 1080 Ti,force,209841.0,3805195.0,2916609.12,3790103.0,54.0,96.0,83.76,94.0,56.0,64.0,61.0,63.0,1150.0,5626.65,3999.95,5626.65,10.21,49.95,35.51,49.95,0.0,97.0,48.23,54.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,309655.0,325346.0,316337.78,316884.0,21.0,69.0,49.11,57.0,53.0,54.0,53.67,54.0,1146.19,5622.84,3330.75,1284.84,10.18,49.92,29.57,11.41,0.0,97.0,30.86,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2376416.0,2582967.0,2427193.31,2400562.0,84.0,86.0,84.54,84.0,80.0,85.0,83.15,83.0,327.78,4783.68,3106.18,4783.68,4.0,58.39,37.92,58.39,0.0,70.0,36.04,60.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,3451894.0,4237563.0,3713081.28,3629961.0,83.0,96.0,90.94,95.0,81.0,87.0,84.28,84.0,338.56,4728.46,4155.95,4728.46,4.13,57.72,50.73,57.72,0.0,97.0,73.04,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,3510794.0,4519780.0,3885104.72,3861330.0,93.0,97.0,95.28,95.5,84.0,90.0,87.06,87.0,338.56,4728.46,4129.92,4728.46,4.13,57.72,50.41,57.72,0.0,96.0,75.82,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,469966.0,6389869.0,5334019.47,6204478.0,51.0,93.0,83.67,92.0,69.0,89.0,83.27,86.0,338.56,4794.46,3210.59,4794.46,4.13,58.53,39.19,58.53,0.0,93.0,48.28,58.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2134344.0,2198879.0,2162589.62,2159811.5,59.0,72.0,64.25,63.0,77.0,80.0,78.5,79.0,338.56,4794.46,3292.28,4794.46,4.13,58.53,40.19,58.53,0.0,74.0,40.25,57.0,
