GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,210653079.0,210728386.0,210699848.12,210704487.5,90.0,93.0,92.5,93.0,60.0,61.0,60.25,60.0,885.91,3915.25,2620.17,3915.25,7.87,34.76,23.26,34.76,0.0,97.0,50.48,90.0,
NVIDIA GeForce GTX 1080 Ti,dict3,20868144.0,21380554.0,21142030.4,21194919.0,28.0,32.0,30.4,30.0,62.0,64.0,62.8,63.0,1142.88,2227.52,1866.55,2227.52,10.15,19.78,16.57,19.78,0.0,20.0,11.0,15.0,
NVIDIA GeForce GTX 1080 Ti,dict4,76821136.0,78319352.0,77185188.91,77110012.0,40.0,53.0,46.64,44.0,65.0,65.0,65.0,65.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,force,29779509.0,116168300.0,104482779.0,115807214.5,93.0,99.0,93.71,93.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,96239155.0,115001124.0,99224611.92,97311872.0,33.0,94.0,74.83,93.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,482489949.0,494106450.0,486779097.23,486291759.0,83.0,84.0,83.08,83.0,80.0,84.0,82.85,83.0,327.78,3333.68,1980.25,3333.68,4.0,40.69,24.17,40.69,0.0,86.0,43.5,50.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,22809399.0,23678314.0,23309876.25,23375896.0,21.0,36.0,28.75,29.0,55.0,56.0,55.5,55.5,338.56,2070.46,1422.24,2070.46,4.13,25.27,17.36,25.27,0.0,27.0,11.62,11.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,93605067.0,96988390.0,94456127.25,93953277.0,32.0,40.0,36.12,35.5,66.0,70.0,67.88,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,176645252.0,513921640.0,487024683.45,502258579.0,51.0,88.0,83.73,88.0,71.0,85.0,82.36,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,395318056.0,522492048.0,480177313.85,506196342.5,49.0,89.0,76.65,81.0,72.0,85.0,80.6,82.5,338.56,3344.46,1991.04,3344.46,4.13,40.83,24.3,40.83,0.0,88.0,37.54,23.5,
