GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,10880249324.0,10880249324.0,10880249324.0,10880249324.0,93.0,93.0,93.0,93.0,72.0,72.0,72.0,72.0,2238.35,5265.5,3451.71,2247.89,19.87,46.75,30.64,19.96,1.0,98.0,36.6,2.0,
NVIDIA GeForce GTX 1080 Ti,dict3,59754919.0,59754919.0,59754919.0,59754919.0,11.0,11.0,11.0,11.0,67.0,67.0,67.0,67.0,2208.92,5169.57,3689.79,3690.61,19.61,45.89,32.76,32.76,0.0,21.0,7.83,2.5,
NVIDIA GeForce GTX 1080 Ti,force,582953185.0,24985414013.0,15494946605.4,23802264285.0,94.0,96.0,94.6,94.0,62.0,64.0,63.0,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1885405915.0,1432520689.0,1861746110.5,16.0,95.0,43.88,48.0,51.0,55.0,51.69,51.5,1144.16,4173.4,2946.74,4173.4,10.16,37.05,26.16,37.05,0.0,44.0,11.08,2.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,6742994418.0,7386968753.0,7133067035.75,7201152486.0,46.0,53.0,48.75,48.0,78.0,82.0,80.5,81.0,327.78,3333.68,2661.32,3333.68,4.0,40.69,32.49,40.69,0.0,45.0,25.5,35.0,
NVIDIA GeForce RTX 2080 SUPER,force,638065953.0,38537021088.0,16103052874.25,12618562228.0,62.0,77.0,66.25,63.0,67.0,78.0,72.0,71.5,338.56,3344.46,1713.92,456.46,4.13,40.83,20.92,5.57,0.0,72.0,20.44,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3032570328.0,7380814291.0,6525803378.64,7113543264.5,19.0,61.0,51.86,56.0,68.0,79.0,76.0,77.0,338.56,3344.46,1876.98,1900.46,4.13,40.83,22.91,23.2,0.0,32.0,7.7,0.5,
NVIDIA GeForce RTX 3070,combinator,7217496530.0,7392181748.0,7292944543.67,7269155353.0,47.0,65.0,56.67,58.0,75.0,76.0,75.67,76.0,356.11,3378.07,1733.63,510.07,4.35,41.24,21.16,6.23,0.0,67.0,23.0,0.0,
NVIDIA GeForce RTX 3070,force,771070771.0,39552727293.0,18800594117.75,17439289203.5,16.0,95.0,67.5,79.5,65.0,69.0,67.0,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,9535838369.0,13851844761.0,12396384129.0,13801469257.0,40.0,75.0,63.33,75.0,70.0,72.0,71.33,72.0,448.82,3480.03,1647.37,613.78,5.48,42.48,20.11,7.49,0.0,42.0,5.5,0.0,
NVIDIA GeForce RTX 3090,force,1298851421.0,66177854572.0,26909780471.25,20081207946.0,19.0,92.0,59.5,63.5,76.0,79.0,77.5,77.5,722.23,3846.34,1850.25,980.34,2.94,15.65,7.53,3.99,0.0,95.0,22.56,0.0,
NVIDIA GeForce RTX 3090,hybrid,0.0,9333498724.0,7007458829.14,8130040642.5,11.0,92.0,53.0,58.5,76.0,79.0,78.14,78.5,515.07,3640.24,2515.73,3637.74,2.1,14.81,10.24,14.8,3.0,36.0,12.62,6.0,
NVIDIA RTX A4000,force,691712379.0,30766298164.0,17213402982.4,21236110959.0,13.0,96.0,75.4,92.0,83.0,84.0,83.4,83.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,1658430462.0,13149737527.0,9277124213.33,13023204651.0,9.0,71.0,48.0,64.0,81.0,82.0,81.67,82.0,1026.95,4078.69,2942.76,4078.69,6.27,24.91,17.97,24.91,3.0,58.0,21.92,8.0,
Radeon RX Vega,combinator,603591997.0,608881198.0,604335832.08,603750759.0,13.0,44.0,37.08,40.0,68.0,69.0,68.85,69.0,9370.84,10441.83,9952.93,9986.59,57.4,64.0,61.01,61.2,0,0,0,0,
Radeon RX Vega,dict3,42363071.0,42363071.0,42363071.0,42363071.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4594.62,5901.33,5197.86,4869.43,28.2,36.2,31.88,29.9,0,0,0,0,
Radeon RX Vega,dict4,390655201.0,390655201.0,390655201.0,390655201.0,20.0,20.0,20.0,20.0,72.0,72.0,72.0,72.0,8241.46,9544.8,8885.28,8583.76,50.5,58.5,54.47,52.6,0,0,0,0,
Radeon RX Vega,force,338038844.0,22994682502.0,14267722721.8,21271807202.0,16.0,70.0,29.2,19.0,59.0,61.0,60.2,61.0,7724.15,9372.34,8521.89,8352.02,47.4,57.5,52.26,51.2,0,0,0,0,
Radeon RX Vega,hybrid,485506149.0,652865537.0,602833247.81,645115725.0,0.0,58.0,40.0,41.0,58.0,63.0,61.31,62.0,8794.49,10262.01,9504.48,9317.34,53.9,62.9,58.25,57.1,0,0,0,0,
