GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,6490244305.0,7662359500.0,7178758754.62,7269442904.0,71.0,92.0,85.5,89.5,68.0,81.0,77.25,80.0,2221.98,5248.62,4771.71,5248.62,19.73,46.6,42.36,46.6,6.0,98.0,61.0,75.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3052360948.0,3052360948.0,3052360948.0,3052360948.0,96.0,96.0,96.0,96.0,59.0,59.0,59.0,59.0,1144.06,4173.84,3237.78,4170.71,10.16,37.05,28.74,37.03,0.0,92.0,32.16,23.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3171785078.0,5284203006.0,4591329861.5,5105814396.0,53.0,74.0,63.36,63.5,76.0,80.0,77.71,77.5,327.78,3333.68,2585.59,3333.68,4.0,40.69,31.56,40.69,0.0,56.0,37.91,53.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,4308005777.0,5832780415.0,5070393096.0,5070393096.0,34.0,55.0,44.5,44.5,70.0,72.0,71.0,71.0,338.56,3344.46,2239.47,3344.46,4.13,40.83,27.34,40.83,0.0,70.0,38.06,44.5,
NVIDIA GeForce RTX 3070,combinator,4116446943.0,5488793023.0,4793639300.92,4867704251.0,43.0,64.0,56.38,60.0,70.0,74.0,72.54,73.0,356.11,3378.07,2607.69,3378.07,4.35,41.24,31.83,41.24,0.0,66.0,38.67,60.0,
NVIDIA GeForce RTX 3070,hybrid,11252162673.0,11252162673.0,11252162673.0,11252162673.0,49.0,49.0,49.0,49.0,72.0,72.0,72.0,72.0,505.25,3522.23,2302.86,3522.23,6.17,43.0,28.11,43.0,0.0,83.0,26.33,0.5,
NVIDIA GeForce RTX 3090,combinator,12109748892.0,13796574658.0,12734433960.0,12515706145.0,33.0,59.0,48.25,50.5,83.0,84.0,83.25,83.0,499.16,3621.83,2928.05,3621.83,2.03,14.74,11.91,14.74,0.0,66.0,41.56,60.0,
NVIDIA GeForce RTX 3090,hybrid,3118872505.0,17717898245.0,10418385375.0,10418385375.0,10.0,93.0,51.5,51.5,77.0,79.0,78.0,78.0,518.76,3641.43,2144.48,2208.43,2.11,14.82,8.73,8.99,0.0,82.0,32.25,21.0,
NVIDIA RTX A4000,combinator,7881460251.0,8960970632.0,8444090729.86,8442795776.0,60.0,74.0,67.29,65.0,85.0,87.0,86.14,86.0,962.13,4031.6,3133.02,3995.04,5.88,24.62,19.13,24.4,0.0,93.0,58.82,85.0,
NVIDIA RTX A4000,hybrid,6717260387.0,7149412303.0,6924928508.5,6916520672.0,36.0,76.0,56.25,56.5,82.0,84.0,83.25,83.5,1071.66,4125.38,3011.32,4125.38,6.54,25.19,18.39,25.19,1.0,94.0,38.56,30.0,
Radeon RX Vega,combinator,702637248.0,830081488.0,783288363.77,792048375.0,16.0,43.0,39.0,41.0,68.0,69.0,68.46,68.0,9202.28,10955.16,10536.82,10891.45,56.4,67.2,64.58,66.8,0,0,0,0,
Radeon RX Vega,hybrid,705945693.0,743018052.0,718303211.67,705945890.0,0.0,53.0,24.67,21.0,58.0,59.0,58.33,58.0,7836.0,9933.71,9415.5,9917.98,48.0,60.9,57.72,60.8,0,0,0,0,
