GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,20578.0,20589.0,20582.57,20583.0,96.0,97.0,96.14,96.0,62.0,62.0,62.0,62.0,1623.1,10919.75,9637.14,10905.75,14.41,96.94,85.56,96.82,0.0,100.0,80.38,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,316.0,316.0,316.0,316.0,68.0,68.0,68.0,68.0,56.0,56.0,56.0,56.0,1966.18,10239.98,8401.43,10239.98,17.46,90.91,74.59,90.91,2.0,100.0,60.78,70.0,
NVIDIA GeForce GTX 1080 Ti,dict2,31.0,35.0,32.5,32.0,65.0,68.0,67.33,67.0,58.0,61.0,58.61,58.5,1658.7,10463.98,9489.37,10463.35,14.73,92.9,84.25,92.89,0.0,100.0,62.41,68.0,
NVIDIA GeForce GTX 1080 Ti,dict3,16156.0,16401.0,16333.33,16319.0,97.0,98.0,97.83,98.0,77.0,81.0,79.28,79.0,1137.19,10261.84,9168.3,10261.84,10.1,91.1,81.39,91.1,0.0,100.0,81.12,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,19033.0,19043.0,19038.44,19040.0,96.0,98.0,97.0,97.0,75.0,76.0,75.94,76.0,1145.16,10398.46,9288.12,10398.46,10.17,92.32,82.46,92.32,0.0,100.0,79.84,97.0,
NVIDIA GeForce GTX 1080 Ti,force,1.0,1.0,1.0,1.0,55.0,59.0,57.12,57.0,56.0,56.0,56.0,56.0,1144.12,10398.77,6227.85,10380.87,10.16,92.32,55.29,92.16,0.0,100.0,40.38,65.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,2772.0,2810.0,2798.12,2802.5,95.0,96.0,95.5,95.5,57.0,57.0,57.0,57.0,1144.04,10336.84,6340.92,10336.84,10.16,91.77,56.29,91.77,0.0,100.0,48.96,53.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,19993.0,20043.0,20005.38,20002.0,93.0,94.0,93.85,94.0,80.0,84.0,83.0,83.0,327.78,7207.68,4694.53,7207.68,4.0,87.98,57.31,87.98,0.0,93.0,55.11,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,65.0,66.0,65.77,66.0,50.0,52.0,51.38,52.0,61.0,61.0,61.0,61.0,338.56,7152.46,5580.17,7152.46,4.13,87.31,68.12,87.31,0.0,80.0,52.08,71.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,19728.0,19824.0,19746.33,19734.0,92.0,93.0,92.22,92.0,77.0,84.0,81.67,83.0,338.56,7152.46,6559.99,7152.46,4.13,87.31,80.08,87.31,0.0,93.0,81.65,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,19757.0,19835.0,19773.44,19763.0,92.0,93.0,92.17,92.0,84.0,86.0,85.33,85.0,338.56,7152.46,6533.42,7152.46,4.13,87.31,79.75,87.31,0.0,93.0,79.0,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,9.0,14073.0,8233.87,11535.0,66.0,85.0,71.4,70.0,64.0,73.0,69.1,70.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,19988.0,20015.0,19999.25,20000.0,93.0,94.0,93.75,94.0,79.0,83.0,81.38,81.5,338.56,7218.46,3987.28,7218.46,4.13,88.12,48.67,88.12,0.0,94.0,44.29,0.0,
NVIDIA GeForce RTX 3070,combinator,85718.0,86279.0,85944.77,85885.0,93.0,94.0,93.92,94.0,76.0,80.0,78.38,79.0,356.11,7256.07,4649.65,7256.07,4.35,88.58,56.76,88.58,0.0,94.0,53.54,92.0,
