GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,314402.0,315293.0,314693.0,314635.0,97.0,97.0,97.0,97.0,67.0,68.0,67.56,68.0,1609.94,7661.23,6987.65,7659.73,14.29,68.02,62.04,68.0,0.0,98.0,81.0,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,294.0,294.0,294.0,294.0,40.0,76.0,58.0,58.0,59.0,59.0,59.0,59.0,1603.68,7588.98,5024.03,7588.98,14.24,67.37,44.6,67.37,0.0,97.0,34.43,1.0,
NVIDIA GeForce GTX 1080 Ti,dict3,308922.0,338042.0,318081.94,316628.0,37.0,98.0,94.17,97.5,78.0,88.0,83.17,83.0,1104.41,7089.71,6333.54,7089.71,9.8,62.94,56.23,62.94,0.0,97.0,77.61,96.0,
NVIDIA GeForce GTX 1080 Ti,force,12.0,112688.0,48777.19,11464.0,68.0,88.0,79.7,78.0,53.0,56.0,54.26,53.0,1149.44,7200.09,5289.97,7200.09,10.2,63.92,46.96,63.92,0.0,90.0,48.89,68.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,152160.0,152356.0,152287.0,152304.5,96.0,97.0,96.62,97.0,57.0,58.0,57.88,58.0,1137.56,7188.21,4342.74,7188.21,10.1,63.82,38.55,63.82,0.0,97.0,42.87,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,358624.0,371275.0,363330.71,362288.0,73.0,74.0,73.14,73.0,84.0,87.0,85.71,86.0,327.78,6357.68,3940.39,6357.68,4.0,77.61,48.1,77.61,0.0,73.0,40.67,70.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,421.0,421.0,421.0,421.0,57.0,57.0,57.0,57.0,60.0,60.0,60.0,60.0,338.56,6302.46,4315.99,6302.46,4.13,76.93,52.69,76.93,0.0,58.0,23.0,12.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,445739.0,477136.0,456629.89,452787.0,82.0,92.0,90.89,92.0,84.0,89.0,87.33,87.0,338.56,6302.46,5524.6,6302.46,4.13,76.93,67.44,76.93,0.0,93.0,74.57,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,425316.0,446317.0,430624.72,428673.5,92.0,93.0,92.28,92.0,87.0,89.0,88.0,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.09,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,1502.0,487631.0,307558.0,327969.0,59.0,93.0,74.32,67.0,62.0,88.0,78.93,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,414405.0,424303.0,418390.38,417601.5,84.0,85.0,84.38,84.0,85.0,87.0,86.0,86.0,338.56,6368.46,3397.76,3412.46,4.13,77.74,41.48,41.66,0.0,73.0,31.5,9.0,
NVIDIA GeForce RTX 3070,combinator,454696.0,458981.0,455990.38,455515.0,91.0,91.0,91.0,91.0,75.0,80.0,77.85,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,472133.0,482820.0,477955.83,478346.5,82.0,97.0,95.28,96.0,82.0,84.0,83.0,83.0,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,94.0,74.3,91.0,
NVIDIA GeForce RTX 3070,dict4,478667.0,486137.0,481874.44,481325.5,95.0,97.0,96.0,96.0,82.0,84.0,82.94,83.0,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,93.0,73.04,91.0,
NVIDIA GeForce RTX 3070,force,0.0,328445.0,194845.29,315734.0,60.0,96.0,70.06,66.0,61.0,71.0,65.65,67.0,356.11,6380.07,4827.26,6380.07,4.35,77.88,58.93,77.88,0.0,96.0,57.61,75.0,
NVIDIA GeForce RTX 3070,hybrid,418856.0,422891.0,420447.33,419900.0,83.0,84.0,83.78,84.0,73.0,76.0,74.89,75.0,495.0,6518.96,3564.8,3583.96,6.04,79.58,43.52,43.75,0.0,99.0,40.75,0.0,
NVIDIA GeForce RTX 3090,combinator,483697.0,498670.0,488702.62,488189.0,55.0,56.0,55.31,55.0,82.0,84.0,83.23,83.0,541.8,6663.84,4388.73,6663.84,2.2,27.12,17.86,27.12,0.0,78.0,43.0,74.0,
NVIDIA GeForce RTX 3090,dict3,742657.0,764576.0,753362.67,750192.5,93.0,95.0,93.44,93.0,85.0,86.0,85.83,86.0,543.17,6597.84,5808.22,6597.84,2.21,26.85,23.63,26.85,0.0,95.0,75.61,93.0,
NVIDIA GeForce RTX 3090,force,1525.0,779552.0,503317.89,583645.0,65.0,92.0,78.54,73.0,72.0,84.0,78.36,79.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,399770.0,407815.0,402806.5,402293.5,36.0,67.0,59.25,67.0,78.0,80.0,79.0,79.0,530.6,6653.27,5711.58,6653.27,2.16,27.07,23.24,27.07,0.0,83.0,58.46,75.0,
NVIDIA RTX A4000,combinator,413394.0,418322.0,415465.23,415387.0,92.0,94.0,93.0,93.0,81.0,86.0,84.08,84.0,744.04,6818.01,4676.81,6818.01,4.54,41.63,28.56,41.63,0.0,95.0,56.08,94.0,
NVIDIA RTX A4000,dict3,399926.0,402397.0,400723.86,400446.0,94.0,95.0,94.14,94.0,90.0,91.0,90.29,90.0,843.9,6851.87,4876.0,6851.87,5.15,41.84,29.78,41.84,0.0,96.0,56.74,95.0,
NVIDIA RTX A4000,dict4,396425.0,399798.0,397992.0,398355.0,94.0,94.0,94.0,94.0,90.0,91.0,90.4,90.0,809.57,6816.98,6109.22,6816.98,4.94,41.63,37.31,41.63,2.0,96.0,79.24,96.0,
NVIDIA RTX A4000,force,1665.0,74603.0,65290.19,72871.0,68.0,85.0,73.5,73.5,71.0,77.0,74.75,75.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,414991.0,416092.0,415567.25,415633.5,93.0,94.0,93.12,93.0,81.0,84.0,82.5,82.5,,,,,,,,,,,,,
