GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,5047066480.0,5047066480.0,5047066480.0,5047066480.0,95.0,95.0,95.0,95.0,66.0,66.0,66.0,66.0,1675.29,4701.94,3411.92,4701.94,14.87,41.74,30.29,41.74,6.0,98.0,48.29,31.0,
NVIDIA GeForce GTX 1080 Ti,dict4,300603964.0,300603964.0,300603964.0,300603964.0,37.0,37.0,37.0,37.0,69.0,69.0,69.0,69.0,1145.16,2230.46,1869.29,2230.46,10.17,19.8,16.6,19.8,0.0,46.0,21.67,19.5,
NVIDIA GeForce GTX 1080 Ti,force,621946248.0,3789766631.0,2685465098.38,2807675311.0,93.0,97.0,95.25,95.5,60.0,67.0,62.12,60.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,741620751.0,2298055690.0,1943699200.12,2294239300.5,27.0,92.0,74.56,91.5,56.0,59.0,58.31,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,4458832884.0,4589977875.0,4534968170.14,4538483560.0,54.0,64.0,59.14,59.0,81.0,84.0,82.29,82.0,327.78,3333.68,2535.36,3333.68,4.0,40.69,30.95,40.69,0.0,47.0,25.18,36.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,352694611.0,352694611.0,352694611.0,352694611.0,31.0,31.0,31.0,31.0,75.0,75.0,75.0,75.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,0.0,30.0,12.33,7.5,
NVIDIA GeForce RTX 2080 SUPER,force,318685013.0,9730444390.0,5877569481.4,8080096351.0,56.0,84.0,68.4,69.0,72.0,83.0,77.6,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2422390276.0,5102445054.0,4514032433.23,4869036873.0,43.0,69.0,60.23,65.0,71.0,84.0,80.31,83.0,338.56,3344.46,1875.33,1900.46,4.13,40.83,22.89,23.2,0.0,58.0,16.5,0.5,
NVIDIA GeForce RTX 3070,combinator,2624461081.0,3362689879.0,2970321958.5,2964929901.5,31.0,61.0,50.92,55.0,70.0,72.0,71.83,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,256015324.0,257093249.0,256554286.5,256554286.5,15.0,23.0,19.0,19.0,74.0,74.0,74.0,74.0,,,,,,,,,,,,,
