GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,409348077.0,424621881.0,417148680.5,416789879.0,93.0,94.0,93.75,94.0,70.0,74.0,71.62,70.5,2237.98,5268.81,4927.82,5264.19,19.87,46.78,43.75,46.73,1.0,96.0,78.44,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,30878935.0,31897019.0,31441544.33,31548679.0,19.0,22.0,20.33,20.0,69.0,70.0,69.67,70.0,1731.13,4703.14,3956.74,4683.8,15.37,41.75,35.13,41.58,0.0,79.0,17.5,13.0,
NVIDIA GeForce GTX 1080 Ti,dict4,42219694.0,46938282.0,44213345.22,44199492.0,9.0,33.0,20.89,20.5,53.0,63.0,56.5,55.5,1145.81,4106.46,3514.68,4106.46,10.17,36.46,31.2,36.46,0.0,98.0,19.33,15.0,
NVIDIA GeForce GTX 1080 Ti,force,71536692.0,112802344.0,109269048.29,112701574.0,94.0,97.0,94.29,94.0,54.0,55.0,54.86,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,183298212.0,191816211.0,186903601.82,187186102.0,32.0,98.0,89.0,94.0,56.0,58.0,57.18,57.0,1146.19,4172.84,2873.89,4172.84,10.18,37.05,25.51,37.05,0.0,99.0,45.11,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,552101739.0,573731496.0,560008838.31,558874774.0,91.0,91.0,91.0,91.0,84.0,89.0,86.77,87.0,327.78,3333.68,2087.57,3333.68,4.0,40.69,25.48,40.69,0.0,93.0,49.86,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,24540524.0,42299017.0,31262688.25,29105606.0,1.0,18.0,5.75,2.0,54.0,58.0,55.75,55.5,338.56,3278.46,2298.71,3278.46,4.13,40.02,28.06,40.02,0.0,42.0,10.89,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,246759903.0,254282530.0,250521216.5,250521216.5,54.0,58.0,56.0,56.0,84.0,87.0,85.5,85.5,338.56,3278.46,2365.48,3278.46,4.13,40.02,28.88,40.02,0.0,58.0,32.14,45.0,
NVIDIA GeForce RTX 2080 SUPER,force,150843054.0,541765099.0,507360710.05,529785215.0,64.0,94.0,88.33,93.0,69.0,86.0,82.29,84.0,338.56,3344.46,1863.15,456.46,4.13,40.83,22.74,5.57,0.0,94.0,40.24,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,518549580.0,589484422.0,561388899.33,562270106.0,53.0,93.0,87.72,93.0,82.0,88.0,85.61,86.0,338.56,3344.46,1449.67,456.46,4.13,40.83,17.7,5.57,0.0,93.0,23.35,0.0,
NVIDIA GeForce RTX 3070,combinator,641432866.0,647103004.0,643409740.77,642918888.0,91.0,92.0,91.23,91.0,77.0,82.0,79.77,80.0,356.11,3378.07,2137.97,3378.07,4.35,41.24,26.1,41.24,0.0,95.0,48.0,80.0,
NVIDIA GeForce RTX 3070,dict3,53193051.0,53193051.0,53193051.0,53193051.0,10.0,10.0,10.0,10.0,71.0,71.0,71.0,71.0,356.11,3312.07,2326.91,3312.07,4.35,40.43,28.4,40.43,0.0,20.0,7.83,5.0,
NVIDIA GeForce RTX 3070,dict4,36998609.0,46840431.0,41002340.06,40143326.5,8.0,48.0,23.5,22.0,62.0,70.0,65.28,65.0,356.11,3312.07,2926.6,3312.07,4.35,40.43,35.73,40.43,0.0,46.0,18.26,20.0,
NVIDIA GeForce RTX 3070,force,50222615.0,648448643.0,604109244.24,642618169.0,47.0,93.0,89.19,91.0,62.0,76.0,71.05,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,577068418.0,653865402.0,636170237.62,645196579.0,53.0,93.0,87.94,92.0,71.0,79.0,75.94,76.0,473.26,3481.72,2198.96,3481.72,5.78,42.5,26.84,42.5,0.0,93.0,38.67,4.0,
NVIDIA GeForce RTX 3090,combinator,1049051083.0,1058028956.0,1052495823.62,1051711809.5,90.0,92.0,90.75,90.5,83.0,85.0,84.25,84.0,499.16,3621.83,2902.14,3621.83,2.03,14.74,11.81,14.74,0.0,96.0,72.08,93.0,
NVIDIA GeForce RTX 3090,dict3,48193157.0,48193157.0,48193157.0,48193157.0,2.0,2.0,2.0,2.0,76.0,76.0,76.0,76.0,542.01,3597.34,2288.07,3597.34,2.21,14.64,9.31,14.64,0.0,12.0,4.0,0.0,
NVIDIA GeForce RTX 3090,dict4,241128327.0,247077009.0,244102668.0,244102668.0,19.0,33.0,26.0,26.0,78.0,78.0,78.0,78.0,541.8,3599.97,2453.65,3599.84,2.2,14.65,9.98,14.65,0.0,31.0,12.75,9.5,
NVIDIA GeForce RTX 3090,force,299055072.0,1057289511.0,998612391.89,1045454110.0,56.0,95.0,89.61,91.0,74.0,83.0,80.28,81.0,723.67,3848.15,2187.36,982.15,2.94,15.66,8.9,4.0,0.0,94.0,32.8,0.0,
NVIDIA GeForce RTX 3090,hybrid,941302540.0,1087488195.0,1050527443.5,1075304872.5,86.0,94.0,91.0,92.0,78.0,83.0,81.12,81.5,515.01,3637.74,1486.25,771.74,2.1,14.8,6.05,3.14,3.0,93.0,17.58,7.0,
NVIDIA RTX A4000,combinator,561439329.0,566633187.0,563705654.15,563720147.0,90.0,93.0,92.77,93.0,82.0,86.0,84.15,84.0,1007.27,4054.61,2836.9,4023.08,6.15,24.76,17.32,24.57,0.0,97.0,49.72,92.0,
NVIDIA RTX A4000,dict3,32470025.0,33693037.0,33081531.0,33081531.0,3.0,11.0,7.0,7.0,81.0,82.0,81.5,81.5,668.7,3656.42,1804.71,834.42,4.08,22.33,11.02,5.1,0.0,62.0,8.1,0.0,
NVIDIA RTX A4000,dict4,37194058.0,47839189.0,41300684.83,40007167.0,9.0,40.0,25.83,27.0,70.0,82.0,75.22,74.5,860.66,3846.21,2945.4,3832.84,5.26,23.49,17.99,23.41,0.0,52.0,23.8,30.5,
NVIDIA RTX A4000,force,198219182.0,590073041.0,561257912.0,579182790.0,92.0,96.0,92.86,93.0,68.0,84.0,77.52,78.0,743.73,3793.7,2051.7,905.7,4.54,23.17,12.53,5.53,0.0,97.0,30.6,0.0,
NVIDIA RTX A4000,hybrid,532782733.0,579269596.0,557512340.76,560578151.0,51.0,94.0,88.94,93.0,79.0,86.0,83.18,83.0,1014.72,4118.07,2817.06,4081.93,6.2,25.15,17.2,24.93,0.0,97.0,38.87,19.0,
Radeon RX Vega,combinator,183057958.0,184305887.0,183368899.0,183185527.0,14.0,53.0,36.62,40.0,68.0,69.0,68.38,68.0,9005.3,10311.12,9914.79,10295.19,55.2,63.2,60.77,63.1,0,0,0,0,
Radeon RX Vega,dict3,34764535.0,37939873.0,36352204.0,36352204.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4582.53,5895.07,5388.97,5856.32,28.1,36.1,33.01,35.9,0,0,0,0,
