GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,6268424032.0,6395917993.0,6342963009.8,6384634273.0,93.0,93.0,93.0,93.0,83.0,84.0,83.4,83.0,2209.73,5252.56,4762.99,5236.38,19.62,46.63,42.29,46.49,6.0,97.0,40.21,46.0,
NVIDIA GeForce GTX 1080 Ti,dict4,297915590.0,297915590.0,297915590.0,297915590.0,38.0,38.0,38.0,38.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1869.29,2230.46,10.17,19.8,16.6,19.8,0.0,40.0,19.17,17.5,
NVIDIA GeForce GTX 1080 Ti,force,241118288.0,6873776383.0,4175503920.33,4535440574.0,51.0,96.0,81.17,95.0,60.0,63.0,61.5,61.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,8712796.0,2657906246.0,1814471559.43,2643688651.0,1.0,95.0,67.24,95.0,53.0,57.0,55.52,56.0,1142.5,4169.15,2931.47,4169.15,10.14,37.01,26.03,37.01,0.0,97.0,18.63,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1719782521.0,2138562839.0,2024932338.31,2097411930.0,36.0,41.0,38.38,37.0,68.0,70.0,69.31,69.0,327.78,3333.68,2130.68,3333.68,4.0,40.69,26.01,40.69,0.0,57.0,28.35,39.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,348397188.0,348397188.0,348397188.0,348397188.0,35.0,35.0,35.0,35.0,75.0,75.0,75.0,75.0,338.56,2070.46,1204.83,1204.99,4.13,25.27,14.71,14.71,0.0,40.0,20.67,25.0,
NVIDIA GeForce RTX 2080 SUPER,force,28652118.0,11864113058.0,6546728846.0,10182808865.0,42.0,92.0,66.29,64.0,71.0,81.0,75.86,77.0,338.56,3344.46,1762.32,456.46,4.13,40.83,21.51,5.57,0.0,78.0,26.85,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2528544672.0,6116253837.0,5130037565.36,5466475091.0,20.0,68.0,55.71,61.0,68.0,82.0,76.93,78.0,338.56,3344.46,2268.1,3344.46,4.13,40.83,27.69,40.83,0.0,61.0,16.68,4.0,
NVIDIA GeForce RTX 3070,combinator,2800090156.0,4482006516.0,3698939048.25,3684913887.0,29.0,57.0,48.75,55.0,71.0,71.0,71.0,71.0,356.11,3378.07,1915.33,1944.07,4.35,41.24,23.38,23.73,0.0,67.0,32.0,25.0,
NVIDIA GeForce RTX 3070,dict4,251636815.0,252866894.0,252251854.5,252251854.5,15.0,23.0,19.0,19.0,71.0,71.0,71.0,71.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,23.0,10.38,8.0,
NVIDIA GeForce RTX 3070,force,179294887.0,11722998733.0,6446591306.25,6942035802.5,80.0,94.0,87.25,87.5,67.0,69.0,68.0,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1359316902.0,5140198923.0,4258746352.0,5009323280.0,25.0,73.0,59.57,70.0,65.0,71.0,69.5,70.5,500.27,3522.23,2458.42,3522.23,6.11,43.0,30.01,43.0,0.0,51.0,10.09,0.5,
NVIDIA GeForce RTX 3090,combinator,5901049995.0,6839972276.0,6148724666.6,5969628423.0,31.0,53.0,41.8,44.0,80.0,80.0,80.0,80.0,499.16,3621.83,2841.38,3621.83,2.03,14.74,11.56,14.74,0.0,62.0,34.67,41.5,
NVIDIA GeForce RTX 3090,dict4,462448005.0,462448005.0,462448005.0,462448005.0,23.0,23.0,23.0,23.0,79.0,79.0,79.0,79.0,540.23,3555.84,2049.46,2050.18,2.2,14.47,8.34,8.34,0.0,26.0,6.83,0.0,
NVIDIA GeForce RTX 3090,force,586879831.0,19496472588.0,12060927151.6,16209803756.0,32.0,92.0,71.0,88.0,79.0,81.0,80.0,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1641887353.0,11097561924.0,4765986736.8,1880318989.0,12.0,85.0,39.6,16.0,74.0,75.0,74.6,75.0,532.0,3653.34,2073.98,787.34,2.16,14.87,8.44,3.2,0.0,55.0,15.6,0.0,
NVIDIA RTX A4000,combinator,5197675323.0,5286524559.0,5233656281.67,5233883301.5,62.0,67.0,65.17,65.5,84.0,85.0,84.5,84.5,759.67,3809.64,2826.89,3809.64,4.64,23.26,17.26,23.26,0.0,67.0,37.38,63.0,
NVIDIA RTX A4000,dict4,251468022.0,252550505.0,252009263.5,252009263.5,17.0,22.0,19.5,19.5,73.0,73.0,73.0,73.0,862.47,2638.44,2191.34,2632.0,5.27,16.11,13.38,16.07,0.0,21.0,12.0,15.5,
NVIDIA RTX A4000,force,678616806.0,10438030861.0,5990680802.0,6423037770.5,64.0,92.0,77.0,76.0,78.0,80.0,79.25,79.5,,,,,,,,,,,,,
