GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,911455478.0,916241197.0,914040378.5,914403115.0,92.0,93.0,92.38,92.0,64.0,64.0,64.0,64.0,2285.35,5324.56,4814.2,5317.18,20.29,47.27,42.74,47.21,0.0,96.0,74.06,93.5,
NVIDIA GeForce GTX 1080 Ti,dict3,41007066.0,41007066.0,41007066.0,41007066.0,19.0,19.0,19.0,19.0,63.0,63.0,63.0,63.0,1107.66,2190.02,1829.35,2190.02,9.83,19.44,16.24,19.44,0.0,22.0,9.67,8.0,
NVIDIA GeForce GTX 1080 Ti,dict4,0.0,151925505.0,121145221.0,151566197.0,4.0,43.0,32.6,39.0,5.0,68.0,55.4,68.0,1145.81,2230.46,2059.5,2230.46,10.17,19.8,18.28,19.8,0.0,25.0,16.63,21.0,
NVIDIA GeForce GTX 1080 Ti,force,81554705.0,258042675.0,239332583.85,257472547.0,92.0,95.0,92.38,92.0,53.0,55.0,54.69,55.0,1143.85,4176.09,3090.84,4176.09,10.15,37.07,27.44,37.07,0.0,99.0,54.85,95.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,324048083.0,420799682.0,388054172.5,418631684.0,32.0,95.0,88.15,94.0,57.0,59.0,58.2,58.0,1133.66,4164.21,2639.17,1276.21,10.06,36.97,23.43,11.33,0.0,99.0,37.39,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1578443307.0,1641873970.0,1601773061.31,1597670683.0,86.0,86.0,86.0,86.0,85.0,87.0,86.46,87.0,327.78,3333.68,1666.64,445.68,4.0,40.69,20.34,5.44,0.0,88.0,30.71,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,45555749.0,45555749.0,45555749.0,45555749.0,23.0,23.0,23.0,23.0,61.0,61.0,61.0,61.0,338.56,2070.46,1082.49,348.46,4.13,25.27,13.21,4.25,0.0,31.0,11.43,11.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,0.0,183986139.0,135342565.25,178692061.0,4.0,36.0,27.75,35.5,5.0,77.0,58.25,75.5,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,40.0,27.62,34.5,
NVIDIA GeForce RTX 2080 SUPER,force,106132069.0,1740977101.0,1534323498.31,1709647663.5,57.0,91.0,86.06,90.0,67.0,87.0,82.5,86.0,338.56,3344.46,2335.74,3344.46,4.13,40.83,28.51,40.83,0.0,92.0,48.96,59.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1365049729.0,1727886843.0,1642065777.77,1667624098.0,48.0,90.0,83.92,90.0,72.0,88.0,84.31,86.0,338.56,3344.46,1539.9,456.46,4.13,40.83,18.8,5.57,0.0,91.0,25.0,0.0,
NVIDIA GeForce RTX 3070,combinator,1683190962.0,1705391110.0,1691933384.77,1690709230.0,84.0,85.0,84.54,85.0,73.0,78.0,76.0,76.0,356.11,3378.07,2132.66,3378.07,4.35,41.24,26.03,41.24,0.0,86.0,44.07,84.0,
NVIDIA GeForce RTX 3070,dict4,0.0,219554536.0,144907582.67,215168212.0,4.0,25.0,17.67,24.0,5.0,74.0,50.67,73.0,356.11,2058.07,1594.08,2058.07,4.35,25.12,19.46,25.12,0.0,35.0,15.82,16.0,
NVIDIA GeForce RTX 3070,force,0.0,1959827569.0,1648583230.19,1951297212.5,4.0,97.0,85.38,94.0,5.0,75.0,67.19,71.5,356.11,3378.07,2200.87,3378.07,4.35,41.24,26.87,41.24,0.0,95.0,47.68,49.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,1897106115.0,1506464393.0,1891536952.0,4.0,95.0,71.86,94.0,5.0,73.0,61.14,71.0,495.98,3516.96,1297.35,648.96,6.05,42.93,15.84,7.92,0.0,94.0,14.82,0.0,
