GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1210.0,1213.0,1210.88,1210.5,96.0,97.0,96.25,96.0,64.0,64.0,64.0,64.0,1674.64,3235.06,2995.62,3189.94,14.87,28.72,26.59,28.32,6.0,96.0,77.52,95.0,
NVIDIA GeForce GTX 1080 Ti,dict1,15.0,15.0,15.0,15.0,92.0,94.0,92.56,92.5,56.0,57.0,56.83,57.0,1630.89,3094.79,2932.51,3087.29,14.48,27.48,26.03,27.41,2.0,86.0,73.43,85.0,
NVIDIA GeForce GTX 1080 Ti,dict2,1.0,1.0,1.0,1.0,87.0,92.0,88.11,88.0,58.0,59.0,58.33,58.0,1650.08,3098.73,2991.5,3098.73,14.65,27.51,26.56,27.51,0.0,85.0,74.89,84.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1554.0,1621.0,1571.76,1566.0,97.0,98.0,97.18,97.0,83.0,85.0,83.71,84.0,1142.69,2594.27,2436.87,2591.52,10.14,23.03,21.63,23.01,0.0,96.0,80.5,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1510.0,1535.0,1517.5,1515.0,94.0,97.0,95.94,96.0,82.0,86.0,83.44,82.0,1145.81,2594.46,2439.44,2594.46,10.17,23.03,21.66,23.03,0.0,96.0,79.93,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,91.0,93.0,91.5,91.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,439.0,440.0,439.25,439.0,96.0,97.0,96.25,96.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,2196.0,2266.0,2223.46,2220.0,95.0,95.0,95.0,95.0,85.0,89.0,87.0,87.0,327.78,1821.68,1142.76,1821.68,4.0,22.24,13.95,22.24,0.0,95.0,44.46,41.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,28.0,28.0,28.0,28.0,79.0,80.0,79.33,79.0,57.0,58.0,57.83,58.0,327.78,1755.68,1301.39,1755.68,4.0,21.43,15.89,21.43,0.0,79.0,47.24,71.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,2.0,2.0,2.0,2.0,79.0,80.0,79.06,79.0,61.0,61.0,61.0,61.0,338.56,1766.46,1657.0,1766.46,4.13,21.56,20.23,21.56,0.0,78.0,65.62,77.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,2180.0,2216.0,2192.6,2186.0,94.0,95.0,94.2,94.0,87.0,91.0,88.8,88.0,338.56,1766.46,1608.1,1766.46,4.13,21.56,19.63,21.56,0.0,95.0,79.15,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,2001.0,2059.0,2016.0,2010.0,94.0,96.0,94.94,95.0,87.0,88.0,87.76,88.0,338.56,1766.46,1607.88,1766.46,4.13,21.56,19.63,21.56,0.0,95.0,76.41,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,79.0,80.0,79.12,79.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2233.0,2275.0,2249.38,2247.0,95.0,95.0,95.0,95.0,85.0,87.0,85.88,86.0,338.56,1832.46,1094.12,456.46,4.13,22.37,13.36,5.57,0.0,95.0,36.78,0.5,
NVIDIA GeForce RTX 3070,combinator,2379.0,2392.0,2383.15,2382.0,94.0,95.0,94.54,95.0,74.0,79.0,76.77,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,31.0,31.0,31.0,31.0,76.0,79.0,77.0,77.0,56.0,57.0,56.72,57.0,356.11,1820.07,1269.41,1820.07,4.35,22.22,15.5,22.22,0.0,79.0,40.61,64.0,
NVIDIA GeForce RTX 3070,dict2,3.0,3.0,3.0,3.0,76.0,78.0,76.83,77.0,60.0,61.0,60.89,61.0,356.11,1820.07,1707.5,1820.07,4.35,22.22,20.84,22.22,0.0,77.0,63.15,73.0,
NVIDIA GeForce RTX 3070,dict3,2330.0,2362.0,2339.06,2333.5,94.0,95.0,94.89,95.0,82.0,85.0,83.72,84.0,356.11,1820.07,1707.5,1820.07,4.35,22.22,20.84,22.22,0.0,95.0,78.31,94.0,
NVIDIA GeForce RTX 3070,dict4,2318.0,2352.0,2325.39,2321.0,89.0,95.0,94.67,95.0,82.0,84.0,83.44,83.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,77.0,77.0,77.0,77.0,61.0,62.0,61.44,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,2389.0,2396.0,2391.88,2391.5,94.0,95.0,94.75,95.0,73.0,76.0,74.5,74.5,495.98,2024.96,1284.7,648.96,6.05,24.72,15.68,7.92,0.0,95.0,37.66,0.0,
NVIDIA GeForce RTX 3090,combinator,3799.0,3825.0,3808.5,3806.5,95.0,95.0,95.0,95.0,83.0,85.0,84.25,84.5,541.8,2175.84,1527.1,2175.84,2.2,8.85,6.21,8.85,0.0,97.0,47.45,64.0,
NVIDIA GeForce RTX 3090,dict1,29.0,29.0,29.0,29.0,74.0,76.0,74.33,74.0,69.0,70.0,69.39,69.0,499.91,2066.58,1946.12,2066.58,2.03,8.41,7.92,8.41,0.0,90.0,73.19,87.0,
NVIDIA GeForce RTX 3090,dict2,2.0,2.0,2.0,2.0,73.0,74.0,73.89,74.0,74.0,74.0,74.0,74.0,499.91,2066.58,1941.3,2066.58,2.03,8.41,7.9,8.41,0.0,89.0,72.4,87.0,
NVIDIA GeForce RTX 3090,dict3,3570.0,3631.0,3587.29,3584.0,96.0,96.0,96.0,96.0,86.0,86.0,86.0,86.0,541.8,2109.97,1929.24,2109.97,2.2,8.59,7.85,8.59,0.0,97.0,75.88,96.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,73.0,74.0,73.12,73.0,72.0,72.0,72.0,72.0,658.2,2284.87,1556.32,912.87,2.68,9.3,6.33,3.71,3.0,89.0,42.14,17.0,
NVIDIA GeForce RTX 3090,hybrid,3838.0,3855.0,3844.0,3842.5,94.0,95.0,94.88,95.0,80.0,82.0,81.25,81.5,520.1,2152.77,1864.81,2152.77,2.12,8.76,7.59,8.76,0.0,96.0,70.94,95.0,
NVIDIA RTX A4000,combinator,2055.0,2076.0,2064.0,2063.0,95.0,95.0,95.0,95.0,79.0,85.0,82.38,83.0,744.04,2282.01,1717.84,2282.01,4.54,13.94,10.49,13.94,0.0,95.0,53.06,86.0,
NVIDIA RTX A4000,dict1,30.0,31.0,30.29,30.0,76.0,91.0,79.76,77.0,63.0,66.0,64.76,65.0,743.42,2215.39,2051.98,2215.39,4.54,13.53,12.53,13.53,0.0,88.0,71.93,86.0,
NVIDIA RTX A4000,dict2,3.0,3.0,3.0,3.0,77.0,80.0,77.17,77.0,74.0,74.0,74.0,74.0,743.42,2215.39,2051.98,2215.39,4.54,13.53,12.53,13.53,0.0,93.0,76.19,92.0,
