GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,133127.0,133269.0,133179.25,133175.5,95.0,95.0,95.0,95.0,69.0,71.0,70.25,70.0,1577.52,7633.38,6956.94,7628.41,14.0,67.77,61.76,67.72,0.0,98.0,78.39,98.0,
NVIDIA GeForce GTX 1080 Ti,dict2,80.0,86.0,82.73,82.0,53.0,87.0,82.09,85.0,58.0,60.0,58.64,58.0,1657.49,7642.79,6722.02,7642.79,14.71,67.85,59.68,67.85,0.0,98.0,64.46,82.0,
NVIDIA GeForce GTX 1080 Ti,dict3,129648.0,139305.0,132792.94,131258.0,98.0,98.0,98.0,98.0,82.0,87.0,84.39,84.5,1142.23,7127.52,6583.57,7127.52,10.14,63.28,58.45,63.28,0.0,98.0,84.18,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,158816.0,170529.0,161874.11,160934.0,97.0,98.0,97.5,97.5,83.0,86.0,83.94,84.0,1145.16,7130.46,6610.03,7130.46,10.17,63.3,58.68,63.3,0.0,98.0,84.78,97.0,
NVIDIA GeForce GTX 1080 Ti,force,3.0,3.0,3.0,3.0,68.0,69.0,68.38,68.0,53.0,53.0,53.0,53.0,1148.1,7200.09,5711.65,7200.09,10.19,63.92,50.71,63.92,0.0,99.0,57.0,79.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,66546.0,66637.0,66606.5,66630.0,94.0,94.0,94.0,94.0,58.0,59.0,58.88,59.0,1146.19,7196.84,4497.06,7196.84,10.18,63.89,39.92,63.89,0.0,97.0,44.09,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,170504.0,178635.0,173722.64,172815.5,94.0,95.0,94.93,95.0,86.0,89.0,87.71,88.0,327.78,6357.68,3762.35,6357.68,4.0,77.61,45.93,77.61,0.0,67.0,35.33,61.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,201.0,202.0,201.67,202.0,68.0,70.0,69.0,69.0,61.0,62.0,61.33,61.0,338.56,6302.46,4927.48,6302.46,4.13,76.93,60.15,76.93,0.0,65.0,44.89,60.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,165125.0,176688.0,169218.56,168479.0,94.0,94.0,94.0,94.0,86.0,89.0,87.5,87.0,338.56,6302.46,5524.99,6302.46,4.13,76.93,67.44,76.93,0.0,95.0,79.57,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,157833.0,171011.0,162045.72,160764.0,94.0,95.0,94.06,94.0,87.0,88.0,87.94,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,95.0,79.87,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,18.0,124733.0,62151.87,14754.0,63.0,74.0,68.17,68.0,64.0,86.0,74.13,66.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,105533.0,107358.0,106304.44,106094.0,69.0,74.0,70.78,70.0,83.0,85.0,84.33,85.0,338.56,6368.46,3530.77,6368.46,4.13,77.74,43.1,77.74,0.0,89.0,43.61,64.0,
NVIDIA GeForce RTX 3070,combinator,173305.0,174569.0,173834.0,173819.0,94.0,95.0,94.31,94.0,76.0,80.0,78.38,79.0,356.11,6380.07,3886.85,6380.07,4.35,77.88,47.45,77.88,0.0,94.0,49.78,83.0,
NVIDIA GeForce RTX 3070,dict2,224.0,228.0,225.33,224.0,58.0,75.0,63.67,58.0,60.0,60.0,60.0,60.0,356.11,6314.07,4825.83,6314.07,4.35,77.08,58.91,77.08,0.0,69.0,38.25,50.0,
NVIDIA GeForce RTX 3070,dict3,167038.0,167601.0,167355.56,167379.0,94.0,95.0,94.89,95.0,79.0,83.0,81.61,82.0,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,95.0,76.78,94.0,
NVIDIA GeForce RTX 3070,dict4,171451.0,173066.0,172334.56,172406.5,94.0,95.0,94.39,94.0,80.0,83.0,81.78,82.0,356.11,6314.07,6043.25,6314.07,4.35,77.08,73.77,77.08,0.0,95.0,81.68,94.0,
NVIDIA GeForce RTX 3070,force,22.0,30704.0,19036.68,21770.0,63.0,74.0,69.59,69.0,65.0,67.0,66.27,66.0,356.11,6380.07,4409.47,6380.07,4.35,77.88,53.83,77.88,0.0,88.0,48.52,74.0,
NVIDIA GeForce RTX 3070,hybrid,175046.0,175511.0,175257.0,175293.0,94.0,95.0,94.38,94.0,74.0,77.0,75.75,76.0,489.27,6513.23,3564.28,3578.23,5.97,79.51,43.51,43.68,0.0,95.0,38.64,0.0,
NVIDIA GeForce RTX 3090,combinator,285607.0,287400.0,286273.15,286148.0,93.0,94.0,93.54,94.0,84.0,87.0,85.62,86.0,499.16,6619.83,5900.38,6619.83,2.03,26.94,24.01,26.94,0.0,95.0,76.35,94.0,
NVIDIA GeForce RTX 3090,dict2,225.0,226.0,225.33,225.0,74.0,76.0,75.33,76.0,74.0,74.0,74.0,74.0,499.91,6554.58,5123.39,6554.58,2.03,26.67,20.85,26.67,0.0,73.0,43.89,68.0,
