GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,274980.0,303102.0,290416.78,290954.0,96.0,98.0,96.89,97.0,63.0,70.0,65.78,64.0,2147.25,9888.8,9065.38,9874.93,19.06,87.79,80.48,87.67,0.0,95.0,78.63,93.0,
NVIDIA GeForce GTX 1080 Ti,dict2,191.0,191.0,191.0,191.0,39.0,66.0,59.25,66.0,55.0,55.0,55.0,55.0,2136.7,9813.85,7255.96,9800.29,18.97,87.13,64.42,87.01,1.0,98.0,43.44,71.0,
NVIDIA GeForce GTX 1080 Ti,dict3,366719.0,373983.0,368234.78,367669.0,95.0,97.0,96.78,97.0,85.0,92.0,88.78,89.0,1142.23,8800.59,6612.58,8800.59,10.14,78.13,58.71,78.13,0.0,97.0,55.14,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,378775.0,378775.0,378775.0,378775.0,94.0,97.0,95.5,95.5,91.0,91.0,91.0,91.0,1147.91,8814.09,7110.66,8814.09,10.19,78.25,63.13,78.25,0.0,99.0,65.0,97.0,
NVIDIA GeForce GTX 1080 Ti,force,19.0,6707.0,4186.0,5950.0,56.0,66.0,59.47,59.0,49.0,57.0,50.47,50.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,223117.0,304173.0,269556.44,287603.0,96.0,98.0,97.33,98.0,55.0,69.0,59.67,57.0,1135.41,8868.21,7211.44,8868.21,10.08,78.73,64.02,78.73,0.0,96.0,64.36,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,280976.0,286212.0,283391.08,282875.0,62.0,68.0,65.08,65.0,84.0,87.0,85.69,86.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,64.0,50.0,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,306.0,306.0,306.0,306.0,43.0,43.0,43.0,43.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,415570.0,438798.0,423870.0,422361.0,83.0,93.0,91.39,92.0,80.0,89.0,86.94,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,408524.0,430808.0,416685.9,414576.0,92.0,94.0,93.0,93.0,83.0,93.0,88.6,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,1094.0,242559.0,134612.35,226761.5,45.0,74.0,63.65,66.0,65.0,84.0,74.65,77.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,330982.0,336637.0,333386.0,333528.0,75.0,78.0,76.38,76.0,84.0,87.0,85.75,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,426085.0,428397.0,427215.46,427196.0,91.0,92.0,91.62,92.0,75.0,79.0,77.69,78.0,356.11,7342.07,6177.85,7342.07,4.35,89.62,75.41,89.62,0.0,85.0,65.5,82.0,
NVIDIA GeForce RTX 3070,dict3,450796.0,457279.0,453876.44,453129.0,51.0,97.0,93.72,96.0,76.0,80.0,78.22,78.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,454505.0,457419.0,455442.67,455045.5,96.0,97.0,96.17,96.0,75.0,80.0,77.94,78.0,356.11,7276.07,6473.51,7276.07,4.35,88.82,79.02,88.82,0.0,97.0,82.26,95.0,
NVIDIA GeForce RTX 3070,force,0.0,315535.0,187516.53,305241.0,62.0,96.0,70.47,65.0,68.0,76.0,72.35,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,429472.0,432404.0,430781.11,429927.0,91.0,92.0,91.78,92.0,72.0,75.0,73.89,74.0,505.5,7484.96,6411.28,7484.96,6.17,91.37,78.26,91.37,0.0,96.0,65.23,83.0,
NVIDIA GeForce RTX 3090,combinator,462016.0,485787.0,469519.0,466935.0,58.0,65.0,60.0,58.5,83.0,85.0,84.0,84.0,499.66,8286.33,6989.22,8286.33,2.03,33.72,28.44,33.72,0.0,81.0,59.17,75.0,
NVIDIA GeForce RTX 3090,dict2,336.0,336.0,336.0,336.0,49.0,49.0,49.0,49.0,74.0,74.0,74.0,74.0,499.91,8220.58,4360.69,4360.91,2.03,33.45,17.74,17.74,0.0,65.0,29.33,23.5,
NVIDIA GeForce RTX 3090,dict3,700869.0,715632.0,706026.06,701782.5,48.0,96.0,91.17,94.0,84.0,86.0,85.28,86.0,539.17,8261.34,7589.97,8261.34,2.19,33.62,30.88,33.62,0.0,95.0,77.96,93.0,
NVIDIA GeForce RTX 3090,dict4,699490.0,706328.0,701141.78,700049.5,87.0,97.0,93.61,93.0,81.0,85.0,83.39,84.0,1069.22,8791.77,7983.11,8791.7,4.35,35.77,32.48,35.77,0.0,95.0,79.35,93.0,
NVIDIA GeForce RTX 3090,force,1660.0,121508.0,80071.17,121031.5,62.0,92.0,66.61,64.0,74.0,76.0,74.78,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,581332.0,588774.0,583415.22,582916.0,73.0,77.0,74.44,75.0,80.0,82.0,81.22,81.0,568.39,8356.1,6686.19,8353.73,2.31,34.0,27.21,33.99,3.0,92.0,57.21,83.0,
NVIDIA RTX A4000,combinator,382147.0,385455.0,383558.23,383420.0,93.0,94.0,93.92,94.0,84.0,87.0,85.85,86.0,743.42,8497.39,7635.94,8497.39,4.54,51.89,46.63,51.89,0.0,92.0,73.28,85.5,
NVIDIA RTX A4000,dict3,366611.0,372408.0,369079.28,367371.0,52.0,98.0,92.28,94.0,85.0,89.0,87.33,87.0,744.56,8444.05,7475.02,8432.55,4.55,51.56,45.65,51.49,3.0,96.0,76.83,96.0,
NVIDIA RTX A4000,dict4,371614.0,376254.0,373107.39,372583.5,93.0,96.0,94.61,94.5,83.0,87.0,85.33,85.5,830.2,8520.6,7850.88,8518.16,5.07,52.03,47.94,52.02,0.0,97.0,82.57,96.0,
NVIDIA RTX A4000,force,2019.0,80875.0,70382.71,78837.0,63.0,77.0,69.57,68.0,82.0,84.0,83.5,84.0,743.73,8497.7,7567.38,8497.7,4.54,51.89,46.21,51.89,0.0,95.0,71.48,86.0,
NVIDIA RTX A4000,hybrid,232693.0,242604.0,236044.0,236328.0,62.0,69.0,67.88,69.0,82.0,85.0,83.75,84.0,1349.91,9117.27,4755.37,1518.8,8.24,55.67,29.04,9.27,5.0,95.0,46.36,34.0,
Radeon RX Vega,combinator,247356.0,273640.0,264637.69,266518.0,21.0,96.0,78.38,94.0,63.0,69.0,67.23,68.0,5579.11,6889.73,6674.54,6886.54,34.2,42.2,40.91,42.2,0,0,0,0,
Radeon RX Vega,dict2,177.0,184.0,181.0,182.0,0.0,83.0,37.67,30.0,74.0,74.0,74.0,74.0,4646.13,5993.84,5418.37,5397.88,28.5,36.7,33.21,33.1,0,0,0,0,
Radeon RX Vega,dict3,260506.0,277959.0,272999.67,274704.5,0.0,97.0,80.83,95.0,74.0,74.0,74.0,74.0,5085.14,6450.79,6230.83,6438.34,31.2,39.5,38.17,39.45,0,0,0,0,
Radeon RX Vega,dict4,260301.0,283021.0,277129.82,279441.0,14.0,97.0,83.76,95.0,74.0,75.0,74.94,75.0,6705.8,8232.33,7858.96,8008.65,41.1,50.5,48.18,49.1,0,0,0,0,
Radeon RX Vega,force,16.0,140841.0,81362.18,138168.0,4.0,89.0,68.32,84.5,62.0,68.0,65.09,65.5,7841.75,9501.48,9226.77,9485.99,48.1,58.2,56.57,58.2,0,0,0,0,
Radeon RX Vega,hybrid,253397.0,270347.0,263073.75,263757.0,22.0,97.0,76.88,95.0,62.0,66.0,64.12,64.0,8288.93,10033.77,9625.51,10015.83,50.8,61.5,59.0,61.4,0,0,0,0,
