GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,522357.0,572511.0,548209.67,548847.0,96.0,97.0,96.67,97.0,66.0,75.0,69.22,67.0,2101.04,9834.25,6934.69,9831.68,18.65,87.31,61.57,87.28,1.0,100.0,49.5,50.0,
NVIDIA GeForce GTX 1080 Ti,dict2,373.0,373.0,373.0,373.0,48.0,48.0,48.0,48.0,54.0,54.0,54.0,54.0,2109.89,9792.79,6503.26,9779.29,18.73,86.94,57.73,86.82,2.0,72.0,27.14,4.0,
NVIDIA GeForce GTX 1080 Ti,force,1390.0,23140.0,17796.45,21353.5,55.0,79.0,64.2,60.5,51.0,56.0,52.0,51.0,1131.91,8873.84,8011.56,8873.59,10.05,78.78,71.13,78.78,0.0,98.0,71.26,81.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,450005.0,574109.0,525478.78,551925.0,96.0,98.0,96.89,97.0,56.0,68.0,61.11,58.0,1135.16,8862.46,7673.7,8862.46,10.08,78.68,68.13,78.68,0.0,97.0,66.23,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,504675.0,525108.0,513399.77,512472.0,62.0,71.0,65.23,64.0,85.0,88.0,86.69,87.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,1.0,64.0,48.17,58.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,728805.0,735396.0,731002.0,728805.0,93.0,93.0,93.0,93.0,88.0,91.0,90.0,91.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,727166.0,727166.0,727166.0,727166.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,338.56,7244.46,6617.1,7244.46,4.13,88.43,80.78,88.43,0.0,93.0,80.86,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,1982.0,886422.0,545844.08,614266.5,48.0,94.0,74.96,73.5,62.0,88.0,79.25,81.5,338.56,7310.46,4492.54,7310.46,4.13,89.24,54.84,89.24,0.0,93.0,41.82,55.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,530312.0,543637.0,535917.0,535702.0,62.0,73.0,67.22,67.0,85.0,88.0,86.22,86.0,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,1.0,64.0,48.36,58.5,
NVIDIA GeForce RTX 3070,combinator,729580.0,735186.0,731516.46,730939.0,84.0,85.0,84.92,85.0,79.0,81.0,80.0,80.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,818487.0,831478.0,824365.83,822194.0,96.0,98.0,96.56,96.0,79.0,82.0,80.72,81.0,356.11,7276.07,6158.77,7276.07,4.35,88.82,75.18,88.82,0.0,96.0,77.65,95.0,
NVIDIA GeForce RTX 3070,dict4,839288.0,843324.0,840930.33,840446.0,89.0,96.0,95.28,96.0,78.0,83.0,81.11,81.0,356.11,7276.07,6411.16,7276.07,4.35,88.82,78.26,88.82,0.0,97.0,77.46,95.0,
NVIDIA GeForce RTX 3070,force,3208.0,960282.0,586855.91,707668.0,61.0,98.0,83.23,96.0,61.0,74.0,67.95,67.5,356.11,7342.07,6503.83,7342.07,4.35,89.62,79.39,89.62,0.0,97.0,60.32,61.0,
NVIDIA GeForce RTX 3070,hybrid,789180.0,793982.0,791573.75,791759.5,91.0,93.0,91.88,92.0,77.0,79.0,78.25,78.5,505.5,7491.46,6416.78,7491.46,6.17,91.45,78.33,91.45,0.0,95.0,65.23,83.0,
NVIDIA GeForce RTX 3090,combinator,845279.0,866480.0,860539.64,862169.5,68.0,74.0,71.21,72.0,86.0,86.0,86.0,86.0,499.66,8286.33,6988.7,8286.33,2.03,33.72,28.44,33.72,0.0,71.0,50.0,61.5,
NVIDIA GeForce RTX 3090,dict3,1316717.0,1350564.0,1328846.17,1319761.0,96.0,97.0,96.67,97.0,86.0,87.0,86.44,86.0,542.01,8261.34,7296.47,8261.34,2.21,33.62,29.69,33.62,0.0,98.0,80.38,96.0,
